Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
BNTAS,45.1,✅,✅,✅,✅,48.7,✅,✅,🟢
GUBRF,61.3,✅,✅,✅,✅,52.4,✅,✅,🟢
DERIM,56.9,✅,✅,✅,✅,55.2,✅,✅,🟢
SONME,61.2,✅,✅,✅,✅,56.7,✅,✅,🟢
AYDEM,57.2,✅,✅,✅,✅,56.8,✅,✅,🟢
RALYH,62.4,✅,✅,✅,✅,56.9,✅,✅,🟢
TRALT,66.7,✅,✅,✅,✅,56.9,✅,✅,🟢
SDTTR,57.5,✅,✅,✅,✅,57.5,✅,✅,🟢
TRENJ,65.7,✅,✅,✅,✅,57.9,✅,✅,🟢
TRMET,65.6,✅,✅,✅,✅,57.9,✅,✅,🟢
EDATA,70.8,✅,✅,✅,✅,58.2,✅,✅,🟢
ASELS,76.0,✅,✅,✅,✅,58.3,✅,✅,🟢
TRCAS,66.2,✅,✅,✅,✅,58.5,✅,✅,🟢
PRDGS,60.2,✅,✅,✅,✅,58.6,✅,✅,🟢
GSDDE,69.0,✅,✅,✅,✅,59.4,✅,✅,🟢
PSDTC,62.9,✅,✅,✅,✅,60.2,✅,✅,🟢
SANFM,56.9,✅,✅,✅,✅,60.7,✅,✅,🟢
TNZTP,62.0,✅,✅,✅,✅,60.7,✅,✅,🟢
KGYO,79.1,✅,✅,✅,✅,60.9,✅,✅,🟢
INDES,66.4,✅,✅,✅,✅,61.6,✅,✅,🟢
BRSAN,63.3,✅,✅,✅,✅,61.8,✅,✅,🟢
AVGYO,64.8,✅,✅,✅,✅,62.3,✅,✅,🟢
VANGD,82.6,✅,✅,✅,✅,62.5,✅,✅,🟢
ISGYO,68.1,✅,✅,✅,✅,63.5,✅,✅,🟢
POLHO,72.9,✅,✅,✅,✅,63.7,✅,✅,🟢
BIMAS,83.0,✅,✅,✅,✅,64.6,✅,✅,🟢
GENIL,61.4,✅,✅,✅,✅,66.1,✅,✅,🟢
KRPLS,66.9,✅,✅,✅,✅,66.2,✅,✅,🟢
KCAER,61.8,✅,✅,✅,✅,67.0,✅,✅,🟢
KCHOL,67.7,✅,✅,✅,✅,67.2,✅,✅,🟢
VERUS,65.5,✅,✅,✅,✅,67.3,✅,✅,🟢
KRDMD,73.3,✅,✅,✅,✅,67.4,✅,✅,🟢
VBTYZ,69.1,✅,✅,✅,✅,67.8,✅,✅,🟢
TMPOL,69.6,✅,✅,✅,✅,67.8,✅,✅,🟢
MARKA,64.4,✅,✅,✅,✅,68.2,✅,✅,🟢
PCILT,70.2,✅,✅,✅,✅,68.5,✅,✅,🟢
KUVVA,70.6,✅,✅,✅,✅,69.7,✅,✅,🟢
TGSAS,70.0,✅,✅,✅,✅,70.1,✅,✅,🟢
MTRKS,64.9,✅,✅,✅,✅,70.5,✅,✅,🟢
AYGAZ,72.5,✅,✅,✅,✅,72.9,✅,✅,🟢
IZMDC,81.1,✅,✅,✅,✅,72.9,✅,✅,🟢
CELHA,64.5,✅,✅,✅,✅,74.0,✅,✅,🟢
DAGI,72.1,✅,✅,✅,✅,74.1,✅,✅,🟢
ATATP,79.4,✅,✅,✅,✅,75.6,✅,✅,🟢
SELEC,87.5,✅,✅,✅,✅,76.0,✅,✅,🟢
RYGYO,80.1,✅,✅,✅,✅,76.1,✅,✅,🟢
KRDMA,73.1,✅,✅,✅,✅,76.8,✅,✅,🟢
OZSUB,81.6,✅,✅,✅,✅,77.7,✅,✅,🟢
ANELE,93.7,✅,✅,✅,✅,78.3,✅,✅,🟢
TUPRS,79.9,✅,✅,✅,✅,82.4,✅,✅,🟢
EUKYO,80.5,✅,✅,✅,✅,83.1,✅,✅,🟢
TRHOL,97.1,✅,✅,✅,✅,85.0,✅,✅,🟢
ARDYZ,82.1,✅,✅,✅,✅,85.3,✅,✅,🟢
KERVN,87.8,✅,✅,✅,✅,85.8,✅,✅,🟢
IEYHO,98.4,✅,✅,✅,✅,97.9,✅,✅,🟢
