Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
GOODY,48.1,✅,✅,✅,✅,50.1,✅,✅,🟢
BOSSA,52.5,✅,✅,✅,✅,51.5,✅,✅,🟢
PNSUT,54.6,✅,✅,✅,✅,54.7,✅,✅,🟢
AVGYO,62.8,✅,✅,✅,✅,55.6,✅,✅,🟢
TRALT,66.3,✅,✅,✅,✅,55.7,✅,✅,🟢
GUBRF,63.1,✅,✅,✅,✅,56.7,✅,✅,🟢
ASELS,76.1,✅,✅,✅,✅,57.4,✅,✅,🟢
RALYH,63.1,✅,✅,✅,✅,58.0,✅,✅,🟢
TRENJ,66.2,✅,✅,✅,✅,58.1,✅,✅,🟢
BJKAS,38.8,✅,✅,✅,✅,58.5,✅,✅,🟢
AGHOL,59.8,✅,✅,✅,✅,58.5,✅,✅,🟢
EKGYO,61.5,✅,✅,✅,✅,59.8,✅,✅,🟢
ALBRK,65.4,✅,✅,✅,✅,59.9,✅,✅,🟢
VAKBN,60.8,✅,✅,✅,✅,61.0,✅,✅,🟢
GMTAS,92.9,✅,✅,✅,✅,62.8,✅,✅,🟢
TRCAS,69.2,✅,✅,✅,✅,63.1,✅,✅,🟢
INDES,67.0,✅,✅,✅,✅,63.3,✅,✅,🟢
GENIL,62.3,✅,✅,✅,✅,63.9,✅,✅,🟢
SOKM,61.3,✅,✅,✅,✅,64.3,✅,✅,🟢
KLSYN,72.9,✅,✅,✅,✅,64.4,✅,✅,🟢
ISDMR,73.5,✅,✅,✅,✅,65.1,✅,✅,🟢
KCHOL,67.9,✅,✅,✅,✅,65.2,✅,✅,🟢
ENERY,67.8,✅,✅,✅,✅,65.6,✅,✅,🟢
POLHO,73.9,✅,✅,✅,✅,66.0,✅,✅,🟢
KRDMD,75.0,✅,✅,✅,✅,66.6,✅,✅,🟢
BIMAS,84.3,✅,✅,✅,✅,66.8,✅,✅,🟢
CELHA,64.4,✅,✅,✅,✅,69.4,✅,✅,🟢
KRPLS,71.6,✅,✅,✅,✅,72.8,✅,✅,🟢
BOBET,59.2,✅,✅,✅,✅,74.8,✅,✅,🟢
TUPRS,80.6,✅,✅,✅,✅,78.5,✅,✅,🟢
SELEC,91.3,✅,✅,✅,✅,83.6,✅,✅,🟢
ANELE,96.2,✅,✅,✅,✅,87.5,✅,✅,🟢
TRHOL,98.3,✅,✅,✅,✅,92.2,✅,✅,🟢
IEYHO,98.8,✅,✅,✅,✅,98.7,✅,✅,🟢
