Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
DUNYH,35.6,2.4,❌,❌,❌,82.5,❌,—
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
FORMT,31.4,14.5,❌,❌,❌,61.9,❌,—
LYDHO,36.2,16.9,❌,❌,❌,99.1,✅,—
BULGS,,17.7,❌,❌,❌,71.8,❌,—
USAK,36.1,18.0,❌,❌,❌,83.2,❌,—
BTCIM,36.0,18.3,❌,❌,❌,86.9,❌,—
BSOKE,39.2,18.3,❌,❌,❌,95.3,✅,—
ALVES,32.5,18.9,❌,❌,❌,-51.1,❌,—
LYDYE,38.1,19.5,❌,❌,❌,99.5,✅,—
OTTO,32.3,19.6,❌,❌,❌,69.9,❌,—
MERKO,28.9,19.7,❌,✅,❌,-26.2,❌,—
BINBN,,20.9,❌,❌,❌,59.9,❌,—
A1CAP,36.8,21.0,❌,❌,❌,86.1,❌,—
MEDTR,34.8,21.4,❌,❌,❌,74.5,❌,—
EGEPO,41.9,21.5,❌,❌,❌,89.4,❌,—
VRGYO,31.9,21.6,❌,❌,❌,-86.4,❌,—
DARDL,34.0,21.9,❌,❌,❌,85.5,❌,—
RTALB,39.1,22.0,❌,❌,❌,89.2,❌,—
IHYAY,36.1,22.0,❌,❌,❌,87.0,❌,—
IMASM,36.6,22.1,❌,❌,❌,4.2,❌,—
SEKFK,33.8,22.2,✅,❌,✅,88.6,❌,—
RAYSG,35.6,22.3,❌,❌,❌,88.1,❌,—
MEGAP,36.8,22.5,❌,❌,❌,62.8,❌,—
YBTAS,35.7,22.7,❌,❌,❌,-2.4,❌,—
VAKFN,41.5,22.8,❌,❌,❌,98.0,✅,—
PAMEL,35.9,22.9,❌,❌,❌,85.8,❌,—
SODSN,36.1,23.0,❌,❌,❌,74.6,❌,—
SAFKR,38.5,23.2,❌,❌,❌,91.7,❌,—
BARMA,,23.2,❌,❌,❌,75.0,❌,—
DCTTR,,23.3,❌,❌,❌,23.9,❌,—
MOPAS,,23.3,❌,❌,❌,75.5,❌,—
EKIZ,39.9,23.3,❌,❌,❌,94.7,❌,—
AGROT,31.2,23.3,❌,❌,❌,-231.0,❌,—
AKGRT,42.4,23.4,❌,❌,❌,95.5,✅,—
YYAPI,38.1,23.5,❌,❌,❌,84.1,❌,—
EKOS,,23.5,❌,❌,❌,36.5,❌,—
YONGA,35.2,23.5,❌,❌,❌,-94.6,❌,—
ONCSM,37.8,23.6,❌,❌,❌,76.4,❌,—
YESIL,35.2,23.6,❌,❌,❌,71.6,❌,—
AKYHO,36.4,23.6,❌,❌,❌,97.6,✅,—
TEZOL,37.3,23.8,❌,❌,❌,78.2,❌,—
SKYLP,38.7,23.8,❌,❌,❌,95.4,✅,—
ARFYE,,23.9,❌,❌,❌,,❌,—
BEGYO,,23.9,❌,❌,❌,38.4,❌,—
KAPLM,41.0,23.9,❌,❌,❌,97.8,✅,—
PKENT,32.2,24.0,❌,❌,❌,77.5,❌,—
IZINV,35.9,24.1,❌,❌,❌,91.7,❌,—
KRTEK,32.1,24.2,✅,✅,✅,95.2,✅,🟢
KZBGY,37.4,24.3,❌,❌,❌,81.6,❌,—
VERTU,40.6,24.5,❌,❌,❌,92.9,❌,—
NATEN,33.7,24.6,❌,❌,❌,94.6,❌,—
SURGY,,24.7,❌,❌,❌,9.8,❌,—
VKING,37.2,24.8,❌,❌,❌,97.1,✅,—
ANGEN,32.7,24.9,❌,❌,❌,57.5,❌,—
SEGYO,40.7,24.9,✅,❌,✅,89.3,❌,—
HDFGS,40.5,24.9,❌,❌,❌,90.0,❌,—
BAYRK,39.9,25.0,❌,❌,❌,96.0,✅,—
OYLUM,39.8,25.0,❌,❌,❌,97.1,✅,—
KATMR,38.5,25.1,❌,❌,❌,84.8,❌,—
DOFER,37.3,25.2,❌,❌,❌,46.2,❌,—
SILVR,36.9,25.2,❌,❌,❌,99.2,✅,—
TMSN,35.3,25.3,❌,❌,❌,98.0,✅,—
LUKSK,39.5,25.4,❌,❌,❌,97.6,✅,—
GENTS,41.3,25.5,❌,❌,❌,95.2,✅,—
DERHL,44.5,25.5,❌,❌,❌,71.4,❌,—
ARZUM,34.1,25.5,❌,❌,❌,14.7,❌,—
MEKAG,38.3,25.6,❌,❌,❌,28.2,❌,—
KONKA,35.6,25.6,❌,❌,❌,93.0,❌,—
UFUK,41.2,25.6,❌,❌,❌,98.6,✅,—
ERBOS,37.6,25.7,❌,❌,❌,99.0,✅,—
QNBTR,43.7,25.7,❌,❌,❌,99.9,✅,—
PAHOL,,25.7,❌,❌,❌,,❌,—
IHEVA,40.9,25.8,❌,❌,❌,98.6,✅,—
CMENT,37.9,25.9,❌,❌,❌,98.1,✅,—
REEDR,,25.9,❌,❌,❌,-2541.9,❌,—
KLSER,23.6,26.0,❌,❌,❌,57.3,❌,—
BYDNR,39.3,26.1,❌,❌,❌,76.5,❌,—
DITAS,38.5,26.1,❌,❌,❌,85.1,❌,—
EMKEL,39.6,26.1,❌,❌,❌,90.7,❌,—
ISSEN,35.4,26.1,❌,❌,❌,74.1,❌,—
LRSHO,38.6,26.2,❌,❌,❌,82.7,❌,—
ESCAR,41.0,26.2,❌,❌,❌,94.5,❌,—
ICUGS,40.9,26.2,❌,❌,❌,94.5,❌,—
SOKE,36.3,26.2,❌,❌,❌,85.2,❌,—
MAKTK,40.2,26.2,❌,❌,❌,97.0,✅,—
CRDFA,43.9,26.2,❌,❌,❌,95.3,✅,—
SMRTG,35.4,26.3,❌,❌,❌,78.8,❌,—
DAPGM,38.0,26.3,❌,❌,❌,78.2,❌,—
EUREN,34.6,26.3,❌,❌,❌,-10.3,❌,—
