Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
KRTEK,32.1,24.2,✅,✅,✅,95.2,✅,🟢
OTKAR,41.0,41.5,✅,✅,✅,99.7,✅,🟢
OYAKC,51.2,47.2,✅,✅,✅,97.7,✅,🟢
EGEEN,41.5,47.9,✅,✅,✅,99.1,✅,🟢
BLUME,53.9,48.9,✅,✅,✅,97.3,✅,🟢
EKGYO,56.5,49.7,✅,✅,✅,98.4,✅,🟢
TAVHL,55.6,49.8,✅,✅,✅,100.0,✅,🟢
AKBNK,54.8,50.4,✅,✅,✅,98.6,✅,🟢
KRGYO,43.1,52.9,✅,✅,✅,97.8,✅,🟢
MEPET,64.4,53.4,✅,✅,✅,99.7,✅,🟢
VAKBN,59.3,53.7,✅,✅,✅,99.1,✅,🟢
PETKM,58.1,54.9,✅,✅,✅,99.7,✅,🟢
AGHOL,58.2,55.5,✅,✅,✅,99.8,✅,🟢
RYSAS,68.6,58.4,✅,✅,✅,99.8,✅,🟢
GMTAS,92.8,58.5,✅,✅,✅,100.0,✅,🟢
SKYMD,,59.2,✅,✅,✅,99.0,✅,🟢
KCHOL,66.9,60.2,✅,✅,✅,98.9,✅,🟢
UNLU,51.3,61.4,✅,✅,✅,100.0,✅,🟢
KRPLS,69.6,61.8,✅,✅,✅,98.0,✅,🟢
KRDMD,73.4,63.7,✅,✅,✅,99.3,✅,🟢
BIMAS,84.3,64.5,✅,✅,✅,99.3,✅,🟢
ISDMR,75.6,69.1,✅,✅,✅,100.0,✅,🟢
CELHA,65.8,69.5,✅,✅,✅,99.5,✅,🟢
RYGYO,79.9,72.0,✅,✅,✅,100.0,✅,🟢
AHGAZ,69.8,74.4,✅,✅,✅,100.0,✅,🟢
ENERY,73.0,74.6,✅,✅,✅,100.0,✅,🟢
TKFEN,82.3,78.1,✅,✅,✅,100.0,✅,🟢
