Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
DZGYO,47.6,❌,❌,❌,❌,37.5,❌,❌,—
MNDRS,45.0,❌,❌,❌,❌,37.5,❌,❌,—
MERCN,45.5,❌,❌,❌,❌,37.6,❌,❌,—
GEDIK,51.1,❌,❌,❌,❌,37.6,✅,❌,—
SNPAM,48.0,❌,❌,❌,✅,37.8,❌,❌,—
KUVVA,51.0,❌,❌,❌,✅,37.8,❌,❌,—
SKTAS,40.9,❌,❌,❌,❌,37.8,❌,❌,—
CMBTN,38.1,❌,❌,❌,❌,38.0,❌,❌,—
BALAT,47.2,❌,❌,❌,❌,38.0,❌,❌,—
TTRAK,39.5,❌,❌,❌,❌,38.0,❌,❌,—
KLNMA,41.9,❌,✅,❌,❌,38.1,❌,❌,—
MACKO,49.9,❌,❌,❌,❌,38.1,❌,❌,—
SUNTK,46.6,❌,❌,❌,❌,38.1,❌,❌,—
ULUSE,48.9,❌,❌,❌,❌,38.2,❌,❌,—
ALGYO,45.3,❌,❌,❌,❌,38.2,❌,❌,—
ATEKS,45.8,❌,❌,❌,✅,38.2,❌,❌,—
RALYH,50.1,❌,❌,❌,✅,38.2,❌,❌,—
VANGD,55.8,❌,❌,❌,✅,38.2,❌,❌,—
RODRG,46.5,❌,❌,❌,❌,38.3,❌,❌,—
PGSUS,39.3,✅,❌,✅,❌,38.6,✅,✅,—
RNPOL,50.1,❌,❌,❌,❌,38.6,❌,❌,—
SDTTR,46.5,❌,❌,❌,✅,38.7,❌,❌,—
GSDHO,47.7,❌,❌,❌,✅,38.7,❌,❌,—
VESTL,32.7,❌,❌,❌,❌,38.7,❌,❌,—
ATLAS,47.0,❌,❌,❌,❌,38.8,❌,❌,—
KCAER,45.9,❌,❌,❌,✅,38.8,❌,❌,—
GOODY,40.6,❌,❌,❌,✅,38.8,❌,❌,—
AYCES,46.0,❌,❌,❌,❌,38.8,❌,❌,—
CUSAN,45.1,❌,❌,❌,✅,38.9,❌,❌,—
OZRDN,53.6,❌,❌,❌,❌,38.9,❌,❌,—
AYEN,49.8,❌,❌,❌,✅,38.9,❌,❌,—
POLHO,61.4,❌,❌,❌,✅,39.0,❌,❌,—
GESAN,47.1,❌,❌,❌,❌,39.0,✅,❌,—
AVOD,47.1,❌,❌,❌,❌,39.1,❌,❌,—
KARTN,50.1,❌,❌,❌,❌,39.2,❌,❌,—
GEREL,52.9,❌,❌,❌,✅,39.2,❌,❌,—
HLGYO,54.9,❌,❌,❌,✅,39.2,✅,❌,—
FMIZP,44.0,❌,❌,❌,❌,39.3,❌,❌,—
GENIL,46.2,❌,❌,❌,✅,39.4,❌,❌,—
CWENE,46.9,❌,❌,❌,❌,39.4,✅,❌,—
BVSAN,43.6,❌,❌,❌,❌,39.5,❌,❌,—
KZGYO,35.9,❌,❌,❌,❌,39.5,❌,❌,—
BLUME,48.3,❌,❌,❌,❌,39.6,❌,❌,—
EGEEN,37.9,❌,❌,❌,❌,39.7,❌,❌,—
ALCAR,40.1,❌,❌,❌,❌,39.7,❌,❌,—
CLEBI,45.9,❌,❌,❌,❌,39.9,✅,✅,—
ISGSY,55.4,❌,❌,❌,✅,39.9,✅,❌,—
AKCNS,54.3,❌,❌,❌,✅,40.0,❌,❌,—
BASGZ,59.2,❌,❌,❌,✅,40.1,❌,❌,—
EDIP,50.9,❌,❌,❌,✅,40.2,❌,❌,—
JANTS,39.3,❌,❌,❌,❌,40.2,❌,❌,—
AKENR,45.7,❌,❌,❌,❌,40.2,❌,❌,—
ULUUN,48.1,❌,❌,❌,✅,40.2,✅,❌,—
MANAS,52.5,❌,❌,❌,❌,40.2,❌,❌,—
BAGFS,45.4,❌,❌,❌,❌,40.3,❌,❌,—
