Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
EKIZ,43.5,29.3,✅,✅,✅,95.4,✅,🟢
TMSN,38.5,33.1,✅,✅,✅,98.4,✅,🟢
OSTIM,43.1,39.3,✅,✅,✅,96.9,✅,🟢
IHEVA,45.8,41.7,✅,✅,✅,99.3,✅,🟢
KLNMA,43.2,43.6,✅,✅,✅,96.4,✅,🟢
SKTAS,44.6,46.0,✅,✅,✅,99.0,✅,🟢
BLUME,53.6,47.9,✅,✅,✅,97.4,✅,🟢
MAALT,53.2,49.0,✅,✅,✅,98.4,✅,🟢
AGYO,52.4,49.1,✅,✅,✅,98.1,✅,🟢
ATLAS,54.1,49.1,✅,✅,✅,98.1,✅,🟢
MEPET,61.6,49.2,✅,✅,✅,99.6,✅,🟢
KNFRT,50.8,49.9,✅,✅,✅,100.0,✅,🟢
DZGYO,54.1,52.1,✅,✅,✅,96.9,✅,🟢
MZHLD,47.0,53.6,✅,✅,✅,98.8,✅,🟢
TERA,59.7,54.7,✅,✅,✅,99.1,✅,🟢
KONYA,44.8,55.8,✅,✅,✅,99.0,✅,🟢
DSTKF,,56.9,✅,✅,✅,100.0,✅,🟢
EPLAS,53.7,57.0,✅,✅,✅,97.8,✅,🟢
SASA,46.9,57.4,✅,✅,✅,95.6,✅,🟢
BMSTL,64.8,59.6,✅,✅,✅,98.2,✅,🟢
EGEEN,46.9,61.6,✅,✅,✅,99.5,✅,🟢
TNZTP,65.1,62.6,✅,✅,✅,99.2,✅,🟢
CEOEM,54.3,62.7,✅,✅,✅,98.0,✅,🟢
TEHOL,65.8,63.8,✅,✅,✅,99.9,✅,🟢
NETAS,66.5,66.6,✅,✅,✅,99.3,✅,🟢
MRGYO,54.8,68.2,✅,✅,✅,95.6,✅,🟢
ISDMR,75.4,68.7,✅,✅,✅,99.7,✅,🟢
AHGAZ,67.3,69.6,✅,✅,✅,100.0,✅,🟢
MARTI,53.2,69.7,✅,✅,✅,100.0,✅,🟢
SKYMD,,70.2,✅,✅,✅,100.0,✅,🟢
TKFEN,78.8,72.0,✅,✅,✅,100.0,✅,🟢
ENERY,71.9,72.9,✅,✅,✅,100.0,✅,🟢
CELHA,67.1,73.3,✅,✅,✅,99.9,✅,🟢
ALKLC,,76.8,✅,✅,✅,100.0,✅,🟢
EUKYO,81.3,83.5,✅,✅,✅,100.0,✅,🟢
OZATD,,90.4,✅,✅,✅,95.2,✅,🟢
TRHOL,98.5,93.3,✅,✅,✅,100.0,✅,🟢
IEYHO,98.8,98.8,✅,✅,✅,100.0,✅,🟢
