Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
FORMT,33.6,❌,❌,❌,❌,19.1,❌,❌,—
KRTEK,31.3,✅,❌,✅,❌,20.3,✅,✅,—
MERKO,29.1,❌,❌,❌,❌,20.4,❌,✅,—
SEKFK,34.3,❌,❌,❌,✅,22.1,❌,❌,—
OTTO,34.0,❌,❌,❌,❌,22.9,❌,❌,—
BSOKE,44.8,❌,❌,❌,✅,25.0,❌,❌,—
DUNYH,71.2,❌,❌,❌,✅,25.2,❌,❌,—
EGEPO,47.4,❌,❌,❌,❌,26.1,❌,❌,—
SAFKR,41.3,❌,❌,❌,❌,26.3,❌,❌,—
BTCIM,43.1,❌,❌,❌,❌,26.6,❌,❌,—
TEZOL,39.1,❌,❌,❌,❌,26.7,❌,❌,—
USAK,38.9,❌,❌,❌,❌,26.9,❌,✅,—
MEGAP,38.2,❌,❌,❌,❌,27.0,❌,✅,—
VAKFN,44.0,❌,❌,❌,❌,27.3,❌,❌,—
SODSN,37.9,❌,❌,❌,❌,27.4,❌,❌,—
YBTAS,36.7,❌,❌,❌,❌,27.5,✅,❌,—
RAYSG,37.5,❌,❌,❌,❌,27.7,❌,❌,—
KZBGY,39.5,❌,❌,❌,❌,28.0,❌,❌,—
LYDHO,47.7,❌,❌,❌,❌,28.4,❌,❌,—
SEGYO,43.3,❌,❌,❌,❌,28.4,❌,❌,—
DARDL,35.8,❌,❌,❌,❌,28.4,❌,❌,—
YYAPI,39.7,❌,❌,❌,❌,28.6,❌,✅,—
A1CAP,42.5,❌,❌,❌,❌,28.8,❌,❌,—
CVKMD,44.0,❌,❌,❌,❌,28.9,❌,❌,—
QNBTR,45.1,❌,❌,❌,❌,29.0,❌,❌,—
LIDER,39.7,❌,❌,❌,❌,29.1,✅,❌,—
AKGRT,45.6,❌,❌,❌,❌,29.1,❌,❌,—
KATMR,41.2,❌,❌,❌,❌,29.3,❌,❌,—
EKIZ,43.5,❌,❌,❌,❌,29.3,✅,✅,—
KONKA,38.2,❌,❌,❌,❌,29.4,❌,❌,—
MEDTR,38.7,❌,❌,❌,❌,29.7,❌,❌,—
IMASM,40.0,✅,❌,✅,❌,29.8,❌,✅,—
GENTS,43.3,❌,❌,❌,❌,29.8,❌,✅,—
EMKEL,41.2,❌,❌,❌,❌,30.1,❌,❌,—
AGROT,32.1,❌,❌,❌,❌,30.1,✅,❌,—
SOKE,40.0,❌,❌,❌,❌,30.2,❌,❌,—
IHYAY,38.3,✅,❌,✅,❌,30.3,✅,✅,—
ARZUM,35.9,❌,❌,❌,❌,30.4,❌,✅,—
ATAKP,35.8,❌,❌,❌,❌,30.8,❌,❌,—
HTTBT,44.1,❌,❌,❌,❌,30.8,❌,❌,—
NATEN,36.4,❌,❌,❌,❌,30.9,❌,❌,—
CMENT,40.4,❌,❌,❌,✅,30.9,✅,❌,—
AKYHO,39.1,❌,❌,❌,❌,31.0,❌,❌,—
TRILC,37.3,❌,❌,❌,❌,31.3,❌,✅,—
ENSRI,41.2,❌,❌,❌,❌,31.3,❌,✅,—
YESIL,37.3,❌,❌,❌,❌,31.4,✅,✅,—
DITAS,42.6,❌,❌,❌,❌,31.5,❌,❌,—
OYLUM,43.0,❌,❌,❌,❌,31.6,❌,❌,—
UNLU,37.8,❌,❌,❌,❌,31.6,❌,❌,—
ONCSM,45.7,❌,❌,❌,❌,31.7,❌,❌,—
LRSHO,41.2,❌,❌,❌,❌,31.8,❌,✅,—
KONTR,33.7,❌,✅,❌,❌,31.9,❌,✅,—
SKYLP,46.3,❌,❌,❌,✅,31.9,❌,❌,—
MEKAG,40.6,❌,❌,❌,❌,31.9,❌,✅,—
YONGA,39.7,❌,❌,❌,❌,31.9,❌,❌,—
MEGMT,43.4,❌,❌,❌,❌,32.0,❌,❌,—
FENER,34.4,❌,✅,❌,❌,32.2,❌,✅,—
ERBOS,41.5,❌,❌,❌,❌,32.2,❌,❌,—
PKENT,35.5,❌,❌,❌,❌,32.5,❌,✅,—
DOFER,41.1,❌,❌,❌,❌,32.9,❌,❌,—
LUKSK,44.5,❌,❌,❌,✅,33.0,❌,❌,—
RTALB,45.2,❌,❌,❌,❌,33.0,✅,❌,—
BURCE,48.6,❌,❌,❌,❌,33.2,❌,❌,—
MMCAS,44.0,❌,❌,❌,❌,33.2,❌,❌,—
ELITE,42.1,❌,❌,❌,❌,33.2,❌,❌,—
PAMEL,40.5,❌,❌,❌,❌,33.3,❌,❌,—
ADESE,44.4,❌,❌,❌,❌,33.3,❌,✅,—
CEMTS,44.9,❌,❌,❌,✅,33.5,❌,❌,—
TATEN,39.6,❌,❌,❌,❌,33.5,❌,❌,—
KRSTL,48.2,❌,❌,❌,❌,33.6,❌,❌,—
TMSN,38.6,❌,❌,❌,✅,33.6,✅,✅,—
MAKTK,44.5,❌,❌,❌,❌,33.6,❌,❌,—
VKING,40.7,❌,❌,❌,❌,33.7,✅,❌,—
KUTPO,45.8,❌,❌,❌,❌,33.8,❌,❌,—
VRGYO,34.9,❌,✅,❌,❌,33.8,❌,✅,—
OYYAT,45.6,❌,❌,❌,❌,33.9,❌,❌,—
KLSER,26.0,❌,✅,❌,❌,33.9,❌,❌,—
SELVA,42.5,❌,❌,❌,❌,33.9,❌,❌,—
AVTUR,46.0,✅,❌,✅,❌,34.0,❌,❌,—
IZINV,44.3,❌,❌,❌,❌,34.0,❌,❌,—
DERHL,45.8,❌,❌,❌,❌,34.0,❌,✅,—
BMSCH,44.2,✅,❌,✅,❌,34.1,❌,❌,—
KRVGD,45.4,❌,❌,❌,❌,34.2,❌,❌,—
COSMO,44.0,❌,❌,❌,❌,34.2,❌,✅,—
IHLAS,40.9,✅,❌,✅,❌,34.3,❌,✅,—
EUREN,36.6,❌,✅,❌,❌,34.4,❌,✅,—
CASA,40.3,❌,❌,❌,❌,34.5,❌,❌,—
DESA,44.8,❌,❌,❌,✅,34.5,❌,❌,—
HUBVC,45.2,❌,❌,❌,❌,34.6,❌,❌,—
CONSE,35.9,❌,❌,❌,❌,34.6,❌,✅,—
KAPLM,49.9,❌,❌,❌,❌,34.7,❌,❌,—
ICUGS,48.1,❌,❌,❌,❌,34.8,❌,❌,—
YATAS,44.8,❌,❌,❌,❌,34.9,❌,❌,—
AZTEK,42.4,❌,❌,❌,❌,35.0,❌,❌,—
ASUZU,42.0,❌,❌,❌,❌,35.1,❌,❌,—
ARENA,41.8,❌,❌,❌,❌,35.2,❌,❌,—
VERTU,45.3,❌,❌,❌,❌,35.2,❌,❌,—
PARSN,41.5,❌,❌,❌,❌,35.4,❌,❌,—
GZNMI,40.9,❌,❌,❌,❌,35.5,❌,❌,—
KIMMR,50.6,❌,❌,❌,❌,35.5,✅,❌,—
SMART,44.0,❌,❌,❌,❌,35.6,❌,❌,—
IZENR,39.9,❌,❌,❌,❌,35.6,❌,❌,—
ORMA,45.4,❌,❌,❌,❌,35.7,❌,❌,—
PGSUS,39.0,✅,❌,✅,❌,35.8,❌,✅,—
HEDEF,46.7,❌,❌,❌,✅,35.8,❌,❌,—
DAPGM,44.5,❌,❌,❌,❌,36.0,❌,❌,—
TUREX,44.2,❌,❌,❌,❌,36.0,❌,❌,—
ATAGY,44.4,✅,❌,✅,❌,36.1,✅,✅,—
TLMAN,43.1,❌,❌,❌,❌,36.1,❌,❌,—
ULAS,44.8,✅,❌,✅,❌,36.1,❌,✅,—
SRVGY,39.8,❌,❌,❌,❌,36.1,❌,❌,—
MNDTR,38.3,✅,❌,✅,❌,36.1,❌,❌,—
GOKNR,41.5,✅,❌,✅,❌,36.2,❌,❌,—
ERCB,34.5,❌,❌,❌,❌,36.2,❌,❌,—
KLKIM,44.6,❌,❌,❌,❌,36.3,❌,❌,—
LYDYE,48.6,❌,❌,❌,❌,36.4,❌,❌,—
TUCLK,37.2,❌,❌,❌,❌,36.5,❌,✅,—
EUHOL,47.3,❌,❌,❌,❌,36.5,❌,❌,—
ARCLK,39.8,✅,❌,✅,❌,36.6,❌,❌,—
SNICA,33.0,❌,❌,❌,❌,36.6,❌,❌,—
ZEDUR,43.1,❌,❌,❌,❌,36.6,❌,❌,—
YUNSA,49.2,❌,❌,❌,✅,36.6,❌,❌,—
ALFAS,41.3,❌,❌,❌,❌,36.6,❌,❌,—
TKNSA,41.2,❌,❌,❌,❌,36.7,❌,❌,—
BAYRK,44.7,❌,❌,❌,❌,36.8,❌,❌,—
BFREN,33.1,❌,✅,❌,❌,36.8,❌,✅,—
TUKAS,38.2,✅,✅,✅,❌,36.9,❌,✅,—
ALKA,47.1,❌,❌,❌,❌,36.9,❌,❌,—
BERA,42.8,❌,❌,❌,❌,36.9,❌,❌,—
ISYAT,43.6,❌,❌,❌,❌,37.0,❌,❌,—
BAKAB,46.1,❌,❌,❌,❌,37.0,❌,❌,—
SKBNK,46.9,✅,❌,✅,❌,37.0,❌,❌,—
IDGYO,43.8,❌,❌,❌,❌,37.0,❌,❌,—
KENT,36.0,❌,❌,❌,❌,37.0,❌,✅,—
ORCAY,35.2,❌,✅,❌,❌,37.2,❌,❌,—
INVEO,43.3,❌,❌,❌,❌,37.2,❌,❌,—
VKFYO,46.4,❌,❌,❌,❌,37.2,❌,❌,—
LINK,41.0,❌,❌,❌,❌,37.2,❌,❌,—
