Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
OTKAR,41.5,43.0,✅,✅,✅,99.7,✅,🟢
KONYA,40.9,47.5,✅,✅,✅,98.8,✅,🟢
MTRYO,54.0,47.7,✅,✅,✅,97.2,✅,🟢
EGEEN,41.5,48.0,✅,✅,✅,99.1,✅,🟢
OYAKC,51.6,48.1,✅,✅,✅,97.6,✅,🟢
ENKAI,63.8,49.2,✅,✅,✅,96.5,✅,🟢
EGGUB,57.3,50.2,✅,✅,✅,99.9,✅,🟢
EKGYO,57.2,50.7,✅,✅,✅,98.3,✅,🟢
ISCTR,53.0,50.7,✅,✅,✅,95.4,✅,🟢
MEPET,62.4,50.8,✅,✅,✅,99.6,✅,🟢
TAVHL,56.1,50.9,✅,✅,✅,100.0,✅,🟢
YKBNK,55.5,51.4,✅,✅,✅,97.1,✅,🟢
GARAN,56.5,51.5,✅,✅,✅,99.0,✅,🟢
MPARK,62.2,52.3,✅,✅,✅,99.4,✅,🟢
AKBNK,55.8,52.6,✅,✅,✅,98.3,✅,🟢
KRGYO,43.5,54.1,✅,✅,✅,97.4,✅,🟢
VAKBN,59.8,54.8,✅,✅,✅,99.0,✅,🟢
TRMET,64.8,56.0,✅,✅,✅,100.0,✅,🟢
UNLU,48.1,56.1,✅,✅,✅,97.6,✅,🟢
LOGO,57.2,56.3,✅,✅,✅,98.3,✅,🟢
TRENJ,65.7,56.4,✅,✅,✅,100.0,✅,🟢
PETKM,59.4,56.4,✅,✅,✅,99.5,✅,🟢
SKYMD,,57.1,✅,✅,✅,98.5,✅,🟢
BRSAN,59.9,57.9,✅,✅,✅,97.6,✅,🟢
GMTAS,92.9,58.9,✅,✅,✅,100.0,✅,🟢
RYSAS,72.2,60.5,✅,✅,✅,99.7,✅,🟢
KCHOL,67.1,60.7,✅,✅,✅,98.6,✅,🟢
CRFSA,77.8,62.4,✅,✅,✅,97.6,✅,🟢
KRPLS,70.6,63.2,✅,✅,✅,97.7,✅,🟢
KRDMD,74.1,64.1,✅,✅,✅,99.2,✅,🟢
BIMAS,85.0,66.3,✅,✅,✅,99.1,✅,🟢
ISDMR,75.7,69.3,✅,✅,✅,100.0,✅,🟢
RYGYO,82.4,73.2,✅,✅,✅,100.0,✅,🟢
DEVA,68.3,73.5,✅,✅,✅,99.9,✅,🟢
AHGAZ,69.9,74.7,✅,✅,✅,100.0,✅,🟢
ENERY,73.0,74.7,✅,✅,✅,100.0,✅,🟢
TKFEN,81.4,76.6,✅,✅,✅,100.0,✅,🟢
