Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
DUNYH,46.4,❌,❌,❌,✅,4.4,❌,❌,—
ISATR,70.9,❌,❌,❌,❌,5.4,✅,✅,—
FORMT,32.3,❌,❌,❌,❌,16.2,❌,❌,—
KRTEK,30.1,✅,❌,✅,❌,18.5,❌,❌,—
MERKO,28.9,❌,❌,❌,❌,19.9,❌,✅,—
OTTO,32.6,❌,❌,❌,❌,20.1,❌,❌,—
SEKFK,33.1,❌,❌,❌,✅,20.6,❌,❌,—
LYDHO,40.8,❌,❌,❌,❌,21.1,❌,❌,—
BSOKE,42.0,❌,❌,❌,✅,21.5,❌,❌,—
BTCIM,39.4,❌,❌,❌,❌,21.9,❌,❌,—
EGEPO,43.0,❌,❌,❌,❌,22.4,❌,❌,—
MEDTR,35.5,❌,❌,❌,❌,22.7,❌,❌,—
SEGYO,40.5,❌,❌,❌,❌,22.9,❌,❌,—
MEGAP,36.9,❌,❌,❌,❌,23.0,❌,❌,—
A1CAP,38.2,❌,❌,❌,❌,23.1,❌,❌,—
DARDL,34.4,❌,❌,❌,❌,23.3,❌,❌,—
VAKFN,41.7,❌,❌,❌,❌,23.3,❌,❌,—
IHYAY,36.5,❌,❌,❌,❌,23.4,❌,❌,—
SODSN,36.3,❌,❌,❌,❌,23.4,❌,❌,—
USAK,38.0,❌,❌,❌,❌,23.6,❌,❌,—
RAYSG,36.2,❌,❌,❌,❌,23.8,❌,❌,—
YBTAS,36.0,❌,❌,❌,❌,24.0,❌,❌,—
SAFKR,39.2,❌,❌,❌,❌,24.1,❌,❌,—
RTALB,40.8,❌,❌,❌,❌,24.7,❌,❌,—
EKIZ,41.0,❌,❌,❌,❌,25.0,❌,❌,—
KZBGY,37.9,❌,❌,❌,❌,25.1,❌,❌,—
IMASM,37.9,❌,❌,❌,❌,25.1,❌,❌,—
AKGRT,43.5,❌,❌,❌,❌,25.2,❌,❌,—
TEZOL,38.3,❌,❌,❌,❌,25.3,❌,❌,—
KATMR,38.7,❌,❌,❌,❌,25.4,❌,❌,—
OYLUM,40.0,❌,❌,❌,❌,25.5,❌,❌,—
NATEN,34.1,❌,❌,❌,❌,25.6,❌,❌,—
YYAPI,38.8,❌,❌,❌,❌,25.7,❌,❌,—
AKYHO,37.3,❌,❌,❌,❌,25.8,❌,❌,—
PAMEL,37.4,❌,❌,❌,❌,25.9,❌,❌,—
YESIL,36.0,❌,❌,❌,❌,26.1,❌,❌,—
AGROT,31.0,❌,❌,❌,❌,26.2,❌,❌,—
QNBTR,44.0,❌,❌,❌,❌,26.4,❌,❌,—
GENTS,41.7,❌,❌,❌,❌,26.4,❌,❌,—
LYDYE,43.2,❌,❌,❌,❌,26.4,❌,❌,—
ONCSM,40.7,❌,❌,❌,❌,26.5,❌,❌,—
VRGYO,32.9,❌,❌,❌,❌,26.6,❌,❌,—
TMSN,36.0,❌,❌,❌,✅,26.6,❌,❌,—
PKENT,33.3,❌,❌,❌,❌,26.7,❌,❌,—
IZINV,38.4,❌,❌,❌,❌,26.9,❌,❌,—
ARZUM,34.7,❌,❌,❌,❌,26.9,❌,❌,—
VKING,38.2,❌,❌,❌,❌,26.9,❌,❌,—
YONGA,37.2,❌,❌,❌,❌,27.0,❌,❌,—
CEMTS,42.5,❌,❌,❌,✅,27.0,❌,❌,—
SKYLP,41.9,❌,❌,❌,✅,27.1,❌,❌,—
ATAKP,32.8,❌,❌,❌,❌,27.1,❌,❌,—
VERTU,42.0,❌,❌,❌,❌,27.3,❌,❌,—
KONKA,36.7,❌,❌,❌,❌,27.3,❌,❌,—
MEKAG,38.4,❌,❌,❌,❌,27.3,❌,❌,—
ERBOS,38.7,❌,❌,❌,❌,27.3,❌,❌,—
CMENT,38.7,❌,❌,❌,✅,27.4,❌,❌,—
LIDER,38.4,❌,❌,❌,❌,27.5,❌,❌,—
SOKE,37.7,❌,❌,❌,❌,27.6,❌,❌,—
DITAS,39.8,❌,❌,❌,❌,27.7,❌,❌,—
LRSHO,39.3,❌,❌,❌,❌,27.7,❌,❌,—
HTTBT,42.5,❌,❌,❌,❌,27.8,❌,❌,—
KLSER,24.2,❌,✅,❌,❌,27.8,❌,❌,—
ANGEN,34.4,❌,❌,❌,❌,27.8,❌,❌,—
EMKEL,40.4,❌,❌,❌,❌,27.9,❌,❌,—
EUREN,35.0,❌,❌,❌,❌,27.9,❌,❌,—
LUKSK,41.2,❌,❌,❌,✅,27.9,❌,❌,—
DERHL,44.9,❌,❌,❌,❌,28.1,❌,❌,—
DOFER,39.1,❌,❌,❌,❌,28.2,❌,❌,—
BAYRK,41.4,❌,❌,❌,❌,28.3,❌,❌,—
KAPLM,44.8,❌,❌,❌,❌,28.3,❌,❌,—
CVKMD,43.7,❌,❌,❌,❌,28.4,❌,❌,—
KIMMR,45.7,❌,❌,❌,❌,28.6,❌,❌,—
MAKTK,41.7,❌,❌,❌,❌,28.6,❌,❌,—
MEGMT,39.5,❌,❌,❌,❌,28.7,❌,❌,—
ORMA,41.7,❌,❌,❌,❌,28.7,❌,❌,—
OYYAT,42.9,❌,❌,❌,❌,28.8,❌,❌,—
AVTUR,42.3,❌,❌,❌,❌,28.9,❌,❌,—
ELITE,39.8,❌,❌,❌,❌,28.9,❌,❌,—
EUHOL,42.8,❌,❌,❌,❌,29.0,❌,❌,—
ATAGY,40.6,❌,❌,❌,❌,29.1,❌,❌,—
ADESE,43.1,❌,❌,❌,❌,29.1,❌,❌,—
DAPGM,40.0,❌,❌,❌,❌,29.2,❌,❌,—
ICUGS,43.5,❌,❌,❌,❌,29.3,❌,❌,—
CONSE,33.5,❌,❌,❌,❌,29.3,❌,❌,—
TATEN,36.6,❌,❌,❌,❌,29.4,❌,❌,—
IHEVA,42.2,❌,❌,❌,❌,29.4,❌,❌,—
MMCAS,41.0,❌,❌,❌,❌,29.4,❌,❌,—
CEMAS,41.9,❌,❌,❌,❌,29.4,❌,❌,—
ORCAY,33.1,❌,❌,❌,❌,29.5,❌,❌,—
SILVR,39.7,❌,❌,❌,❌,29.5,❌,❌,—
