Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,❌,❌,❌,❌,5.4,✅,✅,—
DUNYH,51.4,❌,❌,❌,✅,5.7,❌,❌,—
FORMT,32.8,❌,❌,❌,❌,17.2,❌,❌,—
KRTEK,30.6,✅,❌,✅,❌,18.8,❌,❌,—
MERKO,29.0,❌,❌,❌,❌,20.1,❌,✅,—
SEKFK,33.5,❌,❌,❌,✅,21.1,❌,❌,—
OTTO,33.1,❌,❌,❌,❌,21.1,❌,❌,—
BSOKE,43.0,❌,❌,❌,✅,22.6,❌,❌,—
EGEPO,43.2,❌,❌,❌,❌,22.6,❌,❌,—
LYDHO,42.6,❌,❌,❌,❌,22.8,❌,❌,—
BTCIM,40.3,❌,❌,❌,❌,22.9,❌,❌,—
VAKFN,42.2,❌,❌,❌,❌,24.1,❌,❌,—
MEDTR,36.3,❌,❌,❌,❌,24.2,❌,❌,—
SEGYO,41.3,❌,❌,❌,❌,24.3,❌,❌,—
SAFKR,39.5,❌,❌,❌,❌,24.4,❌,❌,—
YBTAS,36.1,❌,❌,❌,❌,24.4,❌,❌,—
A1CAP,39.4,❌,❌,❌,❌,24.6,❌,❌,—
DARDL,34.8,❌,❌,❌,❌,24.6,❌,❌,—
USAK,38.4,❌,❌,❌,❌,24.8,❌,✅,—
RAYSG,36.6,❌,❌,❌,❌,24.9,❌,❌,—
AKGRT,43.4,❌,❌,❌,❌,25.1,❌,❌,—
SODSN,37.1,❌,❌,❌,❌,25.3,❌,❌,—
MEGAP,37.8,❌,❌,❌,❌,25.6,❌,❌,—
TEZOL,38.5,❌,❌,❌,❌,25.7,❌,❌,—
IHYAY,37.3,❌,❌,❌,❌,25.9,❌,✅,—
KZBGY,38.4,❌,❌,❌,❌,25.9,❌,❌,—
YYAPI,39.1,❌,❌,❌,❌,26.4,❌,❌,—
IMASM,38.5,❌,❌,❌,❌,26.4,❌,❌,—
KATMR,39.5,❌,❌,❌,❌,26.6,❌,❌,—
EKIZ,42.2,❌,❌,❌,❌,26.9,❌,❌,—
AGROT,31.2,❌,❌,❌,❌,27.0,❌,❌,—
NATEN,34.8,❌,❌,❌,❌,27.0,❌,❌,—
OYLUM,41.0,❌,❌,❌,❌,27.4,❌,❌,—
TMSN,36.5,❌,❌,❌,✅,27.5,❌,❌,—
PAMEL,38.2,❌,❌,❌,❌,27.6,❌,❌,—
RTALB,42.6,❌,❌,❌,❌,27.6,❌,❌,—
ATAKP,33.3,❌,❌,❌,❌,27.7,❌,❌,—
GENTS,42.3,❌,❌,❌,❌,27.7,❌,❌,—
ONCSM,42.0,❌,❌,❌,❌,27.7,❌,❌,—
KONKA,37.1,❌,❌,❌,❌,27.8,❌,❌,—
PKENT,33.8,❌,❌,❌,❌,27.8,❌,❌,—
AKYHO,38.0,❌,❌,❌,❌,27.8,❌,❌,—
