Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
FADE,54.9,✅,✅,✅,✅,53.3,✅,✅,🟢
GUBRF,61.5,✅,✅,✅,✅,55.3,✅,✅,🟢
CWENE,63.1,✅,✅,✅,✅,55.5,✅,✅,🟢
ULUUN,61.7,✅,✅,✅,✅,56.2,✅,✅,🟢
TRENJ,66.0,✅,✅,✅,✅,58.1,✅,✅,🟢
ASELS,76.1,✅,✅,✅,✅,58.4,✅,✅,🟢
TRMET,65.8,✅,✅,✅,✅,59.0,✅,✅,🟢
TRCAS,66.8,✅,✅,✅,✅,59.6,✅,✅,🟢
BOBET,52.6,✅,✅,✅,✅,59.9,✅,✅,🟢
ALBRK,64.5,✅,✅,✅,✅,60.7,✅,✅,🟢
DOCO,64.3,✅,✅,✅,✅,61.2,✅,✅,🟢
EGPRO,65.9,✅,✅,✅,✅,61.4,✅,✅,🟢
KGYO,79.0,✅,✅,✅,✅,62.0,✅,✅,🟢
RYSAS,70.9,✅,✅,✅,✅,62.3,✅,✅,🟢
KLSYN,71.7,✅,✅,✅,✅,63.3,✅,✅,🟢
AGESA,73.0,✅,✅,✅,✅,63.9,✅,✅,🟢
BIGTK,57.7,✅,✅,✅,✅,64.1,✅,✅,🟢
BRSAN,63.2,✅,✅,✅,✅,64.3,✅,✅,🟢
INDES,67.2,✅,✅,✅,✅,65.2,✅,✅,🟢
AHGAZ,64.5,✅,✅,✅,✅,65.6,✅,✅,🟢
ISGYO,68.7,✅,✅,✅,✅,66.0,✅,✅,🟢
ASTOR,80.0,✅,✅,✅,✅,66.7,✅,✅,🟢
TNZTP,63.8,✅,✅,✅,✅,66.8,✅,✅,🟢
PEKGY,69.8,✅,✅,✅,✅,67.0,✅,✅,🟢
ORGE,69.1,✅,✅,✅,✅,67.5,✅,✅,🟢
SANFM,59.5,✅,✅,✅,✅,67.8,✅,✅,🟢
EUPWR,82.1,✅,✅,✅,✅,68.0,✅,✅,🟢
ETYAT,81.2,✅,✅,✅,✅,68.9,✅,✅,🟢
PSDTC,63.6,✅,✅,✅,✅,68.9,✅,✅,🟢
PCILT,70.8,✅,✅,✅,✅,68.9,✅,✅,🟢
KRDMD,74.3,✅,✅,✅,✅,69.8,✅,✅,🟢
VBTYZ,68.9,✅,✅,✅,✅,70.6,✅,✅,🟢
IZMDC,82.4,✅,✅,✅,✅,74.5,✅,✅,🟢
ATATP,79.9,✅,✅,✅,✅,76.3,✅,✅,🟢
DAGI,74.3,✅,✅,✅,✅,76.8,✅,✅,🟢
TGSAS,76.7,✅,✅,✅,✅,77.1,✅,✅,🟢
OZSUB,82.5,✅,✅,✅,✅,79.1,✅,✅,🟢
SELEC,89.2,✅,✅,✅,✅,79.9,✅,✅,🟢
RYGYO,81.4,✅,✅,✅,✅,80.4,✅,✅,🟢
KRDMA,75.0,✅,✅,✅,✅,81.5,✅,✅,🟢
ANELE,95.2,✅,✅,✅,✅,84.5,✅,✅,🟢
TRHOL,97.7,✅,✅,✅,✅,89.0,✅,✅,🟢
IEYHO,98.5,✅,✅,✅,✅,98.2,✅,✅,🟢
