Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
AKSGY,75.9,70.1,✅,✅,✅,99.1,✅,🟢
VBTYZ,69.0,70.6,✅,✅,✅,100.0,✅,🟢
DEVA,64.4,72.0,✅,✅,✅,100.0,✅,🟢
TKFEN,77.3,72.3,✅,✅,✅,99.9,✅,🟢
HATSN,,72.4,✅,✅,✅,100.0,✅,🟢
IZMDC,82.4,74.5,✅,✅,✅,100.0,✅,🟢
ATATP,79.9,76.3,✅,✅,✅,100.0,✅,🟢
DAGI,74.3,76.8,✅,✅,✅,99.7,✅,🟢
TGSAS,76.7,77.1,✅,✅,✅,100.0,✅,🟢
KTLEV,,77.4,✅,✅,✅,100.0,✅,🟢
OZSUB,82.5,79.1,✅,✅,✅,100.0,✅,🟢
SELEC,89.2,79.9,✅,✅,✅,100.0,✅,🟢
PRZMA,91.8,80.0,✅,✅,✅,98.2,✅,🟢
RYGYO,81.4,80.4,✅,✅,✅,100.0,✅,🟢
KRDMA,75.0,81.5,✅,✅,✅,100.0,✅,🟢
ANELE,95.2,84.5,✅,✅,✅,100.0,✅,🟢
AKFIS,,84.6,✅,✅,✅,100.0,✅,🟢
TRHOL,97.7,89.0,✅,✅,✅,100.0,✅,🟢
BIGEN,,89.2,✅,✅,✅,100.0,✅,🟢
OZATD,,94.5,✅,✅,✅,98.6,✅,🟢
IEYHO,98.5,98.2,✅,✅,✅,100.0,✅,🟢
