Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
TRMET,62.7,✅,✅,✅,✅,53.9,✅,✅,🟢
TRENJ,63.1,✅,✅,✅,✅,54.0,✅,✅,🟢
TRALT,64.7,✅,✅,✅,✅,54.3,✅,✅,🟢
SANFM,54.9,✅,✅,✅,✅,56.7,✅,✅,🟢
RALYH,62.5,✅,✅,✅,✅,57.0,✅,✅,🟢
PRDGS,60.3,✅,✅,✅,✅,57.1,✅,✅,🟢
GSDDE,68.1,✅,✅,✅,✅,57.5,✅,✅,🟢
ASELS,75.8,✅,✅,✅,✅,57.6,✅,✅,🟢
BOBET,50.1,✅,✅,✅,✅,58.0,✅,✅,🟢
TRCAS,67.0,✅,✅,✅,✅,58.4,✅,✅,🟢
SONME,62.0,✅,✅,✅,✅,59.1,✅,✅,🟢
EDATA,72.3,✅,✅,✅,✅,59.5,✅,✅,🟢
INDES,65.9,✅,✅,✅,✅,61.4,✅,✅,🟢
METRO,70.9,✅,✅,✅,✅,61.7,✅,✅,🟢
KCHOL,65.3,✅,✅,✅,✅,61.8,✅,✅,🟢
BRSAN,61.8,✅,✅,✅,✅,62.5,✅,✅,🟢
VBTYZ,65.4,✅,✅,✅,✅,63.0,✅,✅,🟢
PCILT,69.0,✅,✅,✅,✅,63.3,✅,✅,🟢
ISGYO,67.2,✅,✅,✅,✅,63.5,✅,✅,🟢
BIMAS,82.7,✅,✅,✅,✅,63.7,✅,✅,🟢
AKCNS,72.8,✅,✅,✅,✅,63.9,✅,✅,🟢
POLHO,73.2,✅,✅,✅,✅,64.2,✅,✅,🟢
VERUS,64.3,✅,✅,✅,✅,65.2,✅,✅,🟢
KRPLS,66.0,✅,✅,✅,✅,65.3,✅,✅,🟢
GENIL,61.4,✅,✅,✅,✅,65.3,✅,✅,🟢
ORGE,68.8,✅,✅,✅,✅,66.3,✅,✅,🟢
KCAER,61.3,✅,✅,✅,✅,66.8,✅,✅,🟢
MTRKS,64.5,✅,✅,✅,✅,68.2,✅,✅,🟢
KRDMD,73.8,✅,✅,✅,✅,68.7,✅,✅,🟢
AYGAZ,71.9,✅,✅,✅,✅,70.4,✅,✅,🟢
KUVVA,71.0,✅,✅,✅,✅,70.8,✅,✅,🟢
IZMDC,80.5,✅,✅,✅,✅,71.9,✅,✅,🟢
KRDMA,69.3,✅,✅,✅,✅,72.6,✅,✅,🟢
DAGI,72.0,✅,✅,✅,✅,73.5,✅,✅,🟢
CELHA,64.2,✅,✅,✅,✅,73.9,✅,✅,🟢
ATATP,79.9,✅,✅,✅,✅,74.0,✅,✅,🟢
SELEC,87.0,✅,✅,✅,✅,75.1,✅,✅,🟢
OZSUB,81.7,✅,✅,✅,✅,76.0,✅,✅,🟢
ANELE,93.8,✅,✅,✅,✅,77.1,✅,✅,🟢
TUPRS,79.4,✅,✅,✅,✅,79.7,✅,✅,🟢
TEHOL,72.3,✅,✅,✅,✅,82.6,✅,✅,🟢
ARDYZ,81.9,✅,✅,✅,✅,82.7,✅,✅,🟢
TRHOL,97.0,✅,✅,✅,✅,83.5,✅,✅,🟢
IEYHO,98.4,✅,✅,✅,✅,97.9,✅,✅,🟢
DUNYH,87.0,✅,✅,✅,✅,98.3,✅,✅,🟢
