Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
HATEK,44.0,37.7,✅,❌,✅,88.1,❌,—
SMRVA,,37.7,❌,✅,❌,-189.7,❌,—
ATAKP,41.6,37.8,✅,❌,✅,46.3,❌,—
CEMAS,46.2,37.9,✅,✅,✅,93.4,❌,—
ANGEN,39.8,37.9,✅,❌,✅,62.1,❌,—
ARTMS,,37.9,❌,❌,❌,31.6,❌,—
BIZIM,42.6,37.9,❌,❌,❌,97.0,✅,—
LUKSK,47.6,37.9,❌,❌,❌,98.1,✅,—
ISSEN,39.9,38.0,❌,❌,❌,74.3,❌,—
TUCLK,37.6,38.0,✅,✅,✅,92.4,❌,—
ELITE,44.8,38.0,✅,❌,✅,92.5,❌,—
SISE,48.3,38.1,❌,❌,❌,95.3,✅,—
HLGYO,56.2,38.2,❌,❌,❌,98.7,✅,—
EKOS,,38.3,✅,❌,✅,41.5,❌,—
ERCB,35.6,38.3,❌,❌,❌,-25.0,❌,—
FROTO,46.4,38.3,✅,✅,✅,90.0,❌,—
KLGYO,46.3,38.4,✅,✅,✅,96.5,✅,🟢
TEKTU,46.6,38.4,❌,❌,❌,95.6,✅,—
SELVA,44.8,38.4,❌,❌,❌,-150.0,❌,—
KENT,36.9,38.5,❌,✅,❌,70.8,❌,—
FZLGY,,38.5,❌,❌,❌,45.9,❌,—
LKMNH,46.8,38.6,✅,❌,✅,99.3,✅,—
DAPGM,47.2,38.6,❌,❌,❌,87.4,❌,—
KLKIM,46.8,38.7,✅,✅,✅,95.9,✅,🟢
SILVR,44.9,38.7,❌,❌,❌,99.4,✅,—
IDGYO,45.2,38.7,❌,❌,❌,89.7,❌,—
DITAS,48.1,38.7,❌,❌,❌,89.9,❌,—
MEDTR,42.0,38.8,✅,❌,✅,77.4,❌,—
YATAS,48.3,38.8,❌,❌,❌,98.1,✅,—
YONGA,42.8,38.9,✅,❌,✅,-73.0,❌,—
BRYAT,46.3,38.9,✅,❌,✅,98.9,✅,—
KARSN,45.7,38.9,❌,❌,❌,99.3,✅,—
ORCAY,36.2,38.9,✅,❌,✅,52.0,❌,—
GOKNR,43.8,39.0,✅,❌,✅,86.3,❌,—
KIMMR,53.4,39.0,✅,❌,✅,95.3,✅,—
SAFKR,52.0,39.0,❌,❌,❌,94.4,❌,—
MNDRS,47.2,39.0,✅,✅,✅,99.3,✅,🟢
BURCE,51.8,39.0,✅,❌,✅,97.8,✅,—
SUWEN,39.9,39.1,❌,❌,❌,78.9,❌,—
ZEDUR,45.3,39.1,❌,❌,❌,90.8,❌,—
MEYSU,,39.1,❌,❌,❌,76.8,❌,—
TSGYO,43.3,39.1,✅,❌,✅,94.0,❌,—
PARSN,43.6,39.2,✅,❌,✅,98.8,✅,—
REEDR,,39.2,✅,❌,✅,-1801.9,❌,—
MMCAS,48.7,39.2,❌,❌,❌,91.0,❌,—
GRNYO,51.9,39.4,❌,❌,❌,99.6,✅,—
GLRYH,44.8,39.4,✅,✅,✅,92.7,❌,—
MIATK,45.5,39.4,❌,❌,❌,63.8,❌,—
KLSER,27.5,39.6,❌,❌,❌,58.0,❌,—
BIENY,33.4,39.6,✅,✅,✅,33.6,❌,—
VSNMD,,39.6,❌,✅,❌,-169.2,❌,—
PRKAB,48.0,39.7,❌,❌,❌,94.2,❌,—
LYDYE,50.9,39.7,❌,❌,❌,99.8,✅,—
KRSTL,51.0,39.8,❌,❌,❌,98.7,✅,—
BIGCH,,39.8,❌,❌,❌,28.0,❌,—
HALKB,55.1,39.8,❌,❌,❌,93.6,❌,—
HUBVC,48.6,39.8,❌,❌,❌,92.5,❌,—
BALSU,,40.0,✅,❌,✅,-439.0,❌,—
ALKIM,46.9,40.1,✅,❌,✅,97.0,✅,—
SMART,46.4,40.1,❌,❌,❌,97.0,✅,—
DOFER,43.6,40.1,✅,✅,✅,55.9,❌,—
PLTUR,46.5,40.1,❌,❌,❌,89.2,❌,—
ULKER,47.8,40.1,✅,✅,✅,85.4,❌,—
INVEO,45.2,40.2,❌,❌,❌,95.6,✅,—
HEKTS,34.3,40.3,✅,❌,✅,83.6,❌,—
BFREN,33.8,40.3,✅,✅,✅,98.9,✅,🟢
IZINV,49.7,40.3,✅,❌,✅,93.3,❌,—
POLTK,40.0,40.3,❌,❌,❌,66.6,❌,—
AGYO,49.3,40.4,❌,❌,❌,98.1,✅,—
VKGYO,54.2,40.6,❌,❌,❌,99.0,✅,—
GRTHO,,40.7,❌,❌,❌,88.5,❌,—
RUZYE,48.8,40.7,✅,✅,✅,74.5,❌,—
ENKAI,59.2,40.8,❌,❌,❌,97.8,✅,—
SNICA,35.4,40.8,✅,❌,✅,-209.5,❌,—
AKFGY,52.3,40.9,❌,❌,❌,94.5,❌,—
DZGYO,49.7,40.9,❌,❌,❌,96.2,✅,—
PNSUT,48.8,41.0,✅,❌,✅,95.2,✅,—
GWIND,47.0,41.0,✅,❌,✅,62.0,❌,—
TTRAK,40.7,41.1,✅,✅,✅,92.8,❌,—
BEYAZ,47.8,41.1,✅,❌,✅,90.4,❌,—
MHRGY,,41.1,❌,❌,❌,-55.7,❌,—
HTTBT,48.5,41.2,❌,❌,❌,88.1,❌,—
TTKOM,52.7,41.2,❌,❌,❌,95.4,✅,—
KONYA,38.8,41.3,❌,✅,❌,98.4,✅,—
CIMSA,52.6,41.3,❌,❌,❌,97.9,✅,—
AYCES,47.8,41.3,❌,❌,❌,82.7,❌,—
OZKGY,49.9,41.4,❌,❌,❌,99.1,✅,—
SASA,39.6,41.4,❌,❌,❌,95.4,✅,—
TATEN,44.9,41.5,✅,❌,✅,23.6,❌,—
ALGYO,48.8,41.5,✅,❌,✅,92.8,❌,—
PENGD,52.3,41.6,✅,❌,✅,96.7,✅,—
YIGIT,,41.6,✅,❌,✅,28.1,❌,—
UMPAS,56.5,41.6,✅,✅,❌,3.7,❌,—
KUYAS,58.4,41.6,❌,❌,❌,99.8,✅,—
MAGEN,55.3,41.6,❌,❌,❌,95.5,✅,—
LINK,42.5,41.7,❌,❌,❌,91.9,❌,—
MGROS,55.4,41.8,✅,❌,✅,98.1,✅,—
BRISA,48.3,41.8,❌,❌,❌,98.5,✅,—
BRKVY,50.1,41.8,✅,❌,✅,71.9,❌,—
SAMAT,43.7,42.0,❌,❌,❌,97.5,✅,—
OYAYO,53.6,42.0,❌,❌,❌,97.2,✅,—
BVSAN,50.6,42.1,❌,❌,❌,41.5,❌,—
LMKDC,,42.1,✅,✅,✅,81.9,❌,—
CRDFA,61.7,42.1,❌,❌,❌,96.0,✅,—
ESEN,45.0,42.2,✅,✅,✅,67.6,❌,—
YAPRK,42.9,42.3,❌,❌,❌,66.7,❌,—
KFEIN,47.6,42.3,❌,❌,❌,93.1,❌,—
PAMEL,43.4,42.3,❌,❌,❌,94.5,❌,—
ATLAS,50.8,42.3,✅,❌,✅,98.2,✅,—
SUMAS,47.5,42.4,❌,❌,❌,89.6,❌,—
KAPLM,55.6,42.5,❌,❌,❌,98.0,✅,—
PENTA,43.0,42.6,❌,❌,❌,-102.8,❌,—
CLEBI,48.2,42.6,✅,✅,✅,98.1,✅,🟢
AVHOL,47.3,42.6,❌,❌,❌,83.7,❌,—
AZTEK,45.7,42.6,❌,❌,❌,83.4,❌,—
ISCTR,50.2,42.7,✅,❌,✅,96.0,✅,—
ALCAR,42.3,42.7,❌,❌,❌,99.6,✅,—
OTKAR,42.4,42.7,✅,✅,✅,99.4,✅,🟢
AFYON,51.5,42.7,❌,❌,❌,99.3,✅,—
MAKIM,44.4,42.7,❌,❌,❌,97.3,✅,—
MAVI,51.4,42.8,❌,❌,❌,88.1,❌,—
ISKPL,50.7,42.8,❌,❌,❌,87.3,❌,—
GZNMI,43.3,42.9,✅,✅,✅,94.0,❌,—
YYLGD,47.6,42.9,✅,❌,✅,52.2,❌,—
IZENR,48.2,43.0,❌,❌,❌,77.4,❌,—
LILAK,,43.0,❌,❌,❌,52.3,❌,—
SOKE,50.5,43.0,❌,❌,❌,90.0,❌,—
BORLS,,43.1,✅,✅,✅,-227.4,❌,—
DENGE,45.0,43.3,✅,✅,✅,84.1,❌,—
ULUFA,54.9,43.3,❌,❌,❌,91.0,❌,—
CMBTN,40.9,43.4,❌,✅,❌,97.6,✅,—
TUREX,45.9,43.4,✅,✅,✅,2.5,❌,—
FLAP,50.9,43.5,❌,❌,❌,86.3,❌,—
LYDHO,58.3,43.5,❌,❌,❌,99.4,✅,—
HDFGS,50.0,43.6,✅,❌,✅,94.1,❌,—
AVOD,51.1,43.7,❌,❌,❌,98.7,✅,—
NUHCM,48.6,43.7,❌,❌,❌,95.8,✅,—
ALCTL,50.9,43.7,❌,❌,❌,98.8,✅,—
PATEK,,43.7,❌,❌,❌,85.3,❌,—
MARBL,43.5,43.7,❌,❌,❌,69.7,❌,—
VERTU,48.3,43.7,✅,❌,✅,93.7,❌,—
AGROT,37.6,43.8,✅,✅,✅,-206.5,❌,—
KLNMA,43.3,43.8,✅,❌,✅,96.5,✅,—
ONCSM,56.1,43.8,❌,❌,❌,96.2,✅,—
CGCAM,,43.9,✅,❌,✅,91.8,❌,—
DESPC,46.4,44.0,✅,❌,✅,97.1,✅,—
TERA,55.3,44.1,✅,✅,✅,95.3,✅,🟢
IZFAS,60.6,44.1,❌,❌,❌,97.6,✅,—
EUYO,53.2,44.2,❌,❌,❌,97.4,✅,—
ECILC,53.4,44.3,✅,✅,✅,97.0,✅,🟢
BRKSN,48.3,44.3,❌,❌,❌,93.8,❌,—
TSKB,50.8,44.3,✅,❌,✅,98.8,✅,—
AVPGY,,44.3,✅,❌,✅,81.4,❌,—
YAYLA,49.3,44.3,❌,✅,❌,97.8,✅,—
KTSKR,54.3,44.4,❌,❌,❌,98.4,✅,—
VAKKO,50.0,44.5,❌,❌,❌,99.5,✅,—
KOPOL,45.9,44.5,❌,❌,❌,85.4,❌,—
FRIGO,53.3,44.6,❌,✅,❌,96.8,✅,—
KBORU,,44.6,❌,❌,❌,82.1,❌,—
PINSU,56.1,44.6,✅,❌,✅,98.5,✅,—
A1YEN,50.4,44.8,✅,❌,✅,89.8,❌,—
TDGYO,48.7,44.9,❌,✅,❌,86.3,❌,—
BANVT,43.6,45.0,❌,❌,❌,98.5,✅,—
ONRYT,,45.0,✅,❌,✅,40.0,❌,—
MAALT,51.6,45.0,❌,❌,❌,98.3,✅,—
BAKAB,52.0,45.0,❌,❌,❌,97.8,✅,—
SKYLP,57.3,45.1,❌,❌,❌,96.6,✅,—
AGHOL,53.6,45.2,❌,❌,❌,99.0,✅,—
LIDFA,60.1,45.2,❌,❌,❌,96.9,✅,—
MERIT,52.2,45.2,❌,❌,❌,77.8,❌,—
INTEM,50.8,45.2,❌,✅,❌,99.0,✅,—
BALAT,53.9,45.3,❌,✅,❌,90.1,❌,—
NTGAZ,60.9,45.3,❌,❌,❌,98.3,✅,—
ORMA,49.4,45.3,❌,❌,❌,89.9,❌,—
KAREL,47.9,45.4,❌,❌,❌,95.5,✅,—
ACSEL,52.3,45.5,❌,❌,❌,94.1,❌,—
PETUN,51.5,45.5,✅,✅,✅,96.3,✅,🟢
KLMSN,50.5,45.6,✅,✅,✅,99.0,✅,🟢
SNPAM,50.7,45.6,✅,✅,✅,99.7,✅,🟢
INTEK,43.4,45.7,❌,❌,❌,60.4,❌,—
EYGYO,,45.7,❌,✅,❌,-133.3,❌,—
GEDZA,52.1,45.7,✅,❌,✅,95.9,✅,—
ASGYO,,45.7,✅,❌,✅,-69.3,❌,—
BRLSM,49.1,45.8,❌,❌,❌,57.6,❌,—
TOASO,56.6,45.8,✅,❌,✅,86.3,❌,—
MSGYO,56.6,45.9,❌,❌,❌,99.0,✅,—
INGRM,47.7,45.9,❌,❌,❌,98.0,✅,—
KNFRT,49.1,45.9,❌,❌,❌,98.7,✅,—
EDIP,57.5,46.0,❌,❌,❌,99.0,✅,—
GLBMD,51.9,46.0,❌,❌,❌,94.3,❌,—
BAYRK,47.5,46.1,✅,✅,✅,97.6,✅,🟢
TURGG,49.4,46.2,✅,✅,✅,97.4,✅,🟢
ENERY,58.2,46.3,❌,❌,❌,88.1,❌,—
GSDHO,53.5,46.3,✅,❌,✅,99.8,✅,—
GARFA,53.5,46.3,✅,❌,✅,99.8,✅,—
EGSER,46.8,46.4,❌,❌,❌,98.7,✅,—
ISGSY,60.7,46.4,❌,❌,❌,98.7,✅,—
TCELL,56.9,46.4,❌,❌,❌,90.4,❌,—
EUHOL,51.9,46.4,❌,✅,❌,98.2,✅,—
BAGFS,48.7,46.5,✅,✅,✅,97.7,✅,🟢
LOGO,53.8,46.5,✅,✅,✅,98.2,✅,🟢
MEPET,60.4,46.5,✅,❌,✅,99.6,✅,—
BASGZ,66.3,46.6,✅,❌,✅,99.5,✅,—
DYOBY,47.8,46.7,✅,✅,✅,97.7,✅,🟢
OBASE,52.6,46.8,❌,❌,❌,98.6,✅,—
THYAO,54.9,46.9,❌,❌,❌,99.7,✅,—
ALFAS,45.8,46.9,✅,❌,✅,77.6,❌,—
SKTAS,45.1,47.0,✅,✅,✅,100.0,✅,🟢
BURVA,60.9,47.0,❌,❌,❌,99.9,✅,—
