Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
PNSUT,54.4,✅,✅,✅,✅,45.8,✅,✅,🟢
PETUN,54.8,✅,✅,✅,✅,48.7,✅,✅,🟢
TURGG,53.2,✅,✅,✅,✅,50.4,✅,✅,🟢
DIRIT,53.2,✅,✅,✅,✅,54.9,✅,✅,🟢
KCHOL,67.0,✅,✅,✅,✅,61.2,✅,✅,🟢
TRCAS,68.5,✅,✅,✅,✅,62.1,✅,✅,🟢
BIMAS,83.5,✅,✅,✅,✅,64.3,✅,✅,🟢
ENERY,66.9,✅,✅,✅,✅,65.3,✅,✅,🟢
BOBET,57.4,✅,✅,✅,✅,66.0,✅,✅,🟢
KRPLS,71.4,✅,✅,✅,✅,67.0,✅,✅,🟢
CRFSA,84.4,✅,✅,✅,✅,67.2,✅,✅,🟢
HALKB,68.6,✅,✅,✅,✅,68.0,✅,✅,🟢
AHGAZ,66.0,✅,✅,✅,✅,68.2,✅,✅,🟢
ETYAT,82.1,✅,✅,✅,✅,70.1,✅,✅,🟢
SELEC,90.6,✅,✅,✅,✅,81.5,✅,✅,🟢
ANELE,96.1,✅,✅,✅,✅,86.2,✅,✅,🟢
TRHOL,98.2,✅,✅,✅,✅,91.4,✅,✅,🟢
IEYHO,98.7,✅,✅,✅,✅,98.6,✅,✅,🟢
