Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,30.0,15.4,❌,❌,❌,94.2,❌,—
FORMT,34.0,19.9,❌,❌,❌,64.5,❌,—
MERKO,29.2,20.6,❌,✅,❌,-16.1,❌,—
SEKFK,34.6,22.6,❌,❌,❌,88.9,❌,—
BARMA,,22.7,❌,❌,❌,75.1,❌,—
IHYAY,37.8,24.1,❌,❌,❌,87.6,❌,—
OTTO,34.7,24.1,❌,❌,❌,75.0,❌,—
ALVES,35.9,24.2,❌,❌,❌,-42.3,❌,—
NATEN,36.4,25.7,❌,❌,❌,94.6,❌,—
TEZOL,39.4,25.9,❌,❌,❌,79.6,❌,—
IMASM,39.6,26.1,❌,❌,❌,6.4,❌,—
TMSN,37.5,26.2,❌,❌,❌,98.3,✅,—
BTCIM,44.4,26.7,❌,❌,❌,89.1,❌,—
BMSCH,43.0,26.7,❌,❌,❌,75.4,❌,—
MEGAP,38.3,26.8,❌,❌,❌,63.0,❌,—
VAKFN,44.8,26.8,❌,❌,❌,98.1,✅,—
USAK,39.1,27.0,❌,✅,❌,85.0,❌,—
EKIZ,43.4,27.7,❌,❌,❌,95.1,✅,—
SURGY,,27.8,❌,❌,❌,12.3,❌,—
AKYHO,40.0,27.9,❌,❌,❌,97.8,✅,—
KATMR,41.3,28.0,❌,❌,❌,85.6,❌,—
YBTAS,37.0,28.2,❌,❌,❌,2.4,❌,—
ARFYE,,28.2,❌,❌,❌,,❌,—
IHLAS,39.8,28.3,❌,✅,❌,86.9,❌,—
SAFKR,42.7,28.5,❌,❌,❌,93.6,❌,—
LIDER,39.8,29.1,❌,❌,❌,71.1,❌,—
DARDL,36.0,29.2,❌,❌,❌,86.3,❌,—
KZBGY,40.4,29.3,❌,❌,❌,84.3,❌,—
RAYSG,37.7,29.5,❌,❌,❌,88.6,❌,—
DCTTR,,29.6,❌,❌,❌,39.4,❌,—
KONKA,38.7,29.6,❌,❌,❌,93.5,❌,—
A1CAP,43.7,29.6,❌,❌,❌,91.2,❌,—
MOPAS,,29.6,❌,❌,❌,80.1,❌,—
AGROT,33.3,29.7,❌,❌,❌,-218.7,❌,—
SODSN,38.8,29.7,❌,❌,❌,76.2,❌,—
QNBTR,45.3,29.8,❌,❌,❌,99.9,✅,—
CVKMD,44.9,29.9,❌,❌,❌,95.3,✅,—
ATAGY,43.0,30.0,❌,❌,❌,92.3,❌,—
YKSLN,34.9,30.1,❌,❌,❌,88.5,❌,—
YYAPI,40.3,30.3,❌,✅,❌,84.2,❌,—
KRVGD,45.8,30.3,❌,❌,❌,83.3,❌,—
LRSHO,41.1,30.4,❌,❌,❌,83.5,❌,—
YESIL,37.3,30.5,❌,❌,❌,73.4,❌,—
ARZUM,36.1,30.5,❌,❌,❌,17.0,❌,—
GENTS,43.9,30.6,❌,✅,❌,95.3,✅,—
SEGYO,44.3,30.6,❌,❌,❌,89.5,❌,—
GOKNR,39.7,30.7,❌,❌,❌,80.7,❌,—
BEGYO,,30.7,❌,❌,❌,40.7,❌,—
UNLU,38.0,30.8,❌,❌,❌,87.9,❌,—
EMKEL,41.6,31.1,❌,❌,❌,90.8,❌,—
KONTR,33.6,31.2,❌,✅,❌,-55.0,❌,—
BSOKE,48.6,31.2,❌,❌,❌,97.2,✅,—
OSTIM,41.1,31.2,❌,❌,❌,96.7,✅,—
PGSUS,38.0,31.5,❌,❌,❌,92.2,❌,—
ARCLK,40.4,31.5,❌,❌,❌,95.6,✅,—
AKGRT,47.4,31.6,❌,❌,❌,97.2,✅,—
IHGZT,42.8,31.6,❌,❌,❌,84.3,❌,—
TRILC,37.2,31.6,❌,✅,❌,60.3,❌,—
EKOS,,31.6,❌,❌,❌,44.1,❌,—
CMENT,40.2,31.7,❌,❌,❌,98.2,✅,—
AVTUR,46.4,32.0,❌,❌,❌,96.8,✅,—
ENSRI,41.6,32.2,❌,✅,❌,-67.0,❌,—
RTALB,45.2,32.2,❌,❌,❌,91.6,❌,—
GRNYO,46.6,32.3,❌,❌,❌,99.5,✅,—
ERBOS,42.3,32.3,❌,❌,❌,99.1,✅,—
ZOREN,36.8,32.4,✅,✅,✅,82.3,❌,—
FZLGY,,32.4,❌,❌,❌,33.9,❌,—
YONGA,40.7,32.4,❌,❌,❌,-89.1,❌,—
ASUZU,42.3,32.5,❌,❌,❌,98.6,✅,—
PKENT,35.7,32.6,❌,❌,❌,78.0,❌,—
VKING,40.6,32.6,❌,❌,❌,97.2,✅,—
KOTON,,32.8,❌,❌,❌,,❌,—
DERHL,45.7,32.8,❌,❌,❌,71.7,❌,—
LMKDC,43.2,32.9,❌,❌,❌,79.6,❌,—
MNDTR,39.2,33.0,❌,❌,❌,98.0,✅,—
LYDHO,49.2,33.1,❌,❌,❌,99.3,✅,—
ANGEN,38.1,33.2,❌,❌,❌,61.0,❌,—
BULGS,,33.2,❌,❌,❌,76.5,❌,—
TUKAS,38.1,33.2,❌,✅,❌,85.1,❌,—
VRGYO,36.2,33.3,❌,✅,❌,-83.7,❌,—
KSTUR,41.4,33.3,❌,❌,❌,52.0,❌,—
KLSER,26.7,33.5,❌,❌,❌,57.8,❌,—
ZGYO,,33.7,❌,❌,❌,79.3,❌,—
