Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ULAS,45.8,38.0,✅,✅,✅,96.3,✅,🟢
LYDYE,50.0,42.3,✅,✅,✅,99.8,✅,🟢
SANKO,47.0,44.8,✅,✅,✅,98.9,✅,🟢
PNSUT,54.4,45.8,✅,✅,✅,96.6,✅,🟢
SKTAS,45.3,46.2,✅,✅,✅,100.0,✅,🟢
KONYA,40.5,46.7,✅,✅,✅,98.5,✅,🟢
TERA,56.9,47.8,✅,✅,✅,96.7,✅,🟢
PETUN,54.8,48.7,✅,✅,✅,97.5,✅,🟢
KUYAS,63.5,48.8,✅,✅,✅,100.0,✅,🟢
SNPAM,51.2,50.1,✅,✅,✅,99.7,✅,🟢
TURGG,53.2,50.4,✅,✅,✅,98.8,✅,🟢
PRKME,50.6,50.6,✅,✅,✅,99.7,✅,🟢
MARTI,44.8,53.8,✅,✅,✅,100.0,✅,🟢
VAKBN,58.5,56.0,✅,✅,✅,99.5,✅,🟢
RALYH,61.5,56.8,✅,✅,✅,99.4,✅,🟢
AVOD,55.5,58.4,✅,✅,✅,100.0,✅,🟢
KARSN,58.2,58.8,✅,✅,✅,100.0,✅,🟢
SOKM,59.7,61.0,✅,✅,✅,95.4,✅,🟢
KCHOL,67.0,61.2,✅,✅,✅,100.0,✅,🟢
TRCAS,68.5,62.1,✅,✅,✅,99.3,✅,🟢
SKYMD,,62.4,✅,✅,✅,100.0,✅,🟢
OFSYM,,62.7,✅,✅,✅,100.0,✅,🟢
ALARK,59.3,63.7,✅,✅,✅,100.0,✅,🟢
BIMAS,83.5,64.3,✅,✅,✅,99.0,✅,🟢
RYSAS,72.4,64.4,✅,✅,✅,100.0,✅,🟢
ENERY,66.9,65.3,✅,✅,✅,97.9,✅,🟢
BOBET,57.4,66.0,✅,✅,✅,99.1,✅,🟢
KRPLS,71.4,67.0,✅,✅,✅,100.0,✅,🟢
MANAS,71.6,67.1,✅,✅,✅,100.0,✅,🟢
CRFSA,84.4,67.2,✅,✅,✅,98.8,✅,🟢
HALKB,68.6,68.0,✅,✅,✅,96.0,✅,🟢
AHGAZ,66.0,68.2,✅,✅,✅,100.0,✅,🟢
KUVVA,68.3,69.2,✅,✅,✅,100.0,✅,🟢
ETYAT,82.1,70.1,✅,✅,✅,100.0,✅,🟢
ALKLC,,71.1,✅,✅,✅,100.0,✅,🟢
DEVA,65.9,72.5,✅,✅,✅,100.0,✅,🟢
NETAS,67.1,72.7,✅,✅,✅,99.5,✅,🟢
SELEC,90.6,81.5,✅,✅,✅,100.0,✅,🟢
RYGYO,72.6,82.1,✅,✅,✅,100.0,✅,🟢
ANELE,96.1,86.2,✅,✅,✅,100.0,✅,🟢
TRHOL,98.2,91.4,✅,✅,✅,100.0,✅,🟢
IEYHO,98.7,98.6,✅,✅,✅,100.0,✅,🟢
