build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ANELE,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-09-11,,177.7,229.4,174.6,174.6,Formasyon kendi içinde teyitli,229.4,229.40 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CRFSA,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-09-11,,248.5,346.75,246.8,246.8,Formasyon kendi içinde teyitli,346.75,346.75 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DOCO,HAFTALIK,Three Inside Down,A,AYI,AYI TEYİDİ,2026-09-11,,11132.5,11900.0,11060.0,11060.0,Formasyon kendi içinde teyitli,11900.0,11900.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ETYAT,HAFTALIK,Evening Star,A,AYI,AYI TEYİDİ,2026-09-11,,14.4,16.59,13.5,13.5,Formasyon kendi içinde teyitli,16.59,16.59 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ETYAT,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-09-11,,14.4,16.59,13.5,13.5,Formasyon kendi içinde teyitli,16.59,16.59 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,POLHO,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-09-11,,22.12,23.6,21.3,21.3,Formasyon kendi içinde teyitli,23.6,23.60 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PRKME,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-09-11,,18.29,19.8,17.86,17.86,Formasyon kendi içinde teyitli,19.8,19.80 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AEFES,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-09-11,,19.74,19.96,17.74,19.96,Formasyon kendi içinde teyitli,17.74,17.74 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ANHYT,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-09-11,,109.1,109.8,102.3,109.8,Formasyon kendi içinde teyitli,102.3,102.30 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EBEBK,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-09-11,,85.2,86.0,78.85,86.0,Formasyon kendi içinde teyitli,78.85,78.85 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PARSN,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-09-11,,72.8,76.0,68.65,76.0,Formasyon kendi içinde teyitli,68.65,68.65 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BRLSM,HAFTALIK,Dark Cloud,B,AYI,AYI TEYİDİ,2026-09-04,2026-09-11,17.41,27.2,17.56,17.56,Teyit geldi: haftalık kapanış < 17.56,27.2,27.20 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CRFSA,HAFTALIK,Shooting Star,B,AYI,AYI TEYİDİ,2026-09-04,2026-09-11,248.5,346.75,255.25,255.25,Teyit geldi: haftalık kapanış < 255.25,346.75,346.75 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KRDMA,HAFTALIK,Dark Cloud,B,AYI,AYI TEYİDİ,2026-09-04,2026-09-11,51.5,71.15,53.0,53.0,Teyit geldi: haftalık kapanış < 53.00,71.15,71.15 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AEFES,HAFTALIK,Boğa Harami,B,BOĞA,BOĞA TEYİDİ,2026-09-04,2026-09-11,19.74,19.25,17.74,19.25,Teyit geldi: haftalık kapanış > 19.25,17.74,17.74 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AVTUR,HAFTALIK,Hammer,B,BOĞA,BOĞA TEYİDİ,2026-09-04,2026-09-11,12.78,12.5,11.45,12.5,Teyit geldi: haftalık kapanış > 12.50,11.45,11.45 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CCOLA,HAFTALIK,Hammer,B,BOĞA,BOĞA TEYİDİ,2026-09-04,2026-09-11,80.2,79.35,75.2,79.35,Teyit geldi: haftalık kapanış > 79.35,75.2,75.20 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MIATK,HAFTALIK,Hammer,B,BOĞA,BOĞA TEYİDİ,2026-09-04,2026-09-11,37.4,30.7,26.76,30.7,Teyit geldi: haftalık kapanış > 30.70,26.76,26.76 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AVOD,HAFTALIK,Ayı Harami,B,AYI,TEYİT BEKLİYOR,2026-09-11,,4.33,4.75,3.8,3.8,Sonraki haftalık kapanış < 3.80,4.75,4.75 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AYGAZ,HAFTALIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-09-11,,327.75,341.25,319.5,319.5,Sonraki haftalık kapanış < 319.50,341.25,341.25 üstü formasyonu bozar
