Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
KRTEK,30.8,✅,❌,✅,❌,15.5,❌,❌,—
MERKO,29.3,❌,❌,❌,❌,20.8,❌,✅,—
FORMT,35.1,❌,❌,❌,❌,21.9,❌,❌,—
SEKFK,35.6,❌,❌,❌,✅,23.2,❌,❌,—
IHYAY,37.9,❌,❌,❌,❌,26.1,❌,❌,—
VAKFN,45.4,❌,❌,❌,❌,26.9,❌,❌,—
ZOREN,35.3,❌,❌,❌,❌,27.1,❌,❌,—
EKIZ,44.1,❌,❌,❌,❌,27.7,❌,❌,—
MEGAP,38.8,❌,❌,❌,❌,28.0,❌,❌,—
IHGZT,42.8,❌,❌,❌,❌,28.0,❌,❌,—
USAK,39.4,❌,❌,❌,❌,28.0,✅,✅,—
BUCIM,38.8,❌,❌,❌,❌,28.1,❌,❌,—
IHLAS,39.8,✅,❌,✅,❌,28.2,❌,✅,—
VESBE,31.5,❌,❌,❌,❌,28.2,❌,❌,—
IMASM,40.2,❌,❌,❌,❌,28.2,❌,❌,—
SODSN,39.0,❌,❌,❌,❌,28.5,❌,❌,—
TEZOL,41.0,❌,❌,❌,❌,28.8,✅,❌,—
NATEN,37.7,❌,❌,❌,❌,29.1,❌,❌,—
QNBTR,46.5,❌,❌,❌,❌,29.8,❌,❌,—
CVKMD,45.3,❌,❌,❌,❌,30.1,❌,❌,—
TMSN,39.1,❌,❌,❌,✅,30.2,❌,❌,—
OSTIM,40.9,✅,❌,✅,❌,30.3,❌,❌,—
VESTL,32.2,❌,❌,❌,❌,30.5,❌,❌,—
GENTS,43.7,❌,❌,❌,❌,30.5,❌,❌,—
OTTO,36.8,❌,❌,❌,❌,30.6,✅,✅,—
ASUZU,41.7,❌,❌,❌,❌,30.7,❌,❌,—
VRGYO,35.0,❌,❌,❌,❌,30.7,❌,❌,—
COSMO,44.3,❌,❌,❌,❌,30.8,❌,❌,—
TUKAS,37.7,❌,✅,❌,❌,30.9,❌,❌,—
KZBGY,41.3,❌,❌,❌,❌,31.0,❌,❌,—
CANTE,38.9,✅,❌,✅,❌,31.2,✅,✅,—
YYAPI,40.3,❌,❌,❌,❌,31.2,❌,✅,—
MZHLD,40.2,❌,❌,❌,❌,31.5,❌,❌,—
KATMR,43.6,❌,❌,❌,❌,31.7,❌,❌,—
MEKAG,40.8,❌,❌,❌,❌,31.8,❌,❌,—
DARDL,36.8,❌,✅,❌,❌,31.8,❌,❌,—
RAYSG,38.8,❌,❌,❌,❌,31.9,❌,❌,—
UNLU,38.7,❌,❌,❌,❌,32.0,❌,❌,—
BMSCH,45.9,❌,❌,❌,❌,32.0,✅,❌,—
A1CAP,45.8,❌,❌,❌,❌,32.1,✅,❌,—
EUREN,36.5,❌,❌,❌,❌,32.3,❌,❌,—
ENSRI,42.2,❌,❌,❌,❌,32.4,❌,✅,—
MNDTR,38.0,❌,❌,❌,❌,32.5,❌,❌,—
IHLGM,43.3,❌,❌,❌,❌,32.5,❌,❌,—
SEGYO,45.6,❌,❌,❌,❌,32.6,❌,❌,—
KONTR,34.0,❌,❌,❌,❌,32.7,❌,✅,—
ARCLK,39.5,❌,❌,❌,❌,32.7,❌,❌,—
LIDER,44.0,❌,❌,❌,❌,32.8,❌,❌,—
TRILC,38.0,❌,❌,❌,❌,32.9,❌,✅,—
PGSUS,37.6,❌,❌,❌,❌,32.9,❌,❌,—
PARSN,41.9,❌,❌,❌,❌,33.0,✅,❌,—
YKSLN,33.3,❌,❌,❌,❌,33.2,❌,❌,—
KLKIM,44.0,✅,❌,✅,❌,33.2,❌,❌,—
YESIL,37.9,❌,❌,❌,❌,33.2,❌,✅,—
CONSE,36.1,❌,❌,❌,❌,33.4,❌,❌,—
MRGYO,42.4,❌,❌,❌,❌,33.4,❌,❌,—
ISYAT,43.5,❌,❌,❌,❌,33.6,❌,❌,—
ALKA,47.3,❌,❌,❌,❌,33.6,❌,❌,—
BERA,42.5,✅,❌,✅,❌,33.7,❌,❌,—
ISMEN,46.7,❌,❌,❌,❌,33.7,❌,❌,—
NIBAS,46.7,❌,❌,❌,❌,33.7,❌,❌,—
LRSHO,42.5,❌,❌,❌,❌,33.8,❌,❌,—
MAKTK,45.5,❌,❌,❌,❌,33.9,✅,❌,—
AVTUR,47.3,❌,❌,❌,❌,34.1,❌,❌,—
FENER,34.6,✅,✅,✅,❌,34.1,❌,✅,—
ANGEN,38.8,❌,❌,❌,❌,34.2,❌,❌,—
PKENT,36.3,❌,❌,❌,❌,34.2,❌,❌,—
PAPIL,42.4,✅,❌,✅,❌,34.4,❌,❌,—
KRVGD,46.2,❌,❌,❌,❌,34.4,❌,❌,—
YBTAS,38.3,✅,❌,✅,❌,34.4,❌,✅,—
AKGRT,48.3,❌,❌,❌,❌,34.4,❌,❌,—
CEMTS,45.7,✅,❌,✅,✅,34.5,❌,❌,—
DESA,44.4,❌,❌,❌,✅,34.6,❌,❌,—
ERBOS,43.3,❌,❌,❌,✅,34.7,❌,❌,—
KAYSE,41.1,❌,❌,❌,❌,34.8,❌,❌,—
GLCVY,46.7,❌,❌,❌,❌,35.3,✅,❌,—
SKBNK,46.3,❌,❌,❌,❌,35.3,✅,❌,—
ATAGY,44.2,❌,❌,❌,❌,35.3,❌,❌,—
CEMAS,45.6,✅,❌,✅,❌,35.4,❌,❌,—
OYLUM,44.5,❌,❌,❌,❌,35.4,❌,❌,—
ARZUM,37.8,✅,❌,✅,❌,35.4,✅,✅,—
RTALB,46.7,❌,❌,❌,❌,35.4,❌,❌,—
JANTS,38.9,❌,❌,❌,❌,35.5,✅,❌,—
VKFYO,46.3,❌,❌,❌,❌,35.6,❌,❌,—
OYYAT,47.1,✅,❌,✅,❌,35.7,✅,❌,—
ADESE,45.0,✅,❌,✅,❌,35.9,✅,✅,—
TLMAN,44.1,✅,❌,✅,❌,35.9,❌,❌,—
MARTI,37.3,❌,❌,❌,❌,35.9,❌,❌,—
SRVGY,40.3,✅,❌,✅,❌,36.0,❌,❌,—
SNGYO,46.2,❌,❌,❌,❌,36.1,❌,❌,—
BLCYT,45.1,✅,❌,✅,❌,36.2,✅,❌,—
BIZIM,41.8,❌,❌,❌,❌,36.2,❌,❌,—
EMKEL,43.5,❌,❌,❌,❌,36.4,❌,✅,—
EGEEN,38.6,❌,❌,❌,❌,36.4,❌,✅,—
HATEK,43.5,❌,❌,❌,❌,36.5,✅,❌,—
MEDTR,41.3,✅,❌,✅,❌,36.5,✅,❌,—
SISE,47.2,❌,❌,❌,❌,36.6,❌,❌,—
VKING,42.0,❌,❌,❌,❌,36.6,❌,❌,—
CASA,41.7,✅,❌,✅,❌,36.7,❌,❌,—
