Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ULAS,46.8,41.3,✅,✅,✅,96.2,✅,🟢
SANKO,46.8,42.5,✅,✅,✅,98.8,✅,🟢
PNSUT,50.2,44.8,✅,✅,✅,96.5,✅,🟢
AVOD,51.8,45.7,✅,✅,✅,99.4,✅,🟢
SKTAS,44.6,45.9,✅,✅,✅,100.0,✅,🟢
TERA,56.5,47.1,✅,✅,✅,96.1,✅,🟢
KUYAS,63.6,49.1,✅,✅,✅,99.8,✅,🟢
MRGYO,47.3,51.0,✅,✅,✅,97.1,✅,🟢
BUCIM,45.7,51.1,✅,✅,✅,99.2,✅,🟢
TURGG,51.1,51.3,✅,✅,✅,98.2,✅,🟢
KARSN,51.4,52.1,✅,✅,✅,99.9,✅,🟢
MARTI,44.5,54.7,✅,✅,✅,97.4,✅,🟢
AVGYO,62.6,55.2,✅,✅,✅,99.9,✅,🟢
VAKBN,59.4,57.2,✅,✅,✅,98.9,✅,🟢
ALARK,58.0,62.1,✅,✅,✅,100.0,✅,🟢
SKYMD,,62.4,✅,✅,✅,99.1,✅,🟢
OFSYM,,62.4,✅,✅,✅,100.0,✅,🟢
MANAS,69.1,65.0,✅,✅,✅,96.5,✅,🟢
VERUS,65.3,66.0,✅,✅,✅,99.9,✅,🟢
AHGAZ,65.8,66.8,✅,✅,✅,100.0,✅,🟢
RYSAS,76.0,67.2,✅,✅,✅,100.0,✅,🟢
NETAS,65.0,68.8,✅,✅,✅,99.2,✅,🟢
CRFSA,84.7,69.0,✅,✅,✅,98.2,✅,🟢
DEVA,66.2,74.0,✅,✅,✅,100.0,✅,🟢
SELEC,89.9,80.8,✅,✅,✅,100.0,✅,🟢
RYGYO,78.5,81.2,✅,✅,✅,100.0,✅,🟢
ANELE,95.6,85.2,✅,✅,✅,100.0,✅,🟢
BIGEN,,89.6,✅,✅,✅,100.0,✅,🟢
TRHOL,98.1,90.7,✅,✅,✅,100.0,✅,🟢
IEYHO,98.7,98.5,✅,✅,✅,100.0,✅,🟢
