Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,30.6,18.5,✅,❌,✅,94.4,❌,—
MERKO,29.2,20.5,❌,✅,❌,-18.1,❌,—
FORMT,34.0,20.5,✅,❌,✅,65.0,❌,—
SEKFK,34.7,22.8,✅,❌,✅,89.0,❌,—
ALVES,35.6,23.8,❌,❌,❌,-47.3,❌,—
BARMA,,24.3,✅,❌,✅,75.9,❌,—
OTTO,34.7,24.8,✅,✅,✅,75.7,❌,—
IHYAY,37.7,26.2,✅,✅,✅,87.6,❌,—
YBTAS,36.8,27.4,❌,❌,❌,1.3,❌,—
BSOKE,46.7,27.8,❌,❌,❌,96.9,✅,—
MEGAP,38.5,27.8,✅,✅,✅,63.0,❌,—
SAFKR,43.0,28.2,❌,❌,❌,93.1,❌,—
USAK,39.2,28.5,✅,✅,✅,85.2,❌,—
TEZOL,39.9,28.8,✅,❌,✅,81.2,❌,—
IHLAS,39.8,28.9,✅,✅,✅,87.5,❌,—
CMENT,39.3,28.9,❌,❌,❌,98.2,✅,—
RAYSG,37.8,28.9,❌,❌,❌,88.4,❌,—
LIDER,39.8,28.9,❌,❌,❌,70.1,❌,—
BTCIM,44.7,29.0,✅,❌,✅,90.9,❌,—
SURGY,,29.3,✅,❌,✅,16.4,❌,—
CVKMD,44.5,29.5,❌,❌,❌,94.4,❌,—
VAKFN,45.1,29.6,✅,❌,✅,98.3,✅,—
EGEPO,51.5,29.8,❌,❌,❌,93.6,❌,—
KATMR,41.7,29.8,✅,❌,✅,86.3,❌,—
YYAPI,40.1,29.9,❌,✅,❌,84.2,❌,—
DARDL,36.1,29.9,✅,❌,✅,86.7,❌,—
KZBGY,40.4,30.0,✅,❌,✅,84.8,❌,—
AGROT,33.4,30.1,✅,❌,✅,-214.8,❌,—
A1CAP,43.7,30.1,✅,❌,✅,92.8,❌,—
AKGRT,46.2,30.5,❌,❌,❌,96.6,✅,—
IMASM,40.5,30.8,✅,✅,✅,12.8,❌,—
QNBTR,45.8,30.8,✅,❌,✅,99.9,✅,—
MOPAS,,30.9,✅,❌,✅,81.2,❌,—
LYDHO,49.6,31.0,❌,❌,❌,99.3,✅,—
GENTS,43.9,31.1,✅,✅,✅,95.5,✅,🟢
