Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
GENTS,43.9,31.1,✅,✅,✅,95.5,✅,🟢
EKIZ,44.3,32.4,✅,✅,✅,95.2,✅,🟢
IHLGM,43.8,35.4,✅,✅,✅,97.0,✅,🟢
OSTIM,41.9,36.4,✅,✅,✅,96.8,✅,🟢
CEMTS,45.8,36.5,✅,✅,✅,97.5,✅,🟢
ALKA,47.9,38.3,✅,✅,✅,98.4,✅,🟢
PARSN,43.1,38.4,✅,✅,✅,99.0,✅,🟢
BRYAT,46.0,38.6,✅,✅,✅,99.0,✅,🟢
MNDTR,39.3,38.7,✅,✅,✅,98.2,✅,🟢
ARCLK,41.2,38.8,✅,✅,✅,95.8,✅,🟢
BFREN,33.4,38.8,✅,✅,✅,98.8,✅,🟢
AKYHO,41.5,38.8,✅,✅,✅,97.9,✅,🟢
CLEBI,46.5,39.1,✅,✅,✅,97.9,✅,🟢
ISYAT,44.6,39.1,✅,✅,✅,97.3,✅,🟢
SRVGY,40.8,39.3,✅,✅,✅,95.3,✅,🟢
KLKIM,46.2,39.4,✅,✅,✅,95.9,✅,🟢
CMBTN,40.4,42.0,✅,✅,✅,97.6,✅,🟢
OTKAR,41.7,42.5,✅,✅,✅,99.7,✅,🟢
ALKIM,47.4,43.1,✅,✅,✅,96.9,✅,🟢
EGEEN,40.5,43.2,✅,✅,✅,99.2,✅,🟢
KLNMA,43.1,43.4,✅,✅,✅,96.4,✅,🟢
YAYLA,49.0,44.4,✅,✅,✅,98.6,✅,🟢
KLGYO,48.2,44.8,✅,✅,✅,96.4,✅,🟢
MAGEN,56.3,45.4,✅,✅,✅,97.7,✅,🟢
PLTUR,48.6,45.8,✅,✅,✅,99.1,✅,🟢
BESLR,49.0,46.2,✅,✅,✅,98.0,✅,🟢
MNDRS,48.8,46.3,✅,✅,✅,99.6,✅,🟢
ISMEN,51.6,46.3,✅,✅,✅,95.4,✅,🟢
EGSER,46.8,46.6,✅,✅,✅,98.7,✅,🟢
NUGYO,51.3,46.8,✅,✅,✅,96.1,✅,🟢
NUHCM,49.7,47.0,✅,✅,✅,95.9,✅,🟢
TSKB,51.8,47.0,✅,✅,✅,99.0,✅,🟢
AGYO,51.4,47.1,✅,✅,✅,98.1,✅,🟢
BNTAS,44.4,47.7,✅,✅,✅,98.3,✅,🟢
BIZIM,46.2,47.8,✅,✅,✅,97.2,✅,🟢
TERA,56.9,48.1,✅,✅,✅,97.3,✅,🟢
DOKTA,48.5,48.1,✅,✅,✅,99.8,✅,🟢
TAVHL,55.1,48.6,✅,✅,✅,99.6,✅,🟢
FRIGO,54.5,48.8,✅,✅,✅,97.0,✅,🟢
KNFRT,50.6,49.4,✅,✅,✅,100.0,✅,🟢
ENKAI,64.1,49.4,✅,✅,✅,96.7,✅,🟢
OZKGY,53.7,49.7,✅,✅,✅,100.0,✅,🟢
KONYA,42.0,49.8,✅,✅,✅,98.8,✅,🟢
BUCIM,45.2,50.0,✅,✅,✅,98.4,✅,🟢
MEPET,62.3,50.2,✅,✅,✅,99.5,✅,🟢
OYAKC,53.0,50.5,✅,✅,✅,97.8,✅,🟢
YKBNK,55.0,50.5,✅,✅,✅,97.6,✅,🟢
BOSSA,52.0,50.7,✅,✅,✅,99.8,✅,🟢
CUSAN,52.5,50.8,✅,✅,✅,99.7,✅,🟢
DZGYO,53.9,51.1,✅,✅,✅,96.8,✅,🟢
GARAN,56.4,51.3,✅,✅,✅,99.1,✅,🟢
AKBNK,55.3,51.6,✅,✅,✅,100.0,✅,🟢
NTGAZ,63.7,51.8,✅,✅,✅,97.8,✅,🟢
ANHYT,59.6,52.0,✅,✅,✅,99.1,✅,🟢
KUYAS,65.2,52.4,✅,✅,✅,100.0,✅,🟢
GOZDE,52.6,52.7,✅,✅,✅,99.7,✅,🟢
TURGG,51.6,52.7,✅,✅,✅,99.5,✅,🟢
BAGFS,51.1,52.8,✅,✅,✅,97.8,✅,🟢
SONME,59.0,52.8,✅,✅,✅,99.5,✅,🟢
LOGO,55.9,52.9,✅,✅,✅,97.8,✅,🟢
PETUN,54.5,53.2,✅,✅,✅,97.8,✅,🟢
SISE,55.4,53.3,✅,✅,✅,95.8,✅,🟢
PATEK,51.4,53.4,✅,✅,✅,100.0,✅,🟢
CEOEM,50.3,53.6,✅,✅,✅,96.2,✅,🟢
SASA,45.0,53.7,✅,✅,✅,95.2,✅,🟢
DSTKF,,53.8,✅,✅,✅,100.0,✅,🟢
MPARK,62.8,53.8,✅,✅,✅,99.5,✅,🟢
EKGYO,58.7,54.3,✅,✅,✅,98.4,✅,🟢
AGHOL,57.8,54.6,✅,✅,✅,100.0,✅,🟢
DNISI,54.3,54.6,✅,✅,✅,99.3,✅,🟢
PNSUT,54.7,54.9,✅,✅,✅,97.1,✅,🟢
EGGUB,60.6,55.0,✅,✅,✅,100.0,✅,🟢
TRMET,63.3,55.2,✅,✅,✅,99.9,✅,🟢
GUBRF,62.6,55.8,✅,✅,✅,99.0,✅,🟢
HATSN,,56.3,✅,✅,✅,98.0,✅,🟢
ARSAN,62.9,56.8,✅,✅,✅,99.5,✅,🟢
TARKM,,57.1,✅,✅,✅,97.5,✅,🟢
TRENJ,65.8,57.4,✅,✅,✅,100.0,✅,🟢
ENJSA,72.5,58.7,✅,✅,✅,99.7,✅,🟢
HURGZ,60.7,58.7,✅,✅,✅,100.0,✅,🟢
TNZTP,61.1,58.8,✅,✅,✅,98.6,✅,🟢
VAKBN,59.9,58.8,✅,✅,✅,100.0,✅,🟢
ALBRK,65.4,59.9,✅,✅,✅,98.8,✅,🟢
ORGE,67.2,62.1,✅,✅,✅,99.9,✅,🟢
GENIL,61.2,62.1,✅,✅,✅,98.8,✅,🟢
TRCAS,68.8,62.2,✅,✅,✅,99.4,✅,🟢
INDES,66.6,62.8,✅,✅,✅,99.7,✅,🟢
