Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
GOODY,47.2,✅,✅,✅,✅,48.7,✅,✅,🟢
CUSAN,52.5,✅,✅,✅,✅,50.8,✅,✅,🟢
GOZDE,52.6,✅,✅,✅,✅,52.7,✅,✅,🟢
AYDEM,57.0,✅,✅,✅,✅,53.8,✅,✅,🟢
DNISI,54.3,✅,✅,✅,✅,54.6,✅,✅,🟢
PNSUT,54.7,✅,✅,✅,✅,54.9,✅,✅,🟢
GUBRF,62.6,✅,✅,✅,✅,55.8,✅,✅,🟢
TRENJ,65.8,✅,✅,✅,✅,57.4,✅,✅,🟢
HUNER,53.9,✅,✅,✅,✅,58.4,✅,✅,🟢
VAKBN,59.9,✅,✅,✅,✅,58.8,✅,✅,🟢
MRGYO,50.7,✅,✅,✅,✅,59.8,✅,✅,🟢
ALBRK,65.4,✅,✅,✅,✅,59.9,✅,✅,🟢
BJKAS,39.6,✅,✅,✅,✅,61.6,✅,✅,🟢
GENIL,61.2,✅,✅,✅,✅,62.1,✅,✅,🟢
TRCAS,68.8,✅,✅,✅,✅,62.2,✅,✅,🟢
MARTI,49.2,✅,✅,✅,✅,63.6,✅,✅,🟢
TEHOL,65.8,✅,✅,✅,✅,63.7,✅,✅,🟢
KLSYN,72.7,✅,✅,✅,✅,64.1,✅,✅,🟢
SOKM,61.4,✅,✅,✅,✅,64.6,✅,✅,🟢
KCHOL,68.0,✅,✅,✅,✅,65.4,✅,✅,🟢
ISDMR,74.1,✅,✅,✅,✅,66.1,✅,✅,🟢
BIMAS,84.5,✅,✅,✅,✅,67.3,✅,✅,🟢
ENERY,69.0,✅,✅,✅,✅,67.8,✅,✅,🟢
CELHA,64.7,✅,✅,✅,✅,69.8,✅,✅,🟢
BOBET,57.1,✅,✅,✅,✅,71.7,✅,✅,🟢
KRPLS,74.8,✅,✅,✅,✅,77.0,✅,✅,🟢
TUPRS,80.7,✅,✅,✅,✅,78.7,✅,✅,🟢
SELEC,91.5,✅,✅,✅,✅,84.2,✅,✅,🟢
TRHOL,98.4,✅,✅,✅,✅,92.5,✅,✅,🟢
IEYHO,98.8,✅,✅,✅,✅,98.8,✅,✅,🟢
