Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
KRTEK,30.6,✅,❌,✅,❌,18.5,✅,❌,—
MERKO,29.2,❌,❌,❌,❌,20.5,❌,✅,—
FORMT,34.0,❌,❌,❌,❌,20.5,✅,❌,—
SEKFK,34.7,❌,❌,❌,✅,22.8,✅,❌,—
OTTO,34.7,❌,❌,❌,❌,24.8,✅,✅,—
IHYAY,37.7,❌,❌,❌,❌,26.2,✅,✅,—
YBTAS,36.8,❌,❌,❌,❌,27.4,❌,❌,—
BSOKE,46.7,❌,❌,❌,✅,27.8,❌,❌,—
MEGAP,38.5,❌,❌,❌,❌,27.8,✅,✅,—
SAFKR,43.0,❌,❌,❌,❌,28.2,❌,❌,—
USAK,39.2,❌,❌,❌,❌,28.5,✅,✅,—
TEZOL,39.9,❌,❌,❌,❌,28.8,✅,❌,—
LIDER,39.8,❌,❌,❌,❌,28.9,❌,❌,—
CMENT,39.3,❌,❌,❌,✅,28.9,❌,❌,—
RAYSG,37.8,❌,❌,❌,❌,28.9,❌,❌,—
IHLAS,39.8,❌,❌,❌,❌,28.9,✅,✅,—
BTCIM,44.7,❌,❌,❌,❌,29.0,✅,❌,—
CVKMD,44.5,❌,❌,❌,❌,29.5,❌,❌,—
VAKFN,45.1,❌,❌,❌,❌,29.6,✅,❌,—
EGEPO,51.5,❌,❌,❌,❌,29.8,❌,❌,—
KATMR,41.7,❌,❌,❌,❌,29.8,✅,❌,—
YYAPI,40.1,❌,❌,❌,❌,29.9,❌,✅,—
DARDL,36.1,❌,✅,❌,❌,29.9,✅,❌,—
KZBGY,40.4,❌,❌,❌,❌,30.0,✅,❌,—
A1CAP,43.2,❌,❌,❌,❌,30.1,✅,❌,—
AGROT,32.1,❌,❌,❌,❌,30.1,✅,❌,—
