Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
AKBNK,54.0,48.6,✅,✅,✅,97.5,✅,🟢
AKCNS,73.0,64.4,✅,✅,✅,99.7,✅,🟢
AKSUE,79.0,68.5,✅,✅,✅,96.0,✅,🟢
ANELE,93.5,76.9,✅,✅,✅,100.0,✅,🟢
ANSGR,65.2,56.8,✅,✅,✅,100.0,✅,🟢
ARDYZ,79.5,80.6,✅,✅,✅,100.0,✅,🟢
ASELS,75.6,57.2,✅,✅,✅,100.0,✅,🟢
ASTOR,79.8,66.9,✅,✅,✅,100.0,✅,🟢
ATATP,75.4,69.1,✅,✅,✅,97.8,✅,🟢
ATSYH,69.9,70.8,✅,✅,✅,100.0,✅,🟢
AVGYO,61.7,56.7,✅,✅,✅,100.0,✅,🟢
AYGAZ,68.6,64.3,✅,✅,✅,100.0,✅,🟢
BFREN,33.6,39.2,✅,✅,✅,98.8,✅,🟢
BIGEN,,82.7,✅,✅,✅,96.1,✅,🟢
BLUME,55.0,49.5,✅,✅,✅,98.0,✅,🟢
BMSTL,63.2,55.9,✅,✅,✅,99.8,✅,🟢
BOBET,49.6,56.6,✅,✅,✅,97.7,✅,🟢
BOSSA,53.2,53.8,✅,✅,✅,99.7,✅,🟢
BRSAN,58.8,57.2,✅,✅,✅,99.2,✅,🟢
CRFSA,85.2,81.8,✅,✅,✅,100.0,✅,🟢
CUSAN,55.7,56.1,✅,✅,✅,100.0,✅,🟢
DAGI,70.1,69.8,✅,✅,✅,98.3,✅,🟢
DEVA,55.0,55.1,✅,✅,✅,99.5,✅,🟢
DMSAS,50.9,47.3,✅,✅,✅,100.0,✅,🟢
DOCO,64.2,61.4,✅,✅,✅,100.0,✅,🟢
ECILC,53.9,45.2,✅,✅,✅,96.8,✅,🟢
EFOR,,59.4,✅,✅,✅,97.8,✅,🟢
ENDAE,,56.3,✅,✅,✅,95.3,✅,🟢
ESCOM,63.2,62.0,✅,✅,✅,100.0,✅,🟢
ETYAT,81.5,77.9,✅,✅,✅,100.0,✅,🟢
EUHOL,54.4,53.6,✅,✅,✅,98.1,✅,🟢
FMIZP,51.2,48.8,✅,✅,✅,99.4,✅,🟢
FORTE,,80.9,✅,✅,✅,100.0,✅,🟢
GARAN,55.2,48.3,✅,✅,✅,99.1,✅,🟢
GATEG,66.8,53.7,✅,✅,✅,99.5,✅,🟢
GENIL,58.0,59.8,✅,✅,✅,97.9,✅,🟢
GEREL,82.1,61.3,✅,✅,✅,100.0,✅,🟢
GOODY,47.5,49.0,✅,✅,✅,95.3,✅,🟢
HOROZ,,48.7,✅,✅,✅,99.9,✅,🟢
HURGZ,60.0,59.2,✅,✅,✅,100.0,✅,🟢
IEYHO,98.3,97.6,✅,✅,✅,100.0,✅,🟢
INVES,,71.6,✅,✅,✅,98.0,✅,🟢
ISBTR,55.1,57.8,✅,✅,✅,98.4,✅,🟢
ISFIN,61.9,57.2,✅,✅,✅,100.0,✅,🟢
ISGYO,67.9,64.1,✅,✅,✅,99.6,✅,🟢
IZMDC,81.3,75.1,✅,✅,✅,100.0,✅,🟢
KCAER,59.7,64.6,✅,✅,✅,97.4,✅,🟢
KCHOL,62.7,57.1,✅,✅,✅,100.0,✅,🟢
KERVN,87.3,85.0,✅,✅,✅,100.0,✅,🟢
KGYO,78.1,59.5,✅,✅,✅,100.0,✅,🟢
KLSYN,70.8,61.7,✅,✅,✅,99.6,✅,🟢
KNFRT,50.7,49.2,✅,✅,✅,99.0,✅,🟢
KONYA,38.9,41.1,✅,✅,✅,98.3,✅,🟢
KORDS,58.8,59.9,✅,✅,✅,98.7,✅,🟢
KRONT,72.7,69.3,✅,✅,✅,100.0,✅,🟢
KRPLS,61.9,59.1,✅,✅,✅,99.6,✅,🟢
LYDYE,53.0,47.0,✅,✅,✅,99.7,✅,🟢
MARKA,65.0,68.0,✅,✅,✅,100.0,✅,🟢
MPARK,61.2,50.8,✅,✅,✅,99.7,✅,🟢
MRSHL,56.7,55.7,✅,✅,✅,98.9,✅,🟢
MTRKS,62.7,65.0,✅,✅,✅,100.0,✅,🟢
NTHOL,57.1,54.4,✅,✅,✅,99.8,✅,🟢
ODINE,,95.5,✅,✅,✅,100.0,✅,🟢
OFSYM,,58.6,✅,✅,✅,96.1,✅,🟢
OTKAR,41.9,41.6,✅,✅,✅,99.2,✅,🟢
OZSUB,81.6,80.9,✅,✅,✅,100.0,✅,🟢
PAMEL,45.0,47.0,✅,✅,✅,97.3,✅,🟢
PEKGY,67.9,59.8,✅,✅,✅,99.8,✅,🟢
POLHO,72.6,62.7,✅,✅,✅,99.7,✅,🟢
RALYH,60.8,53.9,✅,✅,✅,99.2,✅,🟢
RYGYO,78.9,74.1,✅,✅,✅,100.0,✅,🟢
SAYAS,55.8,58.9,✅,✅,✅,100.0,✅,🟢
SEGMN,,55.1,✅,✅,✅,100.0,✅,🟢
SELEC,85.3,71.5,✅,✅,✅,99.1,✅,🟢
SONME,58.6,53.1,✅,✅,✅,99.4,✅,🟢
