Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,31.0,15.5,❌,❌,❌,94.8,❌,—
MERKO,29.4,20.9,❌,✅,❌,-7.4,❌,—
FORMT,35.4,22.5,❌,❌,❌,66.1,❌,—
BARMA,,23.6,❌,❌,❌,87.1,❌,—
SEKFK,36.1,23.7,❌,❌,❌,89.7,❌,—
TEZOL,41.1,25.6,❌,❌,❌,70.5,❌,—
IHYAY,38.1,26.1,❌,❌,❌,87.5,❌,—
EKIZ,43.6,27.1,❌,❌,❌,95.1,✅,—
USAK,39.4,27.6,❌,✅,❌,84.9,❌,—
ALVES,,27.8,❌,❌,❌,-23.9,❌,—
VAKFN,46.0,27.9,❌,❌,❌,98.2,✅,—
ZOREN,35.7,28.0,❌,❌,❌,81.5,❌,—
IHGZT,42.8,28.0,❌,❌,❌,84.6,❌,—
BUCIM,38.9,28.5,❌,❌,❌,97.7,✅,—
TMSN,39.5,28.7,❌,❌,❌,98.3,✅,—
IHLAS,40.0,28.9,✅,✅,✅,85.4,❌,—
CVKMD,45.0,29.2,✅,❌,✅,95.7,✅,—
SODSN,39.2,29.2,❌,❌,❌,76.3,❌,—
MEGAP,39.4,29.6,❌,❌,❌,63.3,❌,—
CANTE,38.7,29.8,❌,❌,❌,22.6,❌,—
OSTIM,41.2,29.8,✅,❌,✅,96.7,✅,—
OBAMS,,29.9,✅,❌,✅,-354.6,❌,—
AVTUR,46.3,30.0,❌,❌,❌,96.7,✅,—
OTTO,36.7,30.2,❌,✅,❌,85.1,❌,—
QNBTR,46.7,30.6,❌,❌,❌,99.9,✅,—
VESBE,32.2,30.6,❌,❌,❌,93.3,❌,—
MZHLD,40.0,30.7,❌,❌,❌,97.6,✅,—
A1CAP,46.0,30.7,❌,❌,❌,91.3,❌,—
KOTON,,30.8,❌,❌,❌,,❌,—
GENTS,44.0,31.0,❌,❌,❌,95.0,❌,—
VRGYO,35.9,31.0,✅,❌,✅,-87.2,❌,—
AKYHO,40.4,31.0,❌,❌,❌,97.8,✅,—
TUKAS,37.7,31.2,❌,❌,❌,85.0,❌,—
ASUZU,42.0,31.5,❌,❌,❌,98.7,✅,—
ARZUM,36.8,31.5,✅,❌,✅,26.7,❌,—
BMSCH,45.7,31.6,❌,❌,❌,76.2,❌,—
NATEN,38.3,31.7,✅,❌,✅,94.8,❌,—
KZBGY,41.8,31.8,✅,❌,✅,85.0,❌,—
BEGYO,,31.8,✅,✅,✅,39.8,❌,—
SURGY,,31.9,❌,❌,❌,53.5,❌,—
COSMO,44.7,32.1,✅,❌,✅,74.4,❌,—
IHLGM,43.4,32.1,❌,❌,❌,96.5,✅,—
PARSN,41.8,32.3,❌,❌,❌,98.8,✅,—
ENSRI,42.2,32.4,❌,✅,❌,-61.3,❌,—
MOPAS,,32.5,❌,❌,❌,83.3,❌,—
YYAPI,40.8,32.6,❌,✅,❌,84.5,❌,—
RAYSG,39.0,32.6,✅,❌,✅,88.9,❌,—
KONTR,34.0,32.6,❌,✅,❌,-54.5,❌,—
MEKAG,42.0,32.7,❌,❌,❌,35.1,❌,—
DARDL,37.1,32.8,✅,❌,✅,89.0,❌,—
PAHOL,,33.0,❌,❌,❌,,❌,—
GLCVY,46.2,33.0,❌,❌,❌,80.8,❌,—
VESTL,32.9,33.1,❌,❌,❌,93.1,❌,—
MAKTK,45.2,33.1,✅,❌,✅,97.4,✅,—
UNLU,39.3,33.2,❌,❌,❌,88.7,❌,—
CEMTS,45.4,33.2,❌,❌,❌,97.4,✅,—
TRILC,38.1,33.3,❌,❌,❌,61.3,❌,—
IMASM,42.2,33.3,✅,✅,✅,19.3,❌,—
OYYAT,46.4,33.4,✅,❌,✅,98.5,✅,—
YESIL,38.0,33.5,❌,❌,❌,74.5,❌,—
EUREN,37.0,33.6,❌,❌,❌,-4.5,❌,—
LIDER,44.9,33.6,❌,❌,❌,90.7,❌,—
GOKNR,42.0,33.7,❌,❌,❌,79.9,❌,—
JANTS,38.5,33.7,❌,❌,❌,92.2,❌,—
TTRAK,38.8,33.9,✅,✅,✅,92.6,❌,—
DCTTR,,33.9,❌,❌,❌,48.6,❌,—
PGSUS,38.1,33.9,❌,❌,❌,93.3,❌,—
SEGYO,46.3,34.3,❌,❌,❌,90.2,❌,—
KLGYO,45.0,34.3,✅,❌,✅,96.4,✅,—
MRGYO,42.7,34.3,❌,❌,❌,92.0,❌,—
PAPIL,42.9,34.4,✅,❌,✅,89.7,❌,—
ZERGY,,34.4,✅,❌,✅,,❌,—
ALKA,47.7,34.5,❌,❌,❌,98.1,✅,—
CONSE,36.5,34.6,✅,❌,✅,89.6,❌,—
SKBNK,45.9,34.6,❌,❌,❌,93.3,❌,—
ULKER,45.6,34.7,✅,❌,✅,84.3,❌,—
KLKIM,45.3,34.7,✅,❌,✅,95.5,✅,—
MNDRS,46.0,34.7,✅,✅,✅,99.2,✅,🟢
KAYSE,41.1,34.8,❌,❌,❌,88.6,❌,—
GOLTS,44.7,34.9,✅,❌,✅,97.4,✅,—
ANGEN,39.0,34.9,✅,❌,✅,63.0,❌,—
YKSLN,33.7,34.9,✅,❌,✅,92.5,❌,—
HATEK,43.2,35.0,✅,❌,✅,87.1,❌,—
AGROT,35.4,35.0,✅,❌,✅,-211.2,❌,—
BERA,43.3,35.0,✅,❌,✅,88.9,❌,—
NIBAS,47.4,35.0,❌,❌,❌,61.9,❌,—
ERBOS,43.5,35.0,❌,❌,❌,99.2,✅,—
TATEN,41.9,35.0,❌,❌,❌,8.8,❌,—
MNDTR,38.9,35.1,❌,❌,❌,98.3,✅,—
ADESE,44.8,35.1,✅,✅,✅,75.4,❌,—
YBTAS,38.6,35.1,✅,✅,✅,6.7,❌,—
ARCLK,40.4,35.2,❌,❌,❌,96.0,✅,—
TUCLK,37.2,35.2,✅,✅,✅,92.1,❌,—
MEDTR,41.1,35.2,✅,❌,✅,78.5,❌,—
ISMEN,47.8,35.4,❌,❌,❌,94.1,❌,—
FENER,34.6,35.4,✅,✅,✅,-7.2,❌,—
AKGRT,48.7,35.4,❌,❌,❌,97.8,✅,—
VAKFA,,35.6,❌,❌,❌,,❌,—
PKENT,36.9,35.6,✅,✅,✅,79.1,❌,—
RTALB,46.9,35.9,❌,❌,❌,93.4,❌,—
ISYAT,44.5,35.9,❌,❌,❌,97.4,✅,—
RUZYE,47.2,35.9,✅,❌,✅,73.1,❌,—
BLCYT,45.1,36.0,❌,❌,❌,84.7,❌,—
SNICA,33.7,36.0,❌,❌,❌,-207.6,❌,—
ARFYE,,36.2,❌,❌,❌,,❌,—
CEMAS,45.9,36.2,❌,❌,❌,93.4,❌,—
BTCIM,50.0,36.3,❌,❌,❌,94.3,❌,—
ATAGY,44.8,36.4,❌,❌,❌,93.8,❌,—
OYLUM,44.9,36.5,❌,❌,❌,97.7,✅,—
EGEEN,38.7,36.5,❌,✅,❌,99.2,✅,—
MARTI,37.5,36.6,✅,❌,✅,88.3,❌,—
KONKA,44.2,36.7,❌,❌,❌,94.7,❌,—
KRVGD,47.7,36.7,❌,❌,❌,86.1,❌,—
TLMAN,44.5,36.8,❌,❌,❌,97.2,✅,—
SANKO,45.2,36.8,✅,❌,✅,98.3,✅,—
KATMR,47.0,37.0,✅,❌,✅,87.4,❌,—
TSGYO,42.8,37.1,✅,❌,✅,93.8,❌,—
LKMNH,46.5,37.2,✅,❌,✅,99.1,✅,—
DERHL,46.3,37.2,✅,✅,✅,71.3,❌,—
SRVGY,41.0,37.3,✅,❌,✅,93.6,❌,—
BURCE,51.1,37.3,❌,❌,❌,97.8,✅,—
VKING,42.3,37.3,❌,❌,❌,98.0,✅,—
VKFYO,47.7,37.4,❌,❌,❌,92.5,❌,—
EMKEL,43.8,37.4,❌,✅,❌,91.8,❌,—
BIENY,32.4,37.4,✅,❌,✅,30.5,❌,—
CMENT,43.0,37.5,❌,❌,❌,98.4,✅,—
SNGYO,47.6,37.5,✅,❌,✅,96.6,✅,—
