Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
KRTEK,31.0,✅,❌,✅,❌,16.2,❌,❌,—
MERKO,29.4,✅,❌,✅,❌,20.9,❌,✅,—
FORMT,35.4,❌,❌,❌,❌,22.5,❌,❌,—
SEKFK,36.1,✅,❌,✅,✅,23.1,❌,❌,—
TEZOL,41.1,❌,❌,❌,❌,25.6,❌,❌,—
IHYAY,38.2,✅,❌,✅,❌,27.0,✅,❌,—
EKIZ,43.6,❌,❌,❌,❌,27.1,❌,❌,—
USAK,39.5,❌,❌,❌,❌,27.9,❌,✅,—
ZOREN,35.7,❌,❌,❌,❌,27.9,❌,❌,—
IHGZT,42.8,❌,❌,❌,❌,28.0,❌,❌,—
VAKFN,46.2,❌,❌,❌,❌,28.4,✅,❌,—
BUCIM,39.0,❌,❌,❌,❌,28.6,❌,❌,—
CVKMD,45.0,❌,❌,❌,❌,29.1,❌,❌,—
SODSN,39.2,❌,❌,❌,❌,29.2,❌,❌,—
IHLAS,40.1,✅,❌,✅,❌,29.4,✅,✅,—
MEGAP,39.4,✅,❌,✅,❌,29.6,❌,❌,—
CANTE,38.7,❌,❌,❌,❌,29.8,❌,❌,—
AVTUR,46.3,❌,❌,❌,❌,30.0,❌,❌,—
OSTIM,41.2,✅,❌,✅,❌,30.2,✅,❌,—
OTTO,36.7,❌,❌,❌,❌,30.2,❌,✅,—
VESBE,32.2,❌,❌,❌,❌,30.6,❌,❌,—
A1CAP,45.5,❌,❌,❌,❌,30.7,❌,❌,—
TMSN,39.5,❌,❌,❌,✅,30.9,❌,❌,—
MZHLD,40.1,❌,❌,❌,❌,30.9,❌,❌,—
VRGYO,35.1,❌,❌,❌,❌,31.0,✅,❌,—
GENTS,44.0,❌,❌,❌,❌,31.0,❌,❌,—
AKYHO,40.4,❌,❌,❌,❌,31.0,❌,❌,—
NATEN,38.2,❌,❌,❌,❌,31.2,✅,❌,—
TUKAS,37.8,✅,✅,✅,❌,31.5,❌,❌,—
BMSCH,45.6,❌,❌,❌,❌,31.6,❌,❌,—
ASUZU,42.0,❌,❌,❌,❌,31.6,❌,❌,—
IHLGM,43.3,❌,❌,❌,❌,31.8,❌,❌,—
QNBTR,46.7,❌,❌,❌,❌,31.8,❌,❌,—
ARZUM,36.9,❌,❌,❌,❌,31.9,✅,❌,—
COSMO,44.7,❌,❌,❌,❌,32.1,✅,❌,—
KZBGY,41.9,❌,❌,❌,❌,32.1,✅,❌,—
PARSN,41.8,❌,❌,❌,❌,32.3,❌,❌,—
RAYSG,39.0,❌,❌,❌,❌,32.4,✅,❌,—
ENSRI,42.2,❌,❌,❌,❌,32.4,❌,✅,—
YESIL,37.9,❌,❌,❌,❌,32.5,❌,❌,—
YYAPI,40.8,❌,❌,❌,❌,32.6,❌,✅,—
KONTR,34.0,❌,❌,❌,❌,32.6,❌,✅,—
DARDL,37.1,✅,✅,✅,❌,32.8,✅,❌,—
GLCVY,46.2,❌,❌,❌,❌,32.9,❌,❌,—
VESTL,32.8,❌,❌,❌,❌,33.0,❌,❌,—
MAKTK,45.2,❌,❌,❌,❌,33.0,✅,❌,—
UNLU,39.3,❌,❌,❌,❌,33.1,❌,❌,—
MEKAG,41.4,✅,❌,✅,❌,33.2,✅,❌,—
CEMTS,45.4,❌,❌,❌,✅,33.2,❌,❌,—
OYYAT,46.4,✅,❌,✅,❌,33.3,✅,❌,—
TRILC,38.2,❌,❌,❌,❌,33.4,❌,❌,—
LIDER,44.9,❌,❌,❌,❌,33.5,❌,❌,—
EUREN,36.8,❌,❌,❌,❌,33.5,❌,❌,—
IMASM,42.1,✅,❌,✅,❌,33.6,✅,✅,—
JANTS,38.4,❌,❌,❌,❌,33.6,❌,❌,—
GOKNR,42.5,❌,❌,❌,❌,33.7,❌,❌,—
PGSUS,38.1,❌,❌,❌,❌,33.8,❌,❌,—
TTRAK,38.8,❌,❌,❌,❌,33.9,✅,✅,—
MRGYO,42.7,❌,❌,❌,❌,34.0,❌,❌,—
CONSE,36.5,❌,❌,❌,❌,34.2,✅,❌,—
KLGYO,45.0,❌,❌,❌,❌,34.3,✅,❌,—
SEGYO,46.2,❌,❌,❌,❌,34.3,❌,❌,—
PAPIL,42.9,✅,❌,✅,❌,34.3,✅,❌,—
KLKIM,45.3,✅,❌,✅,❌,34.3,✅,❌,—
SKBNK,45.9,❌,❌,❌,❌,34.5,❌,❌,—
ALKA,47.7,✅,❌,✅,❌,34.6,❌,❌,—
KAYSE,41.0,❌,❌,❌,❌,34.6,❌,❌,—
MNDRS,46.0,✅,❌,✅,❌,34.7,✅,✅,—
ULKER,45.6,✅,❌,✅,❌,34.7,✅,❌,—
YKSLN,33.7,❌,❌,❌,❌,34.9,✅,❌,—
HATEK,43.2,❌,❌,❌,❌,34.9,✅,❌,—
GOLTS,44.7,✅,❌,✅,❌,34.9,✅,❌,—
ERBOS,43.4,❌,❌,❌,✅,34.9,❌,❌,—
FENER,34.6,✅,✅,✅,❌,35.0,✅,✅,—
ANGEN,39.1,❌,❌,❌,❌,35.0,✅,❌,—
NIBAS,47.4,❌,❌,❌,❌,35.0,❌,❌,—
AGROT,34.2,❌,✅,❌,❌,35.0,✅,❌,—
ADESE,44.8,❌,❌,❌,❌,35.1,✅,✅,—
YBTAS,38.6,✅,❌,✅,❌,35.1,✅,✅,—
TATEN,42.2,❌,❌,❌,❌,35.2,❌,❌,—
ARCLK,40.4,❌,❌,❌,❌,35.2,❌,❌,—
TUCLK,37.2,❌,❌,❌,❌,35.2,✅,✅,—
MEDTR,41.1,❌,❌,❌,❌,35.2,✅,❌,—
MNDTR,38.9,❌,❌,❌,❌,35.3,❌,❌,—
AKGRT,48.7,❌,❌,❌,❌,35.4,❌,❌,—
PKENT,36.8,✅,❌,✅,❌,35.4,✅,❌,—
ISMEN,47.8,❌,❌,❌,❌,35.5,❌,❌,—
BERA,43.5,✅,❌,✅,❌,35.5,✅,❌,—
CEMAS,45.8,✅,❌,✅,❌,35.7,❌,❌,—
RUZYE,47.2,✅,❌,✅,❌,35.8,✅,❌,—
SNICA,33.8,❌,❌,❌,❌,35.8,❌,❌,—
ISYAT,44.5,❌,❌,❌,❌,35.9,❌,❌,—
RTALB,47.0,❌,❌,❌,❌,36.0,❌,❌,—
BLCYT,45.0,✅,❌,✅,❌,36.0,❌,❌,—
BTCIM,49.8,❌,❌,❌,❌,36.1,❌,❌,—
MARTI,37.4,❌,❌,❌,❌,36.2,✅,❌,—
ATAGY,44.8,❌,❌,❌,❌,36.4,❌,❌,—
YATAS,48.5,✅,❌,✅,❌,36.5,✅,❌,—
OYLUM,44.9,❌,❌,❌,❌,36.5,❌,❌,—
EGEEN,38.7,❌,❌,❌,❌,36.5,❌,✅,—
SANKO,45.1,✅,❌,✅,❌,36.6,✅,❌,—
TLMAN,44.5,✅,❌,✅,❌,36.7,❌,❌,—
KONKA,44.3,✅,❌,✅,❌,36.7,❌,❌,—
KRVGD,47.6,✅,❌,✅,❌,36.7,❌,❌,—
SRVGY,40.9,✅,❌,✅,❌,36.9,✅,❌,—
DERHL,46.3,✅,❌,✅,❌,36.9,✅,✅,—
LKMNH,46.4,❌,❌,❌,✅,37.0,✅,❌,—
EMKEL,43.8,❌,❌,❌,❌,37.2,❌,✅,—
BURCE,51.1,❌,❌,❌,❌,37.3,❌,❌,—
VKING,42.2,❌,❌,❌,❌,37.3,❌,❌,—
DESA,46.9,✅,❌,✅,✅,37.3,✅,❌,—
BIENY,32.5,❌,❌,❌,❌,37.4,✅,❌,—
KATMR,47.2,✅,❌,✅,❌,37.4,✅,❌,—
CMENT,43.0,❌,❌,❌,✅,37.5,❌,❌,—
ARENA,43.3,❌,❌,❌,❌,37.5,✅,❌,—
VKFYO,47.8,❌,❌,❌,❌,37.6,❌,❌,—
ELITE,44.7,❌,❌,❌,❌,37.7,❌,❌,—
TSGYO,42.8,✅,❌,✅,❌,37.9,✅,❌,—
ESEN,44.1,✅,❌,✅,❌,38.0,✅,✅,—
YONGA,42.8,❌,❌,❌,❌,38.1,❌,❌,—
FROTO,46.4,❌,❌,❌,❌,38.1,✅,❌,—
ATAKP,42.2,❌,❌,❌,❌,38.2,❌,❌,—
PNSUT,47.7,❌,❌,❌,❌,38.2,❌,❌,—
BAGFS,45.7,✅,❌,✅,❌,38.3,✅,❌,—
DITAS,47.8,✅,❌,✅,❌,38.4,❌,❌,—
SILVR,44.9,❌,❌,❌,❌,38.5,✅,❌,—
SNGYO,47.6,✅,❌,✅,❌,38.5,✅,❌,—
KSTUR,44.2,✅,❌,✅,❌,38.5,❌,❌,—
GLRYH,44.6,✅,❌,✅,❌,38.6,✅,✅,—
ULAS,46.5,✅,❌,✅,❌,38.6,✅,✅,—
MGROS,53.4,❌,❌,❌,✅,38.6,❌,❌,—
LUKSK,48.1,❌,❌,❌,✅,38.7,❌,❌,—
