Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
VAKFN,46.5,30.8,✅,✅,✅,98.3,✅,🟢
GENTS,44.1,31.6,✅,✅,✅,95.6,✅,🟢
IHLGM,44.5,36.2,✅,✅,✅,97.2,✅,🟢
ALKA,48.7,38.1,✅,✅,✅,98.4,✅,🟢
MZHLD,42.2,38.7,✅,✅,✅,98.1,✅,🟢
BFREN,33.7,39.2,✅,✅,✅,98.8,✅,🟢
MAKTK,47.3,39.2,✅,✅,✅,98.3,✅,🟢
SRVGY,41.9,40.0,✅,✅,✅,95.8,✅,🟢
OYYAT,48.5,40.2,✅,✅,✅,99.9,✅,🟢
ISYAT,45.4,40.8,✅,✅,✅,97.3,✅,🟢
IHEVA,46.0,41.2,✅,✅,✅,99.0,✅,🟢
TEKTU,47.5,41.3,✅,✅,✅,96.0,✅,🟢
BAYRK,46.4,42.0,✅,✅,✅,98.6,✅,🟢
GZNMI,43.0,42.2,✅,✅,✅,99.0,✅,🟢
TSGYO,44.4,43.9,✅,✅,✅,95.8,✅,🟢
OTKAR,43.1,44.2,✅,✅,✅,99.7,✅,🟢
PNSUT,50.2,44.3,✅,✅,✅,95.8,✅,🟢
PLTUR,48.5,45.0,✅,✅,✅,99.8,✅,🟢
DYOBY,47.7,46.1,✅,✅,✅,97.9,✅,🟢
BESLR,49.1,46.2,✅,✅,✅,98.2,✅,🟢
ECILC,54.4,46.3,✅,✅,✅,97.3,✅,🟢
TSKB,51.7,46.4,✅,✅,✅,99.1,✅,🟢
PETUN,52.2,47.2,✅,✅,✅,96.6,✅,🟢
SNGYO,51.2,47.8,✅,✅,✅,96.7,✅,🟢
BUCIM,44.9,48.9,✅,✅,✅,98.8,✅,🟢
GEDZA,53.9,49.6,✅,✅,✅,96.6,✅,🟢
KLGYO,50.6,49.8,✅,✅,✅,96.5,✅,🟢
PATEK,,50.0,✅,✅,✅,98.9,✅,🟢
CEOEM,49.0,50.1,✅,✅,✅,96.2,✅,🟢
BOSSA,51.8,50.2,✅,✅,✅,99.8,✅,🟢
EDIP,59.9,50.5,✅,✅,✅,99.3,✅,🟢
MAALT,54.2,50.7,✅,✅,✅,98.4,✅,🟢
TAVHL,56.6,51.3,✅,✅,✅,100.0,✅,🟢
GARAN,56.5,51.6,✅,✅,✅,99.2,✅,🟢
BASCM,55.4,51.8,✅,✅,✅,97.8,✅,🟢
MNDRS,51.1,51.8,✅,✅,✅,99.6,✅,🟢
NTGAZ,64.4,52.6,✅,✅,✅,98.2,✅,🟢
AKBNK,55.8,52.7,✅,✅,✅,100.0,✅,🟢
YKBNK,56.0,52.7,✅,✅,✅,97.9,✅,🟢
FADE,54.9,53.3,✅,✅,✅,96.0,✅,🟢
FRIGO,57.6,53.5,✅,✅,✅,97.5,✅,🟢
KNFRT,52.6,53.8,✅,✅,✅,100.0,✅,🟢
OZKGY,55.3,53.8,✅,✅,✅,100.0,✅,🟢
EKGYO,58.3,54.0,✅,✅,✅,97.9,✅,🟢
IZFAS,71.7,54.4,✅,✅,✅,98.0,✅,🟢
OYAKC,54.7,54.9,✅,✅,✅,98.1,✅,🟢
GUBRF,62.1,55.3,✅,✅,✅,99.1,✅,🟢
VAKBN,58.7,55.9,✅,✅,✅,98.3,✅,🟢
ULUUN,62.2,56.2,✅,✅,✅,100.0,✅,🟢
EGGUB,61.3,57.8,✅,✅,✅,100.0,✅,🟢
TRENJ,65.9,58.1,✅,✅,✅,100.0,✅,🟢
ASELS,76.1,58.4,✅,✅,✅,100.0,✅,🟢
SKYMD,,58.8,✅,✅,✅,97.6,✅,🟢
ISBTR,55.6,58.9,✅,✅,✅,98.4,✅,🟢
TRMET,66.2,59.0,✅,✅,✅,100.0,✅,🟢
DOHOL,64.6,59.3,✅,✅,✅,99.8,✅,🟢
TRCAS,67.5,59.6,✅,✅,✅,99.2,✅,🟢
