Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
FADE,54.9,✅,✅,✅,✅,53.3,✅,✅,🟢
GUBRF,62.1,✅,✅,✅,✅,55.3,✅,✅,🟢
CWENE,65.7,✅,✅,✅,✅,55.5,✅,✅,🟢
ULUUN,62.2,✅,✅,✅,✅,56.2,✅,✅,🟢
EGGUB,61.3,✅,✅,✅,✅,57.8,✅,✅,🟢
TRENJ,65.9,✅,✅,✅,✅,58.1,✅,✅,🟢
ASELS,76.1,✅,✅,✅,✅,58.4,✅,✅,🟢
TRMET,66.2,✅,✅,✅,✅,59.0,✅,✅,🟢
TRCAS,67.5,✅,✅,✅,✅,59.6,✅,✅,🟢
BOBET,51.0,✅,✅,✅,✅,59.9,✅,✅,🟢
HALKB,66.0,✅,✅,✅,✅,60.0,✅,✅,🟢
ALBRK,64.7,✅,✅,✅,✅,60.7,✅,✅,🟢
DOCO,64.4,✅,✅,✅,✅,61.2,✅,✅,🟢
EGPRO,64.6,✅,✅,✅,✅,61.4,✅,✅,🟢
KGYO,79.5,✅,✅,✅,✅,62.0,✅,✅,🟢
RYSAS,72.6,✅,✅,✅,✅,62.3,✅,✅,🟢
KLSYN,72.0,✅,✅,✅,✅,63.3,✅,✅,🟢
AGESA,73.4,✅,✅,✅,✅,63.9,✅,✅,🟢
BIGTK,57.8,✅,✅,✅,✅,64.1,✅,✅,🟢
BRSAN,63.0,✅,✅,✅,✅,64.3,✅,✅,🟢
INDES,67.2,✅,✅,✅,✅,65.2,✅,✅,🟢
AHGAZ,65.2,✅,✅,✅,✅,65.6,✅,✅,🟢
ISGYO,68.8,✅,✅,✅,✅,66.0,✅,✅,🟢
ASTOR,80.0,✅,✅,✅,✅,66.7,✅,✅,🟢
TNZTP,65.7,✅,✅,✅,✅,66.8,✅,✅,🟢
PEKGY,71.2,✅,✅,✅,✅,67.0,✅,✅,🟢
ORGE,69.3,✅,✅,✅,✅,67.5,✅,✅,🟢
SANFM,60.4,✅,✅,✅,✅,67.8,✅,✅,🟢
EUPWR,82.5,✅,✅,✅,✅,68.0,✅,✅,🟢
ETYAT,81.5,✅,✅,✅,✅,68.9,✅,✅,🟢
PSDTC,66.5,✅,✅,✅,✅,68.9,✅,✅,🟢
PCILT,70.4,✅,✅,✅,✅,68.9,✅,✅,🟢
KRDMD,74.4,✅,✅,✅,✅,69.8,✅,✅,🟢
VBTYZ,70.3,✅,✅,✅,✅,70.6,✅,✅,🟢
IZMDC,82.1,✅,✅,✅,✅,74.5,✅,✅,🟢
ATATP,79.5,✅,✅,✅,✅,76.3,✅,✅,🟢
DAGI,73.8,✅,✅,✅,✅,76.8,✅,✅,🟢
TGSAS,75.7,✅,✅,✅,✅,77.1,✅,✅,🟢
OZSUB,82.7,✅,✅,✅,✅,79.1,✅,✅,🟢
SELEC,89.5,✅,✅,✅,✅,79.9,✅,✅,🟢
RYGYO,82.0,✅,✅,✅,✅,80.4,✅,✅,🟢
KRDMA,75.6,✅,✅,✅,✅,81.5,✅,✅,🟢
ANELE,95.4,✅,✅,✅,✅,84.5,✅,✅,🟢
TRHOL,97.8,✅,✅,✅,✅,89.0,✅,✅,🟢
IEYHO,98.5,✅,✅,✅,✅,98.2,✅,✅,🟢
DUNYH,88.1,✅,✅,✅,✅,98.6,✅,✅,🟢
