Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
KRTEK,30.8,✅,❌,✅,❌,19.0,✅,❌,—
FORMT,34.0,❌,❌,❌,❌,19.9,❌,❌,—
MERKO,29.2,❌,❌,❌,❌,20.5,❌,✅,—
SEKFK,34.5,❌,❌,❌,✅,22.4,❌,❌,—
OTTO,34.2,❌,❌,❌,❌,23.4,❌,❌,—
YBTAS,36.7,❌,❌,❌,❌,27.2,❌,❌,—
BSOKE,46.4,❌,❌,❌,✅,27.3,❌,❌,—
EGEPO,48.7,❌,❌,❌,❌,27.3,❌,❌,—
TEZOL,39.6,❌,❌,❌,❌,27.5,✅,❌,—
USAK,39.1,❌,❌,❌,❌,27.8,✅,✅,—
MEGAP,38.5,❌,❌,❌,❌,27.8,✅,✅,—
SAFKR,43.0,❌,❌,❌,❌,28.2,❌,❌,—
IHYAY,38.0,✅,❌,✅,❌,28.2,✅,✅,—
LIDER,39.6,❌,❌,❌,❌,28.8,❌,❌,—
BTCIM,44.7,❌,❌,❌,❌,28.8,✅,❌,—
RAYSG,37.9,❌,❌,❌,❌,29.1,❌,❌,—
A1CAP,42.7,❌,❌,❌,❌,29.1,❌,❌,—
EKIZ,43.4,❌,❌,❌,❌,29.1,✅,❌,—
SODSN,38.6,❌,❌,❌,❌,29.3,❌,❌,—
KZBGY,40.2,❌,❌,❌,❌,29.3,❌,❌,—
CVKMD,44.4,❌,❌,❌,❌,29.4,❌,❌,—
YYAPI,40.0,❌,❌,❌,❌,29.5,❌,✅,—
VAKFN,45.1,❌,❌,❌,❌,29.6,✅,❌,—
AGROT,32.1,❌,❌,❌,❌,29.7,✅,❌,—
IMASM,40.0,✅,❌,✅,❌,29.8,✅,✅,—
DARDL,36.1,❌,✅,❌,❌,29.9,✅,❌,—
SEGYO,44.0,❌,❌,❌,❌,30.0,❌,❌,—
KATMR,41.8,❌,❌,❌,❌,30.3,✅,❌,—
TMSN,37.9,❌,❌,❌,✅,30.4,✅,❌,—
KONKA,38.9,❌,❌,❌,❌,30.5,✅,❌,—
YESIL,37.2,❌,❌,❌,❌,30.5,❌,❌,—
CMENT,40.3,❌,❌,❌,✅,30.8,❌,❌,—
QNBTR,45.8,❌,❌,❌,❌,30.8,✅,❌,—
GENTS,43.8,✅,❌,✅,❌,30.8,✅,✅,—
LYDHO,49.5,❌,❌,❌,❌,30.8,❌,❌,—
ARZUM,36.1,❌,❌,❌,❌,31.0,✅,❌,—
AKGRT,46.6,❌,❌,❌,❌,31.2,❌,❌,—
EMKEL,41.6,❌,❌,❌,❌,31.2,✅,❌,—
TRILC,37.4,❌,❌,❌,❌,31.6,❌,✅,—
MEDTR,39.4,❌,❌,❌,❌,31.7,❌,❌,—
ENSRI,41.5,❌,❌,❌,❌,31.8,❌,✅,—
LRSHO,41.3,❌,❌,❌,❌,31.9,✅,❌,—
ATAKP,36.6,❌,❌,❌,❌,31.9,❌,❌,—
OYLUM,43.2,❌,❌,❌,❌,32.1,❌,❌,—
RTALB,45.0,❌,❌,❌,❌,32.2,❌,❌,—
KONTR,33.8,❌,✅,❌,❌,32.3,✅,✅,—
ONCSM,46.5,❌,❌,❌,❌,32.7,❌,❌,—
NATEN,37.1,❌,❌,❌,❌,32.7,✅,✅,—
SKYLP,47.0,❌,❌,❌,✅,32.7,❌,❌,—
UNLU,38.4,❌,❌,❌,❌,32.8,✅,❌,—
VKING,40.6,❌,❌,❌,❌,32.9,✅,❌,—
PKENT,35.7,❌,❌,❌,❌,33.1,✅,✅,—
YONGA,40.3,❌,❌,❌,❌,33.1,✅,❌,—
MEKAG,41.1,❌,❌,❌,❌,33.2,❌,✅,—
SOKE,42.5,❌,❌,❌,❌,33.4,❌,❌,—
DITAS,44.0,❌,❌,❌,❌,33.6,❌,❌,—
FENER,34.5,❌,✅,❌,❌,33.7,❌,✅,—
ADESE,44.5,❌,❌,❌,❌,33.8,❌,✅,—
ERBOS,42.4,❌,❌,❌,❌,34.0,✅,❌,—
DERHL,45.8,❌,❌,❌,❌,34.0,✅,✅,—
PAMEL,40.7,❌,❌,❌,❌,34.1,❌,❌,—
OYYAT,45.7,❌,❌,❌,❌,34.2,❌,❌,—
COSMO,44.1,❌,❌,❌,❌,34.5,❌,❌,—
