Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
GOODY,47.4,✅,✅,✅,✅,49.0,✅,✅,🟢
CUSAN,52.6,✅,✅,✅,✅,51.0,✅,✅,🟢
AYDEM,56.9,✅,✅,✅,✅,53.7,✅,✅,🟢
TOASO,60.8,✅,✅,✅,✅,55.0,✅,✅,🟢
AGHOL,58.1,✅,✅,✅,✅,55.2,✅,✅,🟢
GUBRF,62.5,✅,✅,✅,✅,55.5,✅,✅,🟢
TRALT,66.2,✅,✅,✅,✅,55.5,✅,✅,🟢
GOZDE,54.6,✅,✅,✅,✅,56.2,✅,✅,🟢
TURGG,53.1,✅,✅,✅,✅,56.6,✅,✅,🟢
AVGYO,63.9,✅,✅,✅,✅,57.0,✅,✅,🟢
TRENJ,65.9,✅,✅,✅,✅,57.7,✅,✅,🟢
EGPRO,64.4,✅,✅,✅,✅,59.2,✅,✅,🟢
ALBRK,65.1,✅,✅,✅,✅,59.4,✅,✅,🟢
GENIL,61.5,✅,✅,✅,✅,62.6,✅,✅,🟢
TRCAS,69.0,✅,✅,✅,✅,62.6,✅,✅,🟢
GMTAS,93.0,✅,✅,✅,✅,63.1,✅,✅,🟢
TEHOL,65.5,✅,✅,✅,✅,63.1,✅,✅,🟢
MRGYO,52.7,✅,✅,✅,✅,64.0,✅,✅,🟢
BJKAS,40.4,✅,✅,✅,✅,64.5,✅,✅,🟢
SOKM,61.9,✅,✅,✅,✅,65.5,✅,✅,🟢
KCHOL,68.3,✅,✅,✅,✅,65.9,✅,✅,🟢
KLSYN,73.7,✅,✅,✅,✅,65.9,✅,✅,🟢
MARTI,50.8,✅,✅,✅,✅,66.1,✅,✅,🟢
VAKBN,63.2,✅,✅,✅,✅,66.2,✅,✅,🟢
ISDMR,74.3,✅,✅,✅,✅,66.6,✅,✅,🟢
KERVN,87.2,✅,✅,✅,✅,68.0,✅,✅,🟢
BIMAS,84.8,✅,✅,✅,✅,68.2,✅,✅,🟢
AKSGY,76.4,✅,✅,✅,✅,69.1,✅,✅,🟢
AHGAZ,67.2,✅,✅,✅,✅,69.5,✅,✅,🟢
CELHA,65.4,✅,✅,✅,✅,70.9,✅,✅,🟢
ENERY,70.9,✅,✅,✅,✅,71.1,✅,✅,🟢
BOBET,59.0,✅,✅,✅,✅,74.5,✅,✅,🟢
KRPLS,73.8,✅,✅,✅,✅,75.7,✅,✅,🟢
TUPRS,80.5,✅,✅,✅,✅,78.4,✅,✅,🟢
SELEC,90.4,✅,✅,✅,✅,81.8,✅,✅,🟢
TRHOL,98.4,✅,✅,✅,✅,92.9,✅,✅,🟢
IEYHO,98.8,✅,✅,✅,✅,98.8,✅,✅,🟢
