build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AVGYO,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-28,,15.36,18.75,14.66,14.66,Formasyon kendi içinde teyitli,18.75,18.75 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EUHOL,HAFTALIK,Three Inside Down,A,AYI,AYI TEYİDİ,2026-08-28,,10.6,13.65,10.35,10.35,Formasyon kendi içinde teyitli,13.65,13.65 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,FMIZP,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-28,,296.25,315.0,290.0,290.0,Formasyon kendi içinde teyitli,315.0,315.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KMPUR,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-28,,19.7,22.42,19.67,19.67,Formasyon kendi içinde teyitli,22.42,22.42 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,LMKDC,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-28,,24.22,25.84,24.0,24.0,Formasyon kendi içinde teyitli,25.84,25.84 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MARKA,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-28,,86.25,91.55,83.65,83.65,Formasyon kendi içinde teyitli,91.55,91.55 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MARMR,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-28,,2.36,2.62,2.32,2.32,Formasyon kendi içinde teyitli,2.62,2.62 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MPARK,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-28,,434.0,449.0,430.75,430.75,Formasyon kendi içinde teyitli,449.0,449.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,RALYH,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-28,,261.75,281.0,259.0,259.0,Formasyon kendi içinde teyitli,281.0,281.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,RUBNS,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-28,,31.96,37.5,31.1,31.1,Formasyon kendi içinde teyitli,37.5,37.50 üstü formasyonu bozar
