Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
FORMT,32.0,16.2,❌,❌,❌,63.1,❌,—
KRTEK,30.0,18.5,❌,❌,❌,94.4,❌,—
ALVES,32.5,19.5,❌,❌,❌,-49.6,❌,—
MERKO,28.9,19.9,❌,✅,❌,-23.9,❌,—
OTTO,32.4,20.2,❌,❌,❌,71.5,❌,—
LYDHO,39.3,21.1,❌,❌,❌,99.2,✅,—
SEKFK,33.0,21.2,❌,❌,❌,88.4,❌,—
BSOKE,41.1,21.5,❌,❌,❌,96.3,✅,—
BTCIM,37.7,21.5,❌,❌,❌,89.7,❌,—
BULGS,,22.1,❌,❌,❌,76.6,❌,—
EGEPO,42.7,22.1,❌,❌,❌,90.1,❌,—
MEDTR,35.1,22.4,❌,❌,❌,74.9,❌,—
SEGYO,39.9,22.6,❌,❌,❌,88.6,❌,—
IHYAY,36.2,22.8,❌,❌,❌,87.2,❌,—
A1CAP,37.5,23.1,❌,❌,❌,87.4,❌,—
DARDL,34.2,23.1,❌,❌,❌,86.0,❌,—
BARMA,,23.3,❌,❌,❌,75.5,❌,—
SODSN,35.1,23.4,❌,❌,❌,75.0,❌,—
USAK,37.8,23.6,❌,❌,❌,84.8,❌,—
MEGAP,36.4,23.6,❌,❌,❌,62.9,❌,—
VAKFN,41.7,23.7,❌,❌,❌,98.1,✅,—
RAYSG,35.7,23.7,❌,❌,❌,88.2,❌,—
BEGYO,,24.0,❌,❌,❌,39.5,❌,—
IMASM,37.1,24.1,❌,❌,❌,8.0,❌,—
SAFKR,38.8,24.4,❌,❌,❌,92.0,❌,—
KZBGY,37.3,24.5,❌,❌,❌,82.7,❌,—
MOPAS,,24.6,❌,❌,❌,76.7,❌,—
DCTTR,,24.8,❌,❌,❌,27.0,❌,—
AKGRT,43.0,24.9,❌,❌,❌,95.8,✅,—
YBTAS,35.6,24.9,❌,❌,❌,-1.1,❌,—
EKOS,,25.0,❌,❌,❌,38.7,❌,—
EKIZ,39.6,25.0,❌,❌,❌,95.0,✅,—
TEZOL,38.0,25.3,❌,❌,❌,79.6,❌,—
RTALB,40.2,25.4,❌,❌,❌,89.9,❌,—
KATMR,38.4,25.4,❌,❌,❌,85.6,❌,—
YYAPI,38.4,25.4,❌,❌,❌,84.1,❌,—
PAMEL,36.6,25.5,❌,❌,❌,86.8,❌,—
NATEN,33.7,25.6,❌,❌,❌,94.7,❌,—
OYLUM,39.1,25.7,❌,❌,❌,97.2,✅,—
AGROT,31.6,25.7,❌,❌,❌,-227.3,❌,—
YESIL,35.6,25.8,❌,❌,❌,72.3,❌,—
AKYHO,36.4,25.8,❌,❌,❌,97.8,✅,—
SURGY,,26.0,❌,❌,❌,13.2,❌,—
ERBOS,37.4,26.0,❌,❌,❌,99.1,✅,—
TMSN,35.2,26.2,❌,❌,❌,98.1,✅,—
HTTBT,42.1,26.3,❌,❌,❌,83.9,❌,—
VRGYO,32.8,26.4,❌,❌,❌,-83.2,❌,—
QNBTR,43.5,26.4,❌,❌,❌,99.9,✅,—
ARFYE,,26.4,❌,❌,❌,,❌,—
LYDYE,41.6,26.4,❌,❌,❌,99.5,✅,—
ONCSM,39.6,26.5,❌,❌,❌,84.9,❌,—
CEMTS,42.1,26.5,❌,❌,❌,97.4,✅,—
VKING,37.9,26.6,❌,❌,❌,97.2,✅,—
IZINV,37.3,26.8,❌,❌,❌,92.0,❌,—
ATAKP,32.7,26.9,❌,❌,❌,44.4,❌,—
YONGA,35.4,27.0,❌,❌,❌,-89.5,❌,—
LRSHO,38.7,27.1,❌,❌,❌,83.2,❌,—
CMENT,36.3,27.1,❌,❌,❌,98.2,✅,—
SOKE,36.5,27.1,❌,❌,❌,85.8,❌,—
PKENT,32.5,27.1,❌,❌,❌,77.8,❌,—
SKYLP,40.9,27.1,❌,❌,❌,95.5,✅,—
MEKAG,38.7,27.2,❌,❌,❌,29.3,❌,—
ARZUM,34.3,27.2,❌,❌,❌,16.4,❌,—
VERTU,41.1,27.3,❌,❌,❌,93.0,❌,—
KONKA,36.1,27.3,❌,❌,❌,93.4,❌,—
GENTS,41.6,27.4,❌,❌,❌,95.4,✅,—
LUKSK,40.1,27.4,❌,❌,❌,97.7,✅,—
LIDER,38.0,27.5,❌,❌,❌,68.0,❌,—
DITAS,39.1,27.7,❌,❌,❌,86.4,❌,—
PAHOL,,27.7,❌,❌,❌,,❌,—
KLSER,23.7,27.8,❌,❌,❌,57.7,❌,—
ANGEN,33.5,27.8,❌,❌,❌,58.2,❌,—
EUREN,34.8,27.9,❌,❌,❌,-8.4,❌,—
EMKEL,39.9,27.9,❌,❌,❌,90.9,❌,—
OYYAT,42.4,28.0,❌,❌,❌,95.6,✅,—
DERHL,44.7,28.0,❌,❌,❌,71.6,❌,—
EGEGY,,28.2,❌,❌,❌,75.8,❌,—
KIMMR,45.4,28.2,❌,❌,❌,92.9,❌,—
CVKMD,43.3,28.3,❌,❌,❌,91.9,❌,—
KAPLM,43.6,28.3,❌,❌,❌,98.1,✅,—
DOFER,38.1,28.3,❌,❌,❌,47.2,❌,—
MAKTK,40.8,28.4,❌,❌,❌,97.2,✅,—
MNDTR,35.7,28.6,❌,❌,❌,98.0,✅,—
REEDR,,28.7,❌,❌,❌,-2419.6,❌,—
ORMA,40.2,28.8,❌,❌,❌,87.8,❌,—
MEGMT,41.2,28.8,❌,❌,❌,82.8,❌,—
TLMAN,38.7,29.0,❌,❌,❌,97.8,✅,—
ELITE,39.3,29.0,❌,❌,❌,88.4,❌,—
