Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,❌,❌,❌,❌,5.4,✅,✅,—
FORMT,32.0,❌,❌,❌,❌,16.2,❌,❌,—
KRTEK,30.0,❌,❌,❌,❌,18.5,❌,❌,—
MERKO,28.9,❌,❌,❌,❌,19.9,❌,✅,—
OTTO,32.3,❌,❌,❌,❌,20.2,❌,❌,—
LYDHO,39.3,❌,❌,❌,❌,21.1,❌,❌,—
SEKFK,33.0,❌,❌,❌,✅,21.2,❌,❌,—
BTCIM,37.7,❌,❌,❌,❌,21.5,❌,❌,—
BSOKE,41.1,❌,❌,❌,✅,21.5,❌,❌,—
EGEPO,42.7,❌,❌,❌,❌,22.1,❌,❌,—
MEDTR,35.0,❌,❌,❌,❌,22.4,❌,❌,—
SEGYO,39.9,❌,❌,❌,❌,22.6,❌,❌,—
IHYAY,36.1,❌,❌,❌,❌,22.8,❌,❌,—
A1CAP,37.1,❌,❌,❌,❌,23.1,❌,❌,—
DARDL,34.2,❌,❌,❌,❌,23.1,❌,❌,—
SODSN,35.1,❌,❌,❌,❌,23.4,❌,❌,—
MEGAP,36.4,❌,❌,❌,❌,23.6,❌,❌,—
USAK,37.8,❌,❌,❌,❌,23.6,❌,❌,—
VAKFN,41.7,❌,❌,❌,❌,23.7,❌,❌,—
RAYSG,35.7,❌,❌,❌,❌,23.7,❌,❌,—
IMASM,36.8,❌,❌,❌,❌,24.1,❌,❌,—
SAFKR,38.8,❌,❌,❌,❌,24.4,❌,❌,—
KZBGY,37.3,❌,❌,❌,❌,24.5,❌,❌,—
AKGRT,43.0,❌,❌,❌,❌,24.9,❌,❌,—
YBTAS,35.6,❌,❌,❌,❌,24.9,❌,❌,—
EKIZ,39.6,❌,❌,❌,❌,25.0,❌,❌,—
TEZOL,38.0,❌,❌,❌,❌,25.3,❌,❌,—
RTALB,40.3,❌,❌,❌,❌,25.4,❌,❌,—
KATMR,38.5,❌,❌,❌,❌,25.4,❌,❌,—
YYAPI,38.4,❌,❌,❌,❌,25.4,❌,❌,—
PAMEL,36.5,❌,❌,❌,❌,25.5,❌,❌,—
NATEN,33.7,❌,❌,❌,❌,25.6,❌,❌,—
AGROT,30.4,❌,❌,❌,❌,25.7,❌,❌,—
OYLUM,39.1,❌,❌,❌,❌,25.7,❌,❌,—
YESIL,35.6,❌,❌,❌,❌,25.8,❌,❌,—
AKYHO,36.4,❌,❌,❌,❌,25.8,❌,❌,—
ERBOS,37.4,❌,❌,❌,❌,26.0,❌,❌,—
TMSN,35.1,❌,❌,❌,❌,26.2,❌,❌,—
HTTBT,42.1,❌,❌,❌,❌,26.3,❌,❌,—
LYDYE,41.6,❌,❌,❌,❌,26.4,❌,❌,—
