Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
BNTAS,45.4,✅,✅,✅,✅,49.5,✅,✅,🟢
DERIM,56.1,✅,✅,✅,✅,53.2,✅,✅,🟢
TRALT,65.4,✅,✅,✅,✅,55.1,✅,✅,🟢
TRMET,63.6,✅,✅,✅,✅,55.2,✅,✅,🟢
AYDEM,57.6,✅,✅,✅,✅,56.0,✅,✅,🟢
GSDDE,67.0,✅,✅,✅,✅,56.3,✅,✅,🟢
TRENJ,64.7,✅,✅,✅,✅,56.3,✅,✅,🟢
SDTTR,56.6,✅,✅,✅,✅,56.9,✅,✅,🟢
PRDGS,60.9,✅,✅,✅,✅,58.1,✅,✅,🟢
RYSAS,69.6,✅,✅,✅,✅,58.4,✅,✅,🟢
ASELS,76.1,✅,✅,✅,✅,58.5,✅,✅,🟢
EDATA,71.7,✅,✅,✅,✅,58.9,✅,✅,🟢
AVGYO,64.5,✅,✅,✅,✅,60.8,✅,✅,🟢
TNZTP,62.2,✅,✅,✅,✅,60.8,✅,✅,🟢
KGYO,79.1,✅,✅,✅,✅,61.2,✅,✅,🟢
SANFM,57.0,✅,✅,✅,✅,61.3,✅,✅,🟢
INDES,65.6,✅,✅,✅,✅,61.7,✅,✅,🟢
BRSAN,61.5,✅,✅,✅,✅,61.8,✅,✅,🟢
VANGD,83.1,✅,✅,✅,✅,63.0,✅,✅,🟢
ORGE,67.3,✅,✅,✅,✅,63.4,✅,✅,🟢
KLSYN,72.1,✅,✅,✅,✅,63.8,✅,✅,🟢
BIMAS,83.2,✅,✅,✅,✅,64.1,✅,✅,🟢
ISGYO,67.9,✅,✅,✅,✅,64.2,✅,✅,🟢
POLHO,73.1,✅,✅,✅,✅,64.5,✅,✅,🟢
VERUS,64.4,✅,✅,✅,✅,65.5,✅,✅,🟢
KCHOL,66.7,✅,✅,✅,✅,65.7,✅,✅,🟢
GENIL,61.9,✅,✅,✅,✅,66.5,✅,✅,🟢
KRPLS,66.7,✅,✅,✅,✅,66.8,✅,✅,🟢
VBTYZ,67.8,✅,✅,✅,✅,66.9,✅,✅,🟢
KCAER,61.1,✅,✅,✅,✅,66.9,✅,✅,🟢
KRDMD,73.0,✅,✅,✅,✅,67.3,✅,✅,🟢
TMPOL,70.5,✅,✅,✅,✅,67.8,✅,✅,🟢
PCILT,70.0,✅,✅,✅,✅,68.0,✅,✅,🟢
MARKA,65.1,✅,✅,✅,✅,68.4,✅,✅,🟢
KUVVA,70.7,✅,✅,✅,✅,69.5,✅,✅,🟢
MTRKS,65.4,✅,✅,✅,✅,69.8,✅,✅,🟢
TGSAS,72.4,✅,✅,✅,✅,71.2,✅,✅,🟢
AYGAZ,72.3,✅,✅,✅,✅,71.9,✅,✅,🟢
IZMDC,80.9,✅,✅,✅,✅,72.4,✅,✅,🟢
DAGI,72.0,✅,✅,✅,✅,73.5,✅,✅,🟢
CELHA,64.1,✅,✅,✅,✅,73.8,✅,✅,🟢
KRDMA,70.2,✅,✅,✅,✅,74.0,✅,✅,🟢
SELEC,87.7,✅,✅,✅,✅,76.1,✅,✅,🟢
ATATP,79.8,✅,✅,✅,✅,76.7,✅,✅,🟢
RYGYO,80.4,✅,✅,✅,✅,77.1,✅,✅,🟢
ANELE,93.6,✅,✅,✅,✅,77.4,✅,✅,🟢
OZSUB,82.0,✅,✅,✅,✅,77.9,✅,✅,🟢
TUPRS,79.7,✅,✅,✅,✅,81.7,✅,✅,🟢
EUKYO,80.4,✅,✅,✅,✅,82.4,✅,✅,🟢
TRHOL,97.1,✅,✅,✅,✅,84.0,✅,✅,🟢
ARDYZ,81.9,✅,✅,✅,✅,84.4,✅,✅,🟢
KERVN,87.8,✅,✅,✅,✅,85.8,✅,✅,🟢
IEYHO,98.4,✅,✅,✅,✅,97.9,✅,✅,🟢
DUNYH,87.6,✅,✅,✅,✅,98.4,✅,✅,🟢
