Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
QNBTR,47.0,33.5,✅,✅,✅,99.9,✅,🟢
BUCIM,40.9,35.2,✅,✅,✅,98.0,✅,🟢
KLGYO,46.5,38.3,✅,✅,✅,96.2,✅,🟢
BFREN,33.7,39.3,✅,✅,✅,98.9,✅,🟢
MNDRS,47.9,41.4,✅,✅,✅,99.3,✅,🟢
CLEBI,47.8,41.5,✅,✅,✅,98.1,✅,🟢
OTKAR,41.8,41.5,✅,✅,✅,99.4,✅,🟢
BIZIM,44.5,42.0,✅,✅,✅,97.2,✅,🟢
KLKIM,48.4,42.3,✅,✅,✅,96.1,✅,🟢
MZHLD,43.4,42.5,✅,✅,✅,97.8,✅,🟢
BAYRK,46.9,43.9,✅,✅,✅,96.9,✅,🟢
ECILC,53.4,44.0,✅,✅,✅,97.0,✅,🟢
SNPAM,50.5,44.6,✅,✅,✅,99.7,✅,🟢
YAYLA,49.7,45.2,✅,✅,✅,98.3,✅,🟢
PETUN,51.5,45.6,✅,✅,✅,96.2,✅,🟢
SKTAS,44.6,45.9,✅,✅,✅,100.0,✅,🟢
DYOBY,47.6,45.9,✅,✅,✅,97.7,✅,🟢
BAGFS,48.5,46.0,✅,✅,✅,97.8,✅,🟢
INTEM,51.5,46.8,✅,✅,✅,99.1,✅,🟢
TKNSA,45.1,47.2,✅,✅,✅,96.4,✅,🟢
AVOD,52.4,47.2,✅,✅,✅,99.1,✅,🟢
GOLTS,48.5,47.2,✅,✅,✅,97.6,✅,🟢
BESLR,49.8,47.9,✅,✅,✅,97.5,✅,🟢
KNFRT,50.1,47.9,✅,✅,✅,99.5,✅,🟢
BASCM,54.1,48.4,✅,✅,✅,95.8,✅,🟢
EKGYO,56.5,49.1,✅,✅,✅,97.0,✅,🟢
EGGUB,57.5,49.2,✅,✅,✅,99.8,✅,🟢
YKBNK,54.4,49.2,✅,✅,✅,98.3,✅,🟢
AFYON,53.9,49.4,✅,✅,✅,99.3,✅,🟢
BNTAS,45.4,49.5,✅,✅,✅,98.7,✅,🟢
GARAN,55.8,49.7,✅,✅,✅,99.1,✅,🟢
TAVHL,56.0,49.9,✅,✅,✅,99.8,✅,🟢
OZKGY,54.0,50.5,✅,✅,✅,99.1,✅,🟢
AKBNK,54.9,50.6,✅,✅,✅,98.8,✅,🟢
CEOEM,49.3,50.7,✅,✅,✅,95.2,✅,🟢
DOKTA,49.8,51.0,✅,✅,✅,99.7,✅,🟢
GUBRF,60.2,51.4,✅,✅,✅,98.4,✅,🟢
FMIZP,52.8,51.5,✅,✅,✅,99.5,✅,🟢
OYAKC,53.5,51.6,✅,✅,✅,96.9,✅,🟢
PETKM,54.7,52.1,✅,✅,✅,99.7,✅,🟢
HOROZ,,52.6,✅,✅,✅,100.0,✅,🟢
DOHOL,62.0,52.7,✅,✅,✅,99.7,✅,🟢
DERIM,56.1,53.3,✅,✅,✅,99.8,✅,🟢
DNISI,53.9,53.9,✅,✅,✅,99.3,✅,🟢
ENJSA,69.9,54.1,✅,✅,✅,99.6,✅,🟢
EGEGY,,54.2,✅,✅,✅,97.9,✅,🟢
OFSYM,,54.2,✅,✅,✅,100.0,✅,🟢
BLUME,57.8,54.4,✅,✅,✅,98.2,✅,🟢
MPARK,62.9,54.8,✅,✅,✅,100.0,✅,🟢
TRALT,65.4,55.1,✅,✅,✅,96.2,✅,🟢
TRMET,63.7,55.3,✅,✅,✅,99.9,✅,🟢
ARSAN,64.1,55.4,✅,✅,✅,98.9,✅,🟢
SEGMN,,55.6,✅,✅,✅,100.0,✅,🟢
SONME,60.1,55.8,✅,✅,✅,99.5,✅,🟢
ALBRK,62.6,56.3,✅,✅,✅,98.6,✅,🟢
TRENJ,64.7,56.4,✅,✅,✅,100.0,✅,🟢
GSDDE,67.0,56.4,✅,✅,✅,99.0,✅,🟢
