Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
CUSAN,53.7,✅,✅,✅,✅,52.8,✅,✅,🟢
ASELS,75.1,✅,✅,✅,✅,56.2,✅,✅,🟢
GOODY,51.9,✅,✅,✅,✅,56.5,✅,✅,🟢
RALYH,62.3,✅,✅,✅,✅,56.6,✅,✅,🟢
PRDGS,60.0,✅,✅,✅,✅,56.7,✅,✅,🟢
KCHOL,64.0,✅,✅,✅,✅,59.0,✅,✅,🟢
EDATA,72.8,✅,✅,✅,✅,60.4,✅,✅,🟢
GENIL,58.8,✅,✅,✅,✅,61.0,✅,✅,🟢
VANGD,82.6,✅,✅,✅,✅,61.6,✅,✅,🟢
ESCOM,63.3,✅,✅,✅,✅,61.8,✅,✅,🟢
POLHO,72.8,✅,✅,✅,✅,62.8,✅,✅,🟢
KRPLS,64.4,✅,✅,✅,✅,63.0,✅,✅,🟢
BIMAS,82.4,✅,✅,✅,✅,63.0,✅,✅,🟢
KGYO,79.7,✅,✅,✅,✅,63.3,✅,✅,🟢
KUVVA,67.2,✅,✅,✅,✅,63.4,✅,✅,🟢
ORGE,67.4,✅,✅,✅,✅,63.5,✅,✅,🟢
KLSYN,72.3,✅,✅,✅,✅,63.8,✅,✅,🟢
ISGYO,67.9,✅,✅,✅,✅,64.8,✅,✅,🟢
KCAER,60.4,✅,✅,✅,✅,65.3,✅,✅,🟢
KRDMD,72.9,✅,✅,✅,✅,67.1,✅,✅,🟢
TGSAS,69.8,✅,✅,✅,✅,68.0,✅,✅,🟢
KRDMA,67.5,✅,✅,✅,✅,69.5,✅,✅,🟢
DAGI,71.3,✅,✅,✅,✅,72.2,✅,✅,🟢
SELEC,85.9,✅,✅,✅,✅,73.0,✅,✅,🟢
CELHA,64.2,✅,✅,✅,✅,74.0,✅,✅,🟢
OZSUB,81.5,✅,✅,✅,✅,75.6,✅,✅,🟢
TUPRS,78.1,✅,✅,✅,✅,77.5,✅,✅,🟢
ARDYZ,81.1,✅,✅,✅,✅,81.5,✅,✅,🟢
KERVN,87.8,✅,✅,✅,✅,85.8,✅,✅,🟢
IEYHO,98.4,✅,✅,✅,✅,97.8,✅,✅,🟢
DUNYH,86.5,✅,✅,✅,✅,98.1,✅,✅,🟢
