Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,✅,❌,❌,❌,5.4,❌,✅,—
KRTEK,31.1,✅,❌,✅,❌,15.6,❌,❌,—
MERKO,29.4,❌,❌,❌,❌,20.9,❌,✅,—
FORMT,35.3,❌,❌,❌,❌,22.2,❌,❌,—
SEKFK,35.5,❌,❌,❌,✅,23.0,❌,❌,—
IHYAY,37.9,❌,❌,❌,❌,26.3,❌,❌,—
VAKFN,45.7,❌,❌,❌,❌,27.4,❌,❌,—
ZOREN,35.6,❌,❌,❌,❌,27.7,❌,❌,—
USAK,39.4,❌,❌,❌,❌,28.0,✅,✅,—
IHGZT,42.8,❌,❌,❌,❌,28.0,❌,❌,—
EKIZ,44.4,❌,❌,❌,❌,28.2,❌,❌,—
IHLAS,39.9,✅,❌,✅,❌,28.4,❌,✅,—
VESBE,31.6,❌,❌,❌,❌,28.4,❌,❌,—
TMSN,39.4,❌,❌,❌,✅,28.6,❌,❌,—
SODSN,39.0,❌,❌,❌,❌,28.7,❌,❌,—
BUCIM,39.1,✅,❌,✅,❌,28.9,❌,❌,—
IMASM,40.5,❌,❌,❌,❌,29.0,❌,❌,—
TEZOL,41.8,✅,❌,✅,❌,29.0,✅,❌,—
NATEN,37.8,❌,❌,❌,❌,29.3,❌,❌,—
OTTO,36.6,❌,❌,❌,❌,29.9,❌,✅,—
QNBTR,46.5,❌,❌,❌,❌,29.9,❌,❌,—
MEGAP,39.4,✅,❌,✅,❌,30.0,✅,✅,—
VESTL,32.0,❌,❌,❌,❌,30.1,❌,❌,—
OSTIM,40.9,✅,❌,✅,❌,30.2,❌,❌,—
CVKMD,45.5,❌,❌,❌,❌,30.4,❌,❌,—
GENTS,43.7,❌,❌,❌,❌,30.5,❌,❌,—
COSMO,44.2,❌,❌,❌,❌,30.7,❌,❌,—
TUKAS,37.7,❌,✅,❌,❌,30.8,✅,❌,—
KZBGY,41.5,❌,❌,❌,❌,31.3,❌,❌,—
MZHLD,40.3,❌,❌,❌,❌,31.5,❌,❌,—
RAYSG,38.7,❌,❌,❌,❌,31.7,❌,❌,—
ASUZU,41.9,❌,❌,❌,❌,31.7,✅,❌,—
AKYHO,40.7,❌,❌,❌,❌,31.9,❌,❌,—
YYAPI,40.7,❌,❌,❌,❌,32.3,❌,✅,—
ENSRI,42.2,❌,❌,❌,❌,32.5,❌,✅,—
MEKAG,41.1,✅,❌,✅,❌,32.5,❌,❌,—
CANTE,39.3,✅,❌,✅,❌,32.5,✅,✅,—
MNDTR,38.1,❌,❌,❌,❌,32.6,❌,❌,—
AVTUR,47.5,❌,❌,❌,❌,32.6,❌,❌,—
YESIL,37.8,❌,❌,❌,❌,32.8,❌,✅,—
DARDL,37.1,✅,✅,✅,❌,32.8,❌,❌,—
UNLU,39.1,❌,❌,❌,❌,32.8,❌,❌,—
PARSN,41.9,❌,❌,❌,❌,32.9,✅,❌,—
VRGYO,35.3,❌,✅,❌,❌,32.9,✅,✅,—
KONTR,34.0,❌,❌,❌,❌,33.0,❌,✅,—
KATMR,44.5,❌,❌,❌,❌,33.1,❌,❌,—
ARZUM,37.0,❌,❌,❌,❌,33.2,❌,❌,—
EUREN,36.8,❌,❌,❌,❌,33.3,❌,❌,—
SEGYO,45.8,❌,❌,❌,❌,33.3,❌,❌,—
IHLGM,43.6,❌,❌,❌,❌,33.4,✅,❌,—
PGSUS,37.9,❌,❌,❌,❌,33.5,❌,❌,—
A1CAP,46.2,❌,❌,❌,❌,33.5,✅,❌,—
LIDER,44.9,❌,❌,❌,❌,33.6,❌,❌,—
YBTAS,38.0,✅,❌,✅,❌,33.6,❌,✅,—
MRGYO,42.5,❌,❌,❌,❌,33.7,❌,✅,—
BMSCH,46.3,❌,❌,❌,❌,33.7,✅,❌,—
ISMEN,46.7,❌,❌,❌,❌,33.7,❌,❌,—
BERA,42.6,✅,❌,✅,❌,33.8,❌,❌,—
TRILC,38.2,❌,❌,❌,❌,33.8,✅,✅,—
ARCLK,40.0,❌,❌,❌,❌,33.9,❌,❌,—
CONSE,36.4,❌,❌,❌,❌,33.9,❌,❌,—
ALKA,47.4,❌,❌,❌,❌,33.9,❌,❌,—
KRVGD,45.9,❌,❌,❌,❌,34.0,❌,❌,—
CEMTS,45.6,❌,❌,❌,✅,34.0,❌,❌,—
YKSLN,33.6,❌,❌,❌,❌,34.2,❌,❌,—
KLKIM,44.8,✅,❌,✅,❌,34.2,❌,❌,—
KAYSE,40.9,❌,❌,❌,❌,34.4,❌,❌,—
