Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,30.1,15.8,❌,❌,❌,95.1,✅,—
MERKO,29.3,20.8,✅,✅,✅,-12.4,❌,—
SEKFK,34.9,22.1,✅,❌,✅,88.8,❌,—
BARMA,,23.0,❌,❌,❌,77.5,❌,—
FORMT,35.4,23.6,❌,✅,❌,66.1,❌,—
IHYAY,37.9,25.5,❌,✅,❌,87.6,❌,—
EKIZ,44.0,27.2,❌,❌,❌,95.0,❌,—
OTTO,36.3,27.9,❌,✅,❌,78.0,❌,—
IMASM,40.4,28.1,❌,❌,❌,12.8,❌,—
VESBE,31.5,28.2,✅,❌,✅,92.4,❌,—
TEZOL,40.7,28.2,❌,❌,❌,84.9,❌,—
IHLAS,40.0,28.3,❌,✅,❌,86.5,❌,—
TMSN,38.8,28.7,✅,❌,✅,98.3,✅,—
USAK,39.5,28.7,❌,✅,❌,85.3,❌,—
ZOREN,35.8,28.9,✅,❌,✅,81.2,❌,—
SURGY,,29.4,✅,❌,✅,30.2,❌,—
MEGAP,39.3,29.8,✅,✅,✅,63.2,❌,—
CVKMD,45.2,30.0,❌,❌,❌,93.9,❌,—
ALVES,,30.5,❌,❌,❌,-15.6,❌,—
NATEN,37.9,30.5,✅,❌,✅,94.7,❌,—
CANTE,38.9,30.8,❌,✅,❌,24.0,❌,—
VAKFN,46.5,30.8,✅,✅,✅,98.2,✅,🟢
LIDER,41.9,30.9,❌,❌,❌,80.6,❌,—
KZBGY,41.4,31.0,❌,❌,❌,83.8,❌,—
AVTUR,45.1,31.2,❌,❌,❌,97.1,✅,—
DARDL,36.6,31.3,❌,❌,❌,86.9,❌,—
ARFYE,,31.3,❌,❌,❌,,❌,—
BMSCH,45.4,31.5,❌,❌,❌,77.0,❌,—
YYAPI,40.5,31.5,❌,✅,❌,84.4,❌,—
DCTTR,,31.9,❌,❌,❌,44.6,❌,—
SODSN,39.5,32.0,❌,✅,❌,76.8,❌,—
VESTL,32.5,32.0,✅,❌,✅,92.4,❌,—
QNBTR,46.5,32.1,❌,❌,❌,99.9,✅,—
IHGZT,43.5,32.2,✅,✅,✅,84.4,❌,—
KRVGD,46.0,32.4,❌,❌,❌,84.2,❌,—
LRSHO,41.9,32.4,❌,❌,❌,84.5,❌,—
KONTR,33.9,32.4,❌,✅,❌,-54.4,❌,—
A1CAP,46.6,32.6,✅,❌,✅,91.9,❌,—
RAYSG,38.9,32.7,❌,✅,❌,88.8,❌,—
ARZUM,36.9,33.0,❌,✅,❌,18.6,❌,—
TRILC,38.0,33.1,❌,✅,❌,60.9,❌,—
AKGRT,47.8,33.3,❌,❌,❌,97.1,✅,—
KATMR,44.6,33.3,❌,❌,❌,86.2,❌,—
SEGYO,45.5,33.3,✅,❌,✅,89.7,❌,—
IHLGM,43.8,33.5,✅,✅,❌,96.9,✅,—
MOPAS,,33.5,❌,❌,❌,83.8,❌,—
YBTAS,38.2,33.5,❌,✅,❌,5.3,❌,—
GOKNR,41.2,33.6,❌,❌,❌,84.7,❌,—
GENTS,44.6,33.6,✅,✅,✅,95.3,✅,🟢
YKSLN,33.4,33.6,❌,❌,❌,90.0,❌,—
AKYHO,41.0,33.6,✅,❌,✅,98.2,✅,—
PKENT,36.4,33.7,✅,✅,✅,78.0,❌,—
TUKAS,38.1,33.8,✅,✅,✅,85.8,❌,—
MNDTR,38.4,34.0,❌,❌,❌,97.9,✅,—
ARCLK,39.8,34.0,✅,❌,✅,95.7,✅,—
ENSRI,42.8,34.0,✅,✅,✅,-71.6,❌,—
VRGYO,36.4,34.2,✅,✅,✅,-83.3,❌,—
AGROT,34.7,34.2,❌,❌,❌,-199.0,❌,—
EMKEL,42.8,34.3,❌,❌,❌,91.2,❌,—
ATAGY,44.5,34.3,✅,❌,✅,92.8,❌,—
MEGMT,47.9,34.3,❌,❌,❌,88.8,❌,—
ADESE,44.8,34.8,❌,✅,❌,75.4,❌,—
EUREN,37.2,34.9,✅,✅,✅,-7.4,❌,—
