Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,✅,❌,❌,❌,5.4,❌,✅,—
KRTEK,30.1,❌,❌,❌,❌,15.8,❌,❌,—
MERKO,29.3,❌,❌,❌,❌,20.7,❌,✅,—
SEKFK,34.9,❌,❌,❌,✅,22.1,✅,❌,—
FORMT,35.3,❌,❌,❌,❌,23.6,❌,✅,—
IHYAY,37.8,❌,❌,❌,❌,25.5,❌,✅,—
EKIZ,44.0,❌,❌,❌,❌,27.2,❌,❌,—
OTTO,36.3,❌,❌,❌,❌,27.8,❌,✅,—
VESBE,31.4,❌,❌,❌,❌,28.0,✅,❌,—
IMASM,40.2,❌,❌,❌,❌,28.1,❌,❌,—
TEZOL,40.7,❌,❌,❌,❌,28.2,❌,❌,—
IHLAS,40.0,✅,❌,✅,❌,28.3,❌,✅,—
USAK,39.5,❌,❌,❌,❌,28.7,❌,✅,—
TMSN,38.8,❌,❌,❌,✅,28.7,✅,❌,—
ZOREN,35.9,❌,❌,❌,❌,29.5,✅,❌,—
MEGAP,39.3,✅,❌,✅,❌,29.8,✅,✅,—
CVKMD,45.2,❌,❌,❌,❌,30.0,❌,❌,—
NATEN,37.9,❌,❌,❌,❌,30.7,✅,❌,—
VAKFN,46.5,❌,❌,❌,❌,30.8,✅,✅,—
LIDER,41.9,❌,❌,❌,❌,30.9,❌,❌,—
AVTUR,45.0,❌,❌,❌,❌,31.1,❌,❌,—
KZBGY,41.5,❌,❌,❌,❌,31.2,❌,❌,—
DARDL,36.6,❌,✅,❌,❌,31.3,❌,❌,—
BMSCH,45.4,❌,❌,❌,❌,31.4,❌,❌,—
YYAPI,40.5,❌,❌,❌,❌,31.5,❌,✅,—
CANTE,39.1,✅,❌,✅,❌,31.7,✅,✅,—
SODSN,39.5,❌,❌,❌,❌,32.0,❌,✅,—
VESTL,32.5,❌,❌,❌,❌,32.1,✅,❌,—
QNBTR,46.5,❌,❌,❌,❌,32.1,❌,❌,—
IHGZT,43.5,✅,❌,✅,❌,32.2,✅,✅,—
KONTR,33.9,❌,❌,❌,❌,32.4,❌,✅,—
KRVGD,46.0,❌,❌,❌,❌,32.4,❌,❌,—
LRSHO,41.9,❌,❌,❌,❌,32.5,❌,❌,—
A1CAP,46.1,❌,❌,❌,❌,32.6,✅,❌,—
RAYSG,38.9,❌,❌,❌,❌,32.7,❌,✅,—
ARZUM,36.9,❌,❌,❌,❌,33.0,❌,✅,—
TRILC,38.0,❌,❌,❌,❌,33.1,❌,✅,—
TUKAS,38.0,✅,✅,✅,❌,33.1,✅,✅,—
AKGRT,47.7,❌,❌,❌,❌,33.2,❌,❌,—
KATMR,44.6,❌,❌,❌,❌,33.3,❌,❌,—
YBTAS,38.2,✅,❌,✅,❌,33.5,❌,✅,—
SEGYO,45.6,❌,❌,❌,❌,33.5,✅,❌,—
IHLGM,43.8,✅,❌,✅,❌,33.5,❌,✅,—
VRGYO,35.5,✅,✅,✅,❌,33.5,✅,✅,—
AKYHO,41.0,✅,❌,✅,❌,33.6,✅,❌,—
PKENT,36.4,❌,❌,❌,❌,33.6,❌,✅,—
GENTS,44.6,❌,❌,❌,❌,33.6,✅,✅,—
GOKNR,41.7,❌,❌,❌,❌,33.7,❌,❌,—
ARCLK,39.8,❌,❌,❌,❌,34.0,✅,❌,—
ENSRI,42.8,✅,❌,✅,❌,34.0,✅,✅,—
AGROT,33.4,❌,✅,❌,❌,34.0,❌,❌,—
MNDTR,38.4,❌,❌,❌,❌,34.0,❌,❌,—
YKSLN,33.5,❌,❌,❌,❌,34.1,✅,❌,—
EMKEL,42.8,❌,❌,❌,❌,34.2,❌,❌,—
ATAGY,44.5,❌,❌,❌,❌,34.3,✅,❌,—
MEGMT,46.3,❌,❌,❌,❌,34.3,❌,❌,—
MEKAG,42.1,✅,❌,✅,❌,34.8,✅,✅,—
ADESE,44.8,❌,❌,❌,❌,34.8,❌,✅,—
