Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
VAKFN,46.5,30.8,✅,✅,✅,98.2,✅,🟢
GENTS,44.6,33.6,✅,✅,✅,95.3,✅,🟢
CEMTS,46.3,36.9,✅,✅,✅,97.6,✅,🟢
OYYAT,47.7,37.4,✅,✅,✅,99.5,✅,🟢
BFREN,33.6,38.9,✅,✅,✅,98.7,✅,🟢
KUTPO,47.9,39.3,✅,✅,✅,97.7,✅,🟢
IHEVA,45.7,39.4,✅,✅,✅,99.0,✅,🟢
SRVGY,41.9,40.0,✅,✅,✅,95.2,✅,🟢
TLMAN,45.8,40.4,✅,✅,✅,98.0,✅,🟢
MAKTK,48.0,41.2,✅,✅,✅,97.8,✅,🟢
TEKTU,47.5,41.3,✅,✅,✅,95.5,✅,🟢
SNGYO,49.0,42.3,✅,✅,✅,96.5,✅,🟢
KLGYO,48.2,43.7,✅,✅,✅,96.4,✅,🟢
KLNMA,43.3,44.1,✅,✅,✅,96.3,✅,🟢
BUCIM,43.4,44.2,✅,✅,✅,98.5,✅,🟢
BURCE,53.7,44.3,✅,✅,✅,97.9,✅,🟢
OTKAR,43.3,44.5,✅,✅,✅,99.6,✅,🟢
BIZIM,45.4,44.5,✅,✅,✅,97.4,✅,🟢
TSKB,51.2,45.3,✅,✅,✅,98.9,✅,🟢
CIMSA,54.1,45.7,✅,✅,✅,98.1,✅,🟢
BANVT,43.7,45.8,✅,✅,✅,98.5,✅,🟢
ECILC,54.3,46.1,✅,✅,✅,97.1,✅,🟢
NUHCM,49.8,46.3,✅,✅,✅,96.1,✅,🟢
DYOBY,47.8,46.5,✅,✅,✅,97.9,✅,🟢
SNPAM,51.0,46.8,✅,✅,✅,99.7,✅,🟢
INTEM,51.5,46.9,✅,✅,✅,99.1,✅,🟢
AVOD,52.3,47.0,✅,✅,✅,99.4,✅,🟢
MNDRS,49.6,47.2,✅,✅,✅,99.4,✅,🟢
NUGYO,51.8,47.4,✅,✅,✅,97.2,✅,🟢
DESPC,48.2,47.6,✅,✅,✅,97.4,✅,🟢
LOGO,54.4,48.1,✅,✅,✅,98.0,✅,🟢
FRIGO,55.0,48.2,✅,✅,✅,96.5,✅,🟢
TKNSA,45.6,48.7,✅,✅,✅,97.7,✅,🟢
MEPET,62.0,49.3,✅,✅,✅,99.7,✅,🟢
EGSER,48.2,49.5,✅,✅,✅,98.8,✅,🟢
IHAAS,57.9,49.8,✅,✅,✅,95.2,✅,🟢
CEOEM,49.2,50.6,✅,✅,✅,95.5,✅,🟢
BASCM,55.0,50.9,✅,✅,✅,96.8,✅,🟢
GEDZA,54.6,51.1,✅,✅,✅,96.3,✅,🟢
ONCSM,60.6,51.3,✅,✅,✅,97.4,✅,🟢
KNFRT,51.5,51.3,✅,✅,✅,99.9,✅,🟢
OZKGY,54.4,51.4,✅,✅,✅,100.0,✅,🟢
BOSSA,52.7,51.8,✅,✅,✅,99.8,✅,🟢
TAVHL,57.0,52.2,✅,✅,✅,100.0,✅,🟢
GARAN,56.8,52.3,✅,✅,✅,98.8,✅,🟢
YKBNK,56.2,53.1,✅,✅,✅,97.2,✅,🟢
AKBNK,56.0,53.3,✅,✅,✅,100.0,✅,🟢
GUBRF,61.2,53.4,✅,✅,✅,98.8,✅,🟢
VAKBN,57.9,53.9,✅,✅,✅,97.4,✅,🟢
EKGYO,58.5,54.3,✅,✅,✅,97.4,✅,🟢
DNISI,54.0,54.4,✅,✅,✅,99.7,✅,🟢
OYAKC,54.7,55.0,✅,✅,✅,97.4,✅,🟢
EGGUB,60.7,56.4,✅,✅,✅,100.0,✅,🟢
RYSAS,68.5,56.6,✅,✅,✅,99.8,✅,🟢
OFSYM,,57.0,✅,✅,✅,100.0,✅,🟢
ENJSA,71.2,57.3,✅,✅,✅,100.0,✅,🟢
AYDEM,58.3,57.6,✅,✅,✅,96.3,✅,🟢
BINBN,,57.6,✅,✅,✅,95.6,✅,🟢
BIOEN,52.3,57.9,✅,✅,✅,96.2,✅,🟢
AGESA,71.4,58.6,✅,✅,✅,99.3,✅,🟢
ALARK,57.1,60.0,✅,✅,✅,100.0,✅,🟢
BOBET,51.1,60.1,✅,✅,✅,95.1,✅,🟢
ALBRK,64.6,60.6,✅,✅,✅,98.7,✅,🟢
TARKM,,60.6,✅,✅,✅,96.2,✅,🟢
GSDDE,70.4,60.7,✅,✅,✅,100.0,✅,🟢
ISBTR,56.8,60.9,✅,✅,✅,98.4,✅,🟢
ARSAN,67.6,61.0,✅,✅,✅,99.4,✅,🟢
AHGAZ,63.2,61.4,✅,✅,✅,98.5,✅,🟢
PSDTC,62.0,61.4,✅,✅,✅,99.7,✅,🟢
METRO,71.0,61.6,✅,✅,✅,99.8,✅,🟢
DOCO,64.7,62.1,✅,✅,✅,99.9,✅,🟢
BIGTK,56.8,62.2,✅,✅,✅,97.8,✅,🟢
BRSAN,62.5,63.5,✅,✅,✅,100.0,✅,🟢
TBORG,59.0,63.6,✅,✅,✅,98.1,✅,🟢
POLHO,73.1,64.6,✅,✅,✅,99.8,✅,🟢
ISGYO,68.2,64.8,✅,✅,✅,99.7,✅,🟢
BIMAS,83.4,64.8,✅,✅,✅,99.1,✅,🟢
SANFM,58.8,64.9,✅,✅,✅,99.4,✅,🟢
GUNDG,,65.0,✅,✅,✅,99.2,✅,🟢
INDES,67.2,65.2,✅,✅,✅,99.7,✅,🟢
ASTOR,79.5,65.7,✅,✅,✅,97.9,✅,🟢
ORGE,68.4,65.8,✅,✅,✅,99.9,✅,🟢
SAYAS,59.8,66.2,✅,✅,✅,100.0,✅,🟢
TCKRC,,67.1,✅,✅,✅,97.1,✅,🟢
ARASE,84.0,67.2,✅,✅,✅,100.0,✅,🟢
ETYAT,80.7,67.4,✅,✅,✅,99.8,✅,🟢
KRDMD,73.6,68.3,✅,✅,✅,99.2,✅,🟢
VERUS,66.2,68.6,✅,✅,✅,100.0,✅,🟢
GESAN,70.5,68.9,✅,✅,✅,100.0,✅,🟢
HATSN,,69.7,✅,✅,✅,100.0,✅,🟢
DEVA,63.7,70.4,✅,✅,✅,99.9,✅,🟢
VBTYZ,70.3,70.5,✅,✅,✅,100.0,✅,🟢
AKSGY,76.5,71.6,✅,✅,✅,98.8,✅,🟢
TKFEN,77.6,72.4,✅,✅,✅,99.6,✅,🟢
TGSAS,73.3,73.0,✅,✅,✅,100.0,✅,🟢
INVES,,74.1,✅,✅,✅,100.0,✅,🟢
IZMDC,82.0,74.3,✅,✅,✅,99.9,✅,🟢
DAGI,73.6,76.4,✅,✅,✅,99.2,✅,🟢
SELEC,88.0,76.9,✅,✅,✅,100.0,✅,🟢
RYGYO,80.5,77.5,✅,✅,✅,100.0,✅,🟢
OZSUB,82.3,78.4,✅,✅,✅,100.0,✅,🟢
ANELE,94.3,80.2,✅,✅,✅,100.0,✅,🟢
ATATP,82.4,81.0,✅,✅,✅,100.0,✅,🟢
KRDMA,76.6,82.7,✅,✅,✅,100.0,✅,🟢
AKFIS,,84.6,✅,✅,✅,100.0,✅,🟢
TRHOL,97.3,85.4,✅,✅,✅,100.0,✅,🟢
BIGEN,,87.8,✅,✅,✅,100.0,✅,🟢
OZATD,,93.7,✅,✅,✅,96.6,✅,🟢
IEYHO,98.5,98.0,✅,✅,✅,100.0,✅,🟢
