Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
BOSSA,52.8,✅,✅,✅,✅,51.9,✅,✅,🟢
GUBRF,61.2,✅,✅,✅,✅,53.4,✅,✅,🟢
EGGUB,60.7,✅,✅,✅,✅,56.4,✅,✅,🟢
RYSAS,68.6,✅,✅,✅,✅,56.8,✅,✅,🟢
AYDEM,58.4,✅,✅,✅,✅,57.6,✅,✅,🟢
BOBET,51.1,✅,✅,✅,✅,60.2,✅,✅,🟢
GSDDE,70.3,✅,✅,✅,✅,60.6,✅,✅,🟢
AHGAZ,63.3,✅,✅,✅,✅,61.5,✅,✅,🟢
METRO,71.0,✅,✅,✅,✅,61.6,✅,✅,🟢
PSDTC,62.1,✅,✅,✅,✅,61.6,✅,✅,🟢
DOCO,64.7,✅,✅,✅,✅,62.1,✅,✅,🟢
BIGTK,56.8,✅,✅,✅,✅,62.2,✅,✅,🟢
BRSAN,62.5,✅,✅,✅,✅,63.5,✅,✅,🟢
POLHO,73.1,✅,✅,✅,✅,64.4,✅,✅,🟢
ISGYO,68.2,✅,✅,✅,✅,64.8,✅,✅,🟢
SANFM,58.8,✅,✅,✅,✅,64.9,✅,✅,🟢
INDES,67.1,✅,✅,✅,✅,65.0,✅,✅,🟢
BIMAS,83.5,✅,✅,✅,✅,65.1,✅,✅,🟢
ASTOR,79.4,✅,✅,✅,✅,65.4,✅,✅,🟢
ORGE,68.4,✅,✅,✅,✅,65.7,✅,✅,🟢
ETYAT,80.5,✅,✅,✅,✅,66.9,✅,✅,🟢
VERUS,66.1,✅,✅,✅,✅,68.5,✅,✅,🟢
KRDMD,73.7,✅,✅,✅,✅,68.6,✅,✅,🟢
VBTYZ,70.3,✅,✅,✅,✅,70.5,✅,✅,🟢
PCILT,71.7,✅,✅,✅,✅,71.8,✅,✅,🟢
TGSAS,73.2,✅,✅,✅,✅,72.8,✅,✅,🟢
IZMDC,81.8,✅,✅,✅,✅,73.9,✅,✅,🟢
DAGI,73.6,✅,✅,✅,✅,76.5,✅,✅,🟢
SELEC,88.1,✅,✅,✅,✅,76.9,✅,✅,🟢
RYGYO,80.5,✅,✅,✅,✅,77.5,✅,✅,🟢
OZSUB,82.3,✅,✅,✅,✅,78.6,✅,✅,🟢
ANELE,94.4,✅,✅,✅,✅,80.4,✅,✅,🟢
ATATP,82.4,✅,✅,✅,✅,81.0,✅,✅,🟢
KRDMA,76.7,✅,✅,✅,✅,82.8,✅,✅,🟢
TRHOL,97.3,✅,✅,✅,✅,85.4,✅,✅,🟢
IEYHO,98.5,✅,✅,✅,✅,98.0,✅,✅,🟢
DUNYH,87.9,✅,✅,✅,✅,98.6,✅,✅,🟢
