Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
DUNYH,34.1,2.2,❌,❌,❌,82.7,❌,—
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
FORMT,31.4,14.5,❌,❌,❌,61.5,❌,—
LYDHO,35.4,16.3,❌,❌,❌,99.1,✅,—
USAK,35.6,17.1,❌,❌,❌,83.1,❌,—
BULGS,,17.7,❌,❌,❌,69.2,❌,—
BSOKE,39.1,18.2,❌,❌,❌,94.9,❌,—
BTCIM,36.0,18.2,❌,❌,❌,86.2,❌,—
LYDYE,37.2,18.5,❌,❌,❌,99.5,✅,—
ALVES,32.3,18.7,❌,❌,❌,-51.2,❌,—
OTTO,32.3,19.6,❌,❌,❌,69.3,❌,—
MERKO,28.9,19.7,❌,✅,❌,-27.2,❌,—
BINBN,,19.7,❌,❌,❌,59.5,❌,—
MEDTR,34.6,21.0,❌,❌,❌,74.4,❌,—
A1CAP,36.9,21.1,❌,❌,❌,85.9,❌,—
VRGYO,31.8,21.2,❌,❌,❌,-87.3,❌,—
DARDL,33.7,21.2,❌,❌,❌,85.4,❌,—
IMASM,36.2,21.4,❌,❌,❌,3.4,❌,—
SEKFK,33.7,21.6,✅,❌,✅,88.6,❌,—
RTALB,38.9,21.8,❌,❌,❌,89.1,❌,—
MEGAP,36.6,21.9,❌,❌,❌,62.8,❌,—
SODSN,35.6,21.9,❌,❌,❌,74.5,❌,—
EGEPO,42.3,21.9,❌,❌,❌,89.1,❌,—
RAYSG,35.5,22.0,❌,❌,❌,88.1,❌,—
YBTAS,35.5,22.1,❌,❌,❌,-2.6,❌,—
IHYAY,36.2,22.3,❌,❌,❌,87.0,❌,—
VAKFN,41.2,22.5,❌,❌,❌,98.0,✅,—
PAMEL,35.7,22.5,❌,❌,❌,85.5,❌,—
KRTEK,31.6,22.8,✅,✅,✅,95.4,✅,🟢
YYAPI,37.9,22.9,❌,❌,❌,84.0,❌,—
AKGRT,42.1,23.0,❌,❌,❌,95.5,✅,—
BARMA,,23.1,❌,❌,❌,74.6,❌,—
AGROT,31.1,23.1,❌,❌,❌,-232.0,❌,—
YESIL,35.0,23.1,❌,❌,❌,71.5,❌,—
EKIZ,39.9,23.2,❌,❌,❌,94.7,❌,—
SKYLP,38.2,23.3,❌,❌,❌,95.4,✅,—
MOPAS,,23.3,❌,❌,❌,75.3,❌,—
DCTTR,,23.3,❌,❌,❌,23.2,❌,—
AKYHO,36.2,23.3,❌,❌,❌,97.6,✅,—
EKOS,,23.5,❌,❌,❌,35.9,❌,—
SEGYO,40.5,23.5,✅,❌,✅,89.4,❌,—
BEGYO,,23.5,❌,❌,❌,38.3,❌,—
ONCSM,37.9,23.6,❌,❌,❌,75.2,❌,—
