Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
EDIP,63.5,✅,✅,✅,✅,53.0,✅,✅,🟢
BOBET,49.7,✅,✅,✅,✅,60.8,✅,✅,🟢
KCHOL,65.8,✅,✅,✅,✅,61.0,✅,✅,🟢
AGESA,73.3,✅,✅,✅,✅,64.8,✅,✅,🟢
AHGAZ,65.2,✅,✅,✅,✅,66.4,✅,✅,🟢
RYSAS,74.5,✅,✅,✅,✅,66.9,✅,✅,🟢
KUVVA,70.4,✅,✅,✅,✅,70.1,✅,✅,🟢
AYGAZ,72.7,✅,✅,✅,✅,70.2,✅,✅,🟢
CRFSA,84.1,✅,✅,✅,✅,70.8,✅,✅,🟢
TUPRS,79.8,✅,✅,✅,✅,79.1,✅,✅,🟢
SELEC,89.5,✅,✅,✅,✅,80.3,✅,✅,🟢
RYGYO,83.4,✅,✅,✅,✅,81.2,✅,✅,🟢
KRDMA,78.0,✅,✅,✅,✅,82.8,✅,✅,🟢
ANELE,95.5,✅,✅,✅,✅,85.1,✅,✅,🟢
TRHOL,97.8,✅,✅,✅,✅,90.3,✅,✅,🟢
IEYHO,98.6,✅,✅,✅,✅,98.5,✅,✅,🟢
