Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
GENTS,44.1,31.7,✅,✅,✅,95.6,✅,🟢
OYYAT,48.5,38.4,✅,✅,✅,99.8,✅,🟢
BFREN,33.7,38.6,✅,✅,✅,98.8,✅,🟢
MAKTK,47.3,39.1,✅,✅,✅,98.0,✅,🟢
IHEVA,46.0,39.4,✅,✅,✅,99.0,✅,🟢
ISYAT,45.4,40.8,✅,✅,✅,97.3,✅,🟢
TEKTU,47.5,41.3,✅,✅,✅,95.8,✅,🟢
MZHLD,42.2,41.5,✅,✅,✅,98.1,✅,🟢
OTKAR,43.1,43.4,✅,✅,✅,99.7,✅,🟢
TSGYO,44.4,43.4,✅,✅,✅,95.8,✅,🟢
SNGYO,51.2,43.9,✅,✅,✅,96.7,✅,🟢
PNSUT,50.2,44.0,✅,✅,✅,95.7,✅,🟢
ECILC,54.4,44.6,✅,✅,✅,97.3,✅,🟢
KLNMA,43.2,44.9,✅,✅,✅,96.4,✅,🟢
SNPAM,50.4,45.1,✅,✅,✅,99.7,✅,🟢
PLTUR,48.5,45.5,✅,✅,✅,99.4,✅,🟢
DESPC,47.0,46.8,✅,✅,✅,97.6,✅,🟢
PETUN,52.2,47.7,✅,✅,✅,96.6,✅,🟢
BUCIM,44.9,48.0,✅,✅,✅,98.7,✅,🟢
EGSER,46.4,48.1,✅,✅,✅,98.8,✅,🟢
KLGYO,50.6,48.5,✅,✅,✅,96.5,✅,🟢
CEOEM,49.0,49.8,✅,✅,✅,96.0,✅,🟢
EDIP,59.9,50.2,✅,✅,✅,99.3,✅,🟢
GEDZA,53.9,50.4,✅,✅,✅,96.5,✅,🟢
GARAN,56.5,51.0,✅,✅,✅,99.1,✅,🟢
TAVHL,56.6,51.3,✅,✅,✅,100.0,✅,🟢
VAKBN,58.7,52.0,✅,✅,✅,97.9,✅,🟢
BASCM,55.4,52.0,✅,✅,✅,97.5,✅,🟢
YKBNK,56.0,52.0,✅,✅,✅,97.8,✅,🟢
TURSG,66.8,52.1,✅,✅,✅,99.3,✅,🟢
PATEK,,52.2,✅,✅,✅,98.3,✅,🟢
AKBNK,55.8,52.4,✅,✅,✅,100.0,✅,🟢
OZKGY,55.3,53.0,✅,✅,✅,100.0,✅,🟢
MNDRS,51.1,53.2,✅,✅,✅,99.5,✅,🟢
FADE,54.9,53.3,✅,✅,✅,95.8,✅,🟢
EKGYO,58.3,53.6,✅,✅,✅,97.8,✅,🟢
KNFRT,52.6,53.6,✅,✅,✅,100.0,✅,🟢
FRIGO,57.6,53.7,✅,✅,✅,97.2,✅,🟢
GUBRF,62.1,54.1,✅,✅,✅,99.0,✅,🟢
EGGUB,61.3,54.5,✅,✅,✅,100.0,✅,🟢
OYAKC,54.7,55.0,✅,✅,✅,97.9,✅,🟢
ULUUN,62.2,55.5,✅,✅,✅,99.9,✅,🟢
OFSYM,,56.6,✅,✅,✅,100.0,✅,🟢
BINBN,,57.4,✅,✅,✅,99.6,✅,🟢
ENDAE,,57.6,✅,✅,✅,96.3,✅,🟢
DOHOL,64.6,57.7,✅,✅,✅,99.8,✅,🟢
ENJSA,72.6,57.7,✅,✅,✅,100.0,✅,🟢
ISBTR,55.6,58.1,✅,✅,✅,98.4,✅,🟢
TRENJ,65.9,58.2,✅,✅,✅,100.0,✅,🟢
TRMET,66.2,58.4,✅,✅,✅,100.0,✅,🟢
ASELS,76.1,58.4,✅,✅,✅,100.0,✅,🟢
SDTTR,56.2,58.8,✅,✅,✅,100.0,✅,🟢
EGEGY,,58.9,✅,✅,✅,100.0,✅,🟢
RYSAS,72.6,59.9,✅,✅,✅,99.9,✅,🟢
TARKM,,60.2,✅,✅,✅,100.0,✅,🟢
ALBRK,64.7,60.3,✅,✅,✅,98.8,✅,🟢
KRGYO,43.6,60.5,✅,✅,✅,96.0,✅,🟢
DOCO,64.4,60.9,✅,✅,✅,100.0,✅,🟢
KGYO,79.5,61.0,✅,✅,✅,100.0,✅,🟢
ALARK,57.9,61.4,✅,✅,✅,100.0,✅,🟢
ARSAN,68.4,62.1,✅,✅,✅,99.8,✅,🟢
AGESA,73.4,62.9,✅,✅,✅,99.6,✅,🟢
TBORG,58.1,63.2,✅,✅,✅,98.5,✅,🟢
BOBET,51.0,63.5,✅,✅,✅,96.2,✅,🟢
TNZTP,65.6,63.6,✅,✅,✅,99.4,✅,🟢
PEKGY,71.2,63.7,✅,✅,✅,96.8,✅,🟢
BIGTK,57.8,64.0,✅,✅,✅,99.0,✅,🟢
GIPTA,,64.1,✅,✅,✅,100.0,✅,🟢
AHGAZ,65.2,64.1,✅,✅,✅,99.3,✅,🟢
EGPRO,64.6,64.3,✅,✅,✅,98.9,✅,🟢
PSDTC,66.5,64.3,✅,✅,✅,100.0,✅,🟢
SAYAS,57.5,64.4,✅,✅,✅,100.0,✅,🟢
BRSAN,63.0,64.7,✅,✅,✅,100.0,✅,🟢
INDES,67.2,65.2,✅,✅,✅,99.8,✅,🟢
AKCNS,72.5,65.4,✅,✅,✅,99.7,✅,🟢
ISGYO,68.8,65.7,✅,✅,✅,99.7,✅,🟢
SANFM,60.4,66.1,✅,✅,✅,99.6,✅,🟢
ASTOR,80.0,66.7,✅,✅,✅,100.0,✅,🟢
ORGE,69.3,67.1,✅,✅,✅,100.0,✅,🟢
ETYAT,81.5,68.4,✅,✅,✅,99.9,✅,🟢
