Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
KRTEK,30.1,❌,❌,❌,❌,15.7,❌,❌,—
MERKO,29.3,❌,❌,❌,❌,20.8,✅,✅,—
SEKFK,35.1,❌,❌,❌,✅,21.9,✅,❌,—
FORMT,35.2,❌,❌,❌,❌,23.6,❌,✅,—
IHYAY,37.9,❌,❌,❌,❌,24.8,❌,❌,—
OTTO,35.8,❌,❌,❌,❌,26.7,❌,✅,—
VESBE,31.4,❌,❌,❌,❌,27.7,❌,❌,—
IMASM,40.1,❌,❌,❌,❌,27.8,❌,❌,—
IHLAS,40.2,✅,❌,✅,❌,27.9,❌,✅,—
EKIZ,44.8,❌,❌,❌,❌,28.0,✅,❌,—
TEZOL,40.6,❌,❌,❌,❌,28.1,❌,❌,—
USAK,39.5,❌,❌,❌,❌,28.4,❌,✅,—
MEGAP,38.9,❌,❌,❌,❌,28.7,❌,✅,—
ZOREN,36.0,❌,❌,❌,❌,28.9,✅,❌,—
NATEN,38.0,❌,❌,❌,❌,29.0,❌,❌,—
TMSN,39.1,❌,❌,❌,✅,29.3,✅,❌,—
VAKFN,46.5,❌,❌,❌,❌,29.4,✅,❌,—
CVKMD,45.4,❌,❌,❌,❌,29.7,❌,❌,—
BMSCH,45.0,❌,❌,❌,❌,30.0,❌,❌,—
CANTE,40.7,✅,❌,✅,❌,30.8,❌,✅,—
IHGZT,44.3,✅,❌,✅,❌,30.8,✅,✅,—
KZBGY,41.7,❌,❌,❌,❌,31.0,❌,❌,—
LIDER,42.0,❌,❌,❌,❌,31.0,❌,❌,—
SODSN,39.3,❌,❌,❌,❌,31.1,❌,❌,—
YYAPI,40.4,❌,❌,❌,❌,31.1,❌,✅,—
DARDL,36.8,❌,✅,❌,❌,31.3,❌,❌,—
YBTAS,37.4,❌,❌,❌,❌,31.4,❌,✅,—
GENTS,44.1,❌,❌,❌,❌,31.7,✅,✅,—
KRVGD,46.0,❌,❌,❌,❌,31.9,❌,❌,—
QNBTR,46.5,❌,❌,❌,❌,32.0,❌,❌,—
LRSHO,41.7,❌,❌,❌,❌,32.0,❌,❌,—
RAYSG,38.9,❌,❌,❌,❌,32.1,❌,❌,—
AKYHO,40.4,❌,❌,❌,❌,32.2,❌,❌,—
AGROT,32.8,❌,❌,❌,❌,32.3,❌,❌,—
KONTR,33.9,❌,❌,❌,❌,32.3,❌,✅,—
ARZUM,37.3,✅,❌,✅,❌,32.5,❌,❌,—
AVTUR,45.9,❌,❌,❌,❌,32.5,❌,❌,—
TRILC,37.9,❌,❌,❌,❌,32.7,❌,✅,—
