Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
FADE,54.9,✅,✅,✅,✅,53.3,✅,✅,🟢
GUBRF,62.1,✅,✅,✅,✅,54.1,✅,✅,🟢
EGGUB,61.3,✅,✅,✅,✅,54.5,✅,✅,🟢
HALKB,66.0,✅,✅,✅,✅,54.7,✅,✅,🟢
ULUUN,62.2,✅,✅,✅,✅,55.5,✅,✅,🟢
TRENJ,65.9,✅,✅,✅,✅,58.2,✅,✅,🟢
ASELS,76.1,✅,✅,✅,✅,58.4,✅,✅,🟢
TRMET,66.2,✅,✅,✅,✅,58.4,✅,✅,🟢
SDTTR,56.4,✅,✅,✅,✅,58.8,✅,✅,🟢
RYSAS,72.6,✅,✅,✅,✅,59.9,✅,✅,🟢
ALBRK,64.7,✅,✅,✅,✅,60.3,✅,✅,🟢
DOCO,64.4,✅,✅,✅,✅,60.9,✅,✅,🟢
KGYO,79.5,✅,✅,✅,✅,61.0,✅,✅,🟢
AGESA,73.4,✅,✅,✅,✅,62.9,✅,✅,🟢
BOBET,51.0,✅,✅,✅,✅,63.5,✅,✅,🟢
TNZTP,65.7,✅,✅,✅,✅,63.6,✅,✅,🟢
PEKGY,71.2,✅,✅,✅,✅,63.7,✅,✅,🟢
BIGTK,57.8,✅,✅,✅,✅,64.0,✅,✅,🟢
AHGAZ,65.2,✅,✅,✅,✅,64.1,✅,✅,🟢
PSDTC,66.5,✅,✅,✅,✅,64.3,✅,✅,🟢
EGPRO,64.6,✅,✅,✅,✅,64.3,✅,✅,🟢
BRSAN,63.0,✅,✅,✅,✅,64.7,✅,✅,🟢
INDES,67.2,✅,✅,✅,✅,65.2,✅,✅,🟢
AKCNS,72.5,✅,✅,✅,✅,65.4,✅,✅,🟢
ISGYO,68.8,✅,✅,✅,✅,65.7,✅,✅,🟢
SANFM,60.4,✅,✅,✅,✅,66.1,✅,✅,🟢
ASTOR,80.0,✅,✅,✅,✅,66.7,✅,✅,🟢
ORGE,69.3,✅,✅,✅,✅,67.1,✅,✅,🟢
EUPWR,82.5,✅,✅,✅,✅,67.1,✅,✅,🟢
ETYAT,81.5,✅,✅,✅,✅,68.4,✅,✅,🟢
VBTYZ,70.3,✅,✅,✅,✅,68.6,✅,✅,🟢
VERUS,65.1,✅,✅,✅,✅,69.4,✅,✅,🟢
KRDMD,74.4,✅,✅,✅,✅,69.7,✅,✅,🟢
PCILT,70.4,✅,✅,✅,✅,69.8,✅,✅,🟢
IZMDC,82.1,✅,✅,✅,✅,75.0,✅,✅,🟢
ATATP,79.5,✅,✅,✅,✅,77.0,✅,✅,🟢
DAGI,73.8,✅,✅,✅,✅,77.7,✅,✅,🟢
TGSAS,75.7,✅,✅,✅,✅,78.7,✅,✅,🟢
OZSUB,82.7,✅,✅,✅,✅,78.8,✅,✅,🟢
SELEC,89.5,✅,✅,✅,✅,79.2,✅,✅,🟢
RYGYO,82.0,✅,✅,✅,✅,79.2,✅,✅,🟢
KRDMA,75.6,✅,✅,✅,✅,80.7,✅,✅,🟢
ANELE,95.4,✅,✅,✅,✅,83.7,✅,✅,🟢
TRHOL,97.8,✅,✅,✅,✅,88.2,✅,✅,🟢
IEYHO,98.5,✅,✅,✅,✅,98.1,✅,✅,🟢
