Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
KRTEK,30.0,❌,❌,❌,❌,16.6,✅,❌,—
MERKO,29.2,❌,❌,❌,❌,20.8,✅,✅,—
FORMT,34.1,❌,❌,❌,❌,21.7,✅,❌,—
SEKFK,34.7,❌,❌,❌,✅,22.8,✅,❌,—
OTTO,34.8,❌,❌,❌,❌,25.8,✅,✅,—
BTCIM,43.5,❌,❌,❌,❌,25.9,❌,❌,—
SAFKR,42.7,❌,❌,❌,❌,27.9,❌,❌,—
BSOKE,46.8,❌,❌,❌,✅,27.9,❌,❌,—
YBTAS,36.9,❌,❌,❌,❌,28.1,❌,❌,—
VAKFN,44.8,❌,❌,❌,❌,28.2,✅,❌,—
IHYAY,38.0,✅,❌,✅,❌,28.2,✅,✅,—
MEGAP,38.5,❌,❌,❌,❌,28.3,✅,✅,—
USAK,39.2,❌,❌,❌,❌,28.5,✅,✅,—
TEZOL,39.8,❌,❌,❌,❌,28.5,✅,❌,—
IHLAS,39.8,❌,❌,❌,❌,28.9,✅,✅,—
LIDER,39.8,❌,❌,❌,❌,29.0,❌,❌,—
BMSCH,43.5,❌,❌,❌,❌,29.4,✅,❌,—
CMENT,39.7,❌,❌,❌,✅,29.6,❌,❌,—
CVKMD,44.6,❌,❌,❌,❌,29.7,❌,❌,—
LYDHO,48.7,❌,❌,❌,❌,29.8,❌,❌,—
YYAPI,40.1,❌,❌,❌,❌,29.9,❌,✅,—
AKYHO,39.7,❌,❌,❌,❌,30.1,✅,❌,—
KATMR,41.8,❌,❌,❌,❌,30.3,✅,❌,—
EKIZ,43.7,❌,❌,❌,❌,30.4,✅,✅,—
TMSN,37.9,❌,❌,❌,✅,30.4,✅,❌,—
KZBGY,40.6,❌,❌,❌,❌,30.6,✅,✅,—
KONKA,38.9,❌,❌,❌,❌,30.6,✅,❌,—
QNBTR,45.8,❌,❌,❌,❌,30.7,✅,❌,—
AGROT,32.2,❌,❌,❌,❌,30.8,✅,❌,—
NATEN,36.8,❌,❌,❌,❌,31.0,✅,❌,—
KONTR,33.7,❌,✅,❌,❌,31.1,❌,✅,—
DARDL,36.2,❌,✅,❌,❌,31.3,✅,❌,—
YESIL,37.3,❌,❌,❌,❌,31.3,✅,✅,—
A1CAP,43.6,❌,❌,❌,❌,31.4,✅,❌,—
SODSN,39.0,❌,❌,❌,❌,31.5,✅,✅,—
TRILC,37.4,❌,❌,❌,❌,31.6,❌,✅,—
ATAGY,42.9,❌,❌,❌,❌,31.6,✅,❌,—
EMKEL,41.7,❌,❌,❌,❌,31.7,✅,❌,—
ARZUM,36.3,❌,❌,❌,❌,32.2,✅,✅,—
SKYLP,46.6,❌,❌,❌,✅,32.3,❌,❌,—
ENSRI,41.7,❌,❌,❌,❌,32.3,✅,✅,—
KSTUR,41.5,❌,❌,❌,❌,32.4,❌,❌,—
GRNYO,46.5,❌,❌,❌,❌,32.6,✅,❌,—
GENTS,44.3,✅,❌,✅,❌,32.7,✅,✅,—
SEGYO,44.7,❌,❌,❌,❌,32.9,✅,❌,—
UNLU,38.4,❌,❌,❌,❌,33.0,✅,❌,—
RAYSG,38.7,✅,❌,✅,❌,33.2,✅,✅,—
MEDTR,40.0,❌,❌,❌,❌,33.3,❌,❌,—
ONCSM,47.2,❌,❌,❌,❌,33.4,❌,❌,—
FENER,34.5,❌,✅,❌,❌,33.5,❌,✅,—
DITAS,44.0,❌,❌,❌,❌,33.6,❌,❌,—
LRSHO,41.8,✅,❌,✅,❌,33.6,✅,✅,—
KRVGD,45.8,✅,❌,✅,❌,33.8,✅,❌,—
OYLUM,43.9,❌,❌,❌,❌,33.9,❌,❌,—
ATAKP,38.3,❌,❌,❌,❌,34.0,✅,❌,—
PKENT,35.8,❌,❌,❌,❌,34.0,✅,✅,—
IMASM,41.2,✅,❌,✅,❌,34.1,✅,✅,—
MZHLD,40.2,❌,❌,❌,❌,34.1,❌,❌,—
VKING,40.8,❌,❌,❌,❌,34.3,✅,❌,—
LKMNH,45.0,❌,❌,❌,✅,34.4,✅,❌,—
DERHL,45.8,✅,❌,✅,❌,34.4,✅,✅,—
RTALB,45.6,❌,❌,❌,❌,34.5,✅,❌,—
ERBOS,42.6,❌,❌,❌,✅,34.7,✅,❌,—
IHLGM,43.6,❌,❌,❌,❌,34.7,✅,✅,—
YONGA,40.7,❌,❌,❌,❌,35.1,✅,❌,—
MEGMT,47.0,✅,❌,✅,❌,35.1,✅,❌,—
MEKAG,41.8,✅,❌,✅,❌,35.1,✅,✅,—
AKGRT,47.6,❌,❌,❌,❌,35.3,✅,❌,—
TATEN,40.7,❌,❌,❌,❌,35.3,✅,❌,—
ZOREN,37.5,✅,❌,✅,❌,35.3,✅,✅,—
IHGZT,43.2,❌,❌,❌,❌,35.3,✅,✅,—
SOKE,43.7,❌,❌,❌,❌,35.4,✅,❌,—
YATAS,45.7,✅,❌,✅,❌,35.4,✅,❌,—
COSMO,44.6,❌,❌,❌,❌,35.4,❌,✅,—
OSTIM,41.6,✅,❌,✅,❌,35.7,✅,✅,—
ADESE,44.9,✅,❌,✅,❌,35.7,✅,✅,—
DOFER,42.1,❌,❌,❌,❌,35.9,✅,✅,—
VRGYO,35.5,✅,✅,✅,❌,35.9,✅,✅,—
BURCE,50.1,❌,❌,❌,❌,36.2,✅,❌,—
HTTBT,46.7,❌,❌,❌,❌,36.3,❌,❌,—
ELITE,43.3,❌,❌,❌,❌,36.4,✅,❌,—
LUKSK,46.3,✅,❌,✅,✅,36.6,✅,❌,—
AVTUR,47.7,✅,❌,✅,❌,36.7,✅,❌,—
KIMMR,51.2,❌,❌,❌,❌,36.8,✅,❌,—
ANGEN,38.7,✅,❌,✅,❌,36.8,✅,❌,—
PAMEL,41.5,❌,❌,❌,❌,36.8,✅,❌,—
EGEPO,58.9,❌,❌,❌,❌,36.9,❌,❌,—
KAPLM,51.6,❌,❌,❌,❌,36.9,✅,❌,—
SELVA,43.5,❌,❌,❌,❌,36.9,✅,❌,—
IHEVA,44.9,❌,❌,❌,❌,37.0,❌,❌,—
CONSE,36.9,✅,❌,✅,❌,37.1,✅,✅,—
OYYAT,46.7,❌,❌,❌,❌,37.1,✅,❌,—
GZNMI,41.5,❌,❌,❌,❌,37.3,❌,❌,—
CEMTS,46.0,✅,❌,✅,✅,37.3,✅,✅,—
EUREN,37.3,✅,✅,✅,❌,37.4,✅,✅,—
POLTK,38.6,❌,❌,❌,❌,37.4,✅,❌,—
CASA,41.6,✅,❌,✅,❌,37.4,✅,✅,—
SILVR,43.8,❌,❌,❌,❌,37.5,✅,❌,—
ORCAY,35.3,❌,✅,❌,❌,37.5,✅,❌,—
TUKAS,38.3,✅,✅,✅,❌,37.6,✅,✅,—
ASUZU,43.1,✅,❌,✅,❌,37.6,✅,✅,—
IZENR,41.8,❌,❌,❌,❌,37.6,✅,❌,—
VERTU,46.0,❌,❌,❌,❌,37.6,✅,❌,—
ARENA,42.6,❌,❌,❌,❌,37.7,✅,❌,—
HEDEF,48.4,❌,❌,❌,✅,37.7,❌,❌,—
KUTPO,46.9,❌,❌,❌,❌,37.8,✅,✅,—
TUREX,44.5,❌,❌,❌,❌,37.9,✅,❌,—
ULAS,45.7,✅,❌,✅,❌,37.9,❌,✅,—
MAKTK,46.3,❌,❌,❌,❌,37.9,✅,✅,—
KRSTL,49.7,❌,❌,❌,❌,37.9,✅,❌,—
KLSER,26.7,❌,✅,❌,❌,38.0,✅,❌,—
SRVGY,40.5,❌,❌,❌,❌,38.0,✅,✅,—
LYDYE,49.5,✅,❌,✅,❌,38.2,❌,❌,—
SNICA,33.7,❌,❌,❌,❌,38.2,✅,❌,—
VESBE,33.5,✅,✅,✅,❌,38.2,❌,✅,—
PGSUS,40.3,✅,❌,✅,❌,38.3,✅,✅,—
ORMA,46.4,❌,❌,❌,❌,38.3,✅,❌,—
SKBNK,47.8,✅,❌,✅,❌,38.3,✅,❌,—
AZTEK,43.6,❌,❌,❌,❌,38.4,✅,❌,—
BFREN,33.3,✅,✅,✅,❌,38.5,✅,✅,—
EUHOL,48.2,❌,❌,❌,❌,38.5,❌,❌,—
IDGYO,44.6,❌,❌,❌,❌,38.7,✅,❌,—
IZINV,46.7,❌,❌,❌,❌,38.7,✅,❌,—
HUBVC,47.6,✅,❌,✅,❌,38.8,❌,❌,—
TEKTU,46.2,❌,❌,❌,❌,38.8,✅,❌,—
DESA,46.5,✅,❌,✅,✅,38.9,✅,✅,—
DAPGM,46.2,✅,❌,✅,❌,38.9,✅,❌,—
MGROS,52.2,✅,❌,✅,❌,39.0,✅,❌,—
ARCLK,41.2,✅,❌,✅,❌,39.0,✅,✅,—
BRYAT,46.1,✅,❌,✅,❌,39.0,✅,✅,—
KENT,36.7,❌,❌,❌,❌,39.1,❌,✅,—
SMART,45.5,❌,❌,❌,❌,39.1,✅,❌,—
KLKIM,46.1,❌,❌,❌,❌,39.2,✅,✅,—
LINK,41.6,❌,❌,❌,❌,39.3,✅,❌,—
BEYAZ,46.2,❌,❌,❌,❌,39.3,✅,❌,—
SMRTG,43.0,❌,❌,❌,❌,39.4,❌,❌,—
CRDFA,58.8,❌,❌,❌,✅,39.5,❌,❌,—
AVHOL,45.2,❌,❌,❌,❌,39.5,✅,❌,—
ICUGS,51.6,❌,❌,❌,❌,39.6,❌,❌,—
MAVI,49.6,❌,❌,❌,❌,39.6,✅,❌,—
ZEDUR,44.6,❌,❌,❌,❌,39.6,✅,❌,—
TUCLK,37.7,✅,❌,✅,❌,39.6,✅,✅,—
VKFYO,47.7,❌,❌,❌,❌,39.6,✅,✅,—
PARSN,43.6,✅,❌,✅,❌,39.7,✅,✅,—
ALKA,48.3,✅,❌,✅,❌,39.7,✅,✅,—
GOKNR,43.6,✅,❌,✅,❌,39.8,✅,❌,—
CLEBI,46.8,✅,❌,✅,❌,39.9,✅,✅,—
BAYRK,45.6,❌,❌,❌,❌,40.0,✅,❌,—
YUNSA,50.9,❌,❌,❌,✅,40.0,✅,❌,—
ESEN,44.2,❌,❌,❌,❌,40.1,✅,✅,—
TKNSA,42.1,❌,❌,❌,❌,40.1,✅,✅,—
BAKAB,47.9,✅,❌,✅,❌,40.1,✅,❌,—
ALCTL,48.1,✅,❌,✅,❌,40.1,❌,❌,—
