Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
EKIZ,43.7,30.4,✅,✅,✅,95.2,✅,🟢
GENTS,44.3,32.7,✅,✅,✅,95.4,✅,🟢
IHLGM,43.6,34.7,✅,✅,✅,96.8,✅,🟢
OSTIM,41.6,35.8,✅,✅,✅,96.8,✅,🟢
CEMTS,46.0,37.3,✅,✅,✅,97.5,✅,🟢
ASUZU,43.1,37.6,✅,✅,✅,98.7,✅,🟢
KUTPO,46.9,37.8,✅,✅,✅,97.7,✅,🟢
MAKTK,46.3,37.9,✅,✅,✅,97.8,✅,🟢
BFREN,33.3,38.5,✅,✅,✅,98.8,✅,🟢
DESA,46.5,38.9,✅,✅,✅,99.8,✅,🟢
ARCLK,41.2,39.0,✅,✅,✅,95.7,✅,🟢
BRYAT,46.1,39.0,✅,✅,✅,98.9,✅,🟢
KLKIM,46.1,39.2,✅,✅,✅,95.8,✅,🟢
ALKA,48.3,39.7,✅,✅,✅,98.4,✅,🟢
PARSN,43.6,39.7,✅,✅,✅,99.0,✅,🟢
CLEBI,46.8,39.9,✅,✅,✅,97.9,✅,🟢
TKNSA,42.1,40.1,✅,✅,✅,96.5,✅,🟢
TLMAN,44.8,40.1,✅,✅,✅,98.1,✅,🟢
MNDTR,39.8,40.4,✅,✅,✅,98.2,✅,🟢
SNGYO,47.5,41.1,✅,✅,✅,96.7,✅,🟢
TSGYO,43.4,42.2,✅,✅,✅,95.6,✅,🟢
CMBTN,40.8,43.0,✅,✅,✅,97.6,✅,🟢
GOLTS,46.1,43.2,✅,✅,✅,97.6,✅,🟢
ECILC,52.4,43.3,✅,✅,✅,97.2,✅,🟢
YAYLA,48.7,43.6,✅,✅,✅,98.5,✅,🟢
OYAYO,53.9,43.8,✅,✅,✅,97.2,✅,🟢
AGYO,50.1,44.4,✅,✅,✅,98.0,✅,🟢
EGEEN,40.9,44.4,✅,✅,✅,99.1,✅,🟢
KLGYO,48.1,44.5,✅,✅,✅,96.4,✅,🟢
CIMSA,53.0,44.7,✅,✅,✅,98.3,✅,🟢
NUHCM,48.8,44.9,✅,✅,✅,95.8,✅,🟢
ISYAT,46.7,44.9,✅,✅,✅,97.3,✅,🟢
OTKAR,43.0,44.9,✅,✅,✅,99.7,✅,🟢
DYOBY,47.1,45.0,✅,✅,✅,97.9,✅,🟢
DZGYO,51.7,45.4,✅,✅,✅,96.6,✅,🟢
ALKIM,48.3,45.4,✅,✅,✅,96.9,✅,🟢
BIZIM,45.4,45.9,✅,✅,✅,97.1,✅,🟢
KLNMA,43.7,46.0,✅,✅,✅,96.4,✅,🟢
PLTUR,48.9,46.5,✅,✅,✅,98.7,✅,🟢
EGSER,46.8,46.6,✅,✅,✅,98.7,✅,🟢
DOKTA,47.9,46.7,✅,✅,✅,99.8,✅,🟢
EMNIS,43.4,47.1,✅,✅,✅,98.6,✅,🟢
SKTAS,45.2,47.2,✅,✅,✅,100.0,✅,🟢
NUGYO,51.5,47.3,✅,✅,✅,95.9,✅,🟢
BASCM,53.5,47.7,✅,✅,✅,97.4,✅,🟢
BESLR,49.6,47.8,✅,✅,✅,98.0,✅,🟢
TERA,56.9,48.0,✅,✅,✅,97.1,✅,🟢
LOGO,54.1,48.1,✅,✅,✅,97.8,✅,🟢
FRIGO,54.3,48.4,✅,✅,✅,96.9,✅,🟢
BUCIM,44.7,48.4,✅,✅,✅,98.4,✅,🟢
FMIZP,51.0,48.6,✅,✅,✅,99.4,✅,🟢
DNISI,51.4,48.6,✅,✅,✅,99.1,✅,🟢
TAVHL,55.1,48.6,✅,✅,✅,99.5,✅,🟢
MNDRS,49.9,48.8,✅,✅,✅,99.5,✅,🟢
ISMEN,52.6,48.9,✅,✅,✅,95.3,✅,🟢
OZKGY,53.5,49.2,✅,✅,✅,100.0,✅,🟢
BNTAS,45.1,49.2,✅,✅,✅,98.2,✅,🟢
ENKAI,64.0,49.3,✅,✅,✅,96.5,✅,🟢
EDIP,57.3,49.8,✅,✅,✅,97.9,✅,🟢
PATEK,48.9,50.0,✅,✅,✅,97.8,✅,🟢
TSKB,53.4,50.1,✅,✅,✅,99.0,✅,🟢
BOSSA,51.8,50.4,✅,✅,✅,99.7,✅,🟢
CUSAN,52.5,50.8,✅,✅,✅,99.7,✅,🟢
CEOEM,49.2,50.8,✅,✅,✅,96.1,✅,🟢
TURSG,65.6,50.9,✅,✅,✅,99.3,✅,🟢
SONME,58.0,51.0,✅,✅,✅,99.5,✅,🟢
KUYAS,64.6,51.2,✅,✅,✅,100.0,✅,🟢
KONYA,42.7,51.3,✅,✅,✅,98.7,✅,🟢
OYAKC,53.7,51.8,✅,✅,✅,97.7,✅,🟢
BAGFS,50.6,51.8,✅,✅,✅,97.9,✅,🟢
PETUN,53.9,51.9,✅,✅,✅,97.9,✅,🟢
GIPTA,,52.7,✅,✅,✅,97.2,✅,🟢
EGGUB,58.9,52.8,✅,✅,✅,99.9,✅,🟢
KNFRT,52.4,52.9,✅,✅,✅,100.0,✅,🟢
EKGYO,58.1,52.9,✅,✅,✅,97.6,✅,🟢
PNSUT,53.7,52.9,✅,✅,✅,96.9,✅,🟢
GARAN,57.3,53.3,✅,✅,✅,99.1,✅,🟢
YKBNK,56.4,53.3,✅,✅,✅,97.4,✅,🟢
SASA,44.9,53.5,✅,✅,✅,96.0,✅,🟢
AKBNK,56.5,54.4,✅,✅,✅,99.6,✅,🟢
DSTKF,,54.5,✅,✅,✅,100.0,✅,🟢
ARSAN,61.6,55.5,✅,✅,✅,99.5,✅,🟢
GUBRF,62.6,55.7,✅,✅,✅,98.9,✅,🟢
ISCTR,54.9,56.0,✅,✅,✅,95.4,✅,🟢
TRMET,64.3,56.2,✅,✅,✅,99.9,✅,🟢
SISE,57.6,57.0,✅,✅,✅,95.4,✅,🟢
RALYH,62.7,57.3,✅,✅,✅,99.5,✅,🟢
ENJSA,71.9,57.4,✅,✅,✅,99.6,✅,🟢
MARTI,45.8,57.4,✅,✅,✅,100.0,✅,🟢
TURGG,53.4,57.5,✅,✅,✅,99.6,✅,🟢
AGHOL,59.3,57.6,✅,✅,✅,100.0,✅,🟢
TNZTP,60.6,58.2,✅,✅,✅,98.6,✅,🟢
TRENJ,66.4,58.4,✅,✅,✅,100.0,✅,🟢
TARKM,,58.7,✅,✅,✅,96.6,✅,🟢
AVGYO,65.4,59.1,✅,✅,✅,100.0,✅,🟢
ALBRK,65.0,59.2,✅,✅,✅,98.7,✅,🟢
EGPRO,64.6,59.8,✅,✅,✅,98.9,✅,🟢
GENIL,60.3,60.6,✅,✅,✅,98.1,✅,🟢
KRGYO,44.5,61.2,✅,✅,✅,95.9,✅,🟢
MTRKS,63.8,61.3,✅,✅,✅,98.0,✅,🟢
ORGE,67.1,62.0,✅,✅,✅,99.8,✅,🟢
AGESA,72.8,62.4,✅,✅,✅,99.3,✅,🟢
PETKM,61.5,62.4,✅,✅,✅,100.0,✅,🟢
SOKM,60.4,62.5,✅,✅,✅,95.9,✅,🟢
GMTAS,92.9,62.6,✅,✅,✅,100.0,✅,🟢
INDES,66.4,62.6,✅,✅,✅,99.6,✅,🟢
KLSYN,72.1,63.0,✅,✅,✅,99.3,✅,🟢
VAKBN,61.9,63.5,✅,✅,✅,100.0,✅,🟢
BRSAN,63.0,63.9,✅,✅,✅,99.4,✅,🟢
KARSN,58.6,64.4,✅,✅,✅,100.0,✅,🟢
KRDMD,71.9,64.6,✅,✅,✅,99.2,✅,🟢
ISDMR,73.5,65.1,✅,✅,✅,99.3,✅,🟢
BIMAS,83.7,65.4,✅,✅,✅,99.5,✅,🟢
KCHOL,68.1,65.6,✅,✅,✅,100.0,✅,🟢
AKCNS,73.8,66.0,✅,✅,✅,100.0,✅,🟢
ALARK,59.8,66.4,✅,✅,✅,100.0,✅,🟢
POLHO,74.1,66.8,✅,✅,✅,99.8,✅,🟢
TKFEN,77.1,69.1,✅,✅,✅,99.7,✅,🟢
PRZMA,86.5,69.1,✅,✅,✅,97.8,✅,🟢
ATSYH,70.8,69.3,✅,✅,✅,100.0,✅,🟢
SKYMD,,69.3,✅,✅,✅,100.0,✅,🟢
MANAS,71.5,69.5,✅,✅,✅,100.0,✅,🟢
KRPLS,70.5,71.3,✅,✅,✅,100.0,✅,🟢
KRDMA,66.7,72.3,✅,✅,✅,98.8,✅,🟢
ALKLC,,72.6,✅,✅,✅,100.0,✅,🟢
BOBET,58.1,73.2,✅,✅,✅,100.0,✅,🟢
DEVA,66.5,74.5,✅,✅,✅,100.0,✅,🟢
TUPRS,78.4,76.4,✅,✅,✅,98.4,✅,🟢
SELEC,90.8,82.8,✅,✅,✅,100.0,✅,🟢
ANELE,96.2,87.4,✅,✅,✅,100.0,✅,🟢
TRHOL,98.3,91.8,✅,✅,✅,100.0,✅,🟢
IEYHO,98.7,98.7,✅,✅,✅,100.0,✅,🟢
