Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
DUNYH,59.9,9.5,❌,❌,❌,82.3,❌,—
FORMT,33.1,17.9,❌,❌,❌,63.9,❌,—
KRTEK,30.8,18.9,❌,❌,❌,94.5,❌,—
MERKO,29.1,20.2,❌,✅,❌,-20.6,❌,—
ALVES,33.5,20.4,❌,❌,❌,-48.4,❌,—
SEKFK,33.7,21.3,❌,❌,❌,88.5,❌,—
OTTO,33.5,21.9,❌,❌,❌,72.8,❌,—
EGEPO,44.5,23.6,❌,❌,❌,91.0,❌,—
BARMA,,23.8,❌,❌,❌,75.6,❌,—
VAKFN,42.2,24.1,❌,❌,❌,98.2,✅,—
BTCIM,41.5,24.4,❌,❌,❌,90.5,❌,—
AKGRT,43.0,24.5,❌,❌,❌,96.1,✅,—
BSOKE,44.4,24.5,❌,❌,❌,96.5,✅,—
SAFKR,40.0,24.9,❌,❌,❌,92.6,❌,—
DARDL,35.0,25.3,❌,❌,❌,86.5,❌,—
LYDHO,45.0,25.3,❌,❌,❌,99.2,✅,—
RAYSG,36.7,25.3,❌,❌,❌,88.3,❌,—
MOPAS,,25.6,❌,❌,❌,77.6,❌,—
BULGS,,25.7,❌,❌,❌,77.1,❌,—
USAK,38.7,25.8,❌,✅,❌,85.0,❌,—
TEZOL,38.6,25.9,❌,❌,❌,80.5,❌,—
SEGYO,42.2,26.0,❌,❌,❌,89.0,❌,—
MEGAP,38.0,26.2,❌,❌,❌,63.0,❌,—
SODSN,37.5,26.2,❌,❌,❌,75.5,❌,—
BEGYO,,26.4,❌,❌,❌,39.9,❌,—
MEDTR,37.4,26.4,❌,❌,❌,75.7,❌,—
KZBGY,38.8,26.6,❌,❌,❌,83.6,❌,—
SURGY,,26.7,❌,❌,❌,15.3,❌,—
YBTAS,36.6,26.8,❌,❌,❌,-0.1,❌,—
QNBTR,44.3,26.9,❌,❌,❌,99.9,✅,—
IHYAY,37.6,27.0,❌,✅,❌,87.3,❌,—
A1CAP,41.8,27.2,❌,❌,❌,88.9,❌,—
KATMR,40.0,27.3,❌,❌,❌,86.0,❌,—
DCTTR,,27.3,❌,❌,❌,29.4,❌,—
IMASM,39.1,27.3,❌,❌,❌,10.7,❌,—
EKOS,,27.5,❌,❌,❌,40.1,❌,—
GENTS,42.4,27.7,❌,❌,❌,95.4,✅,—
YYAPI,39.5,27.8,❌,✅,❌,84.2,❌,—
EKIZ,42.7,27.9,❌,❌,❌,95.1,✅,—
AGROT,32.8,28.0,❌,❌,❌,-224.3,❌,—
KONKA,37.2,28.0,❌,❌,❌,93.6,❌,—
ATAKP,33.6,28.1,❌,❌,❌,45.5,❌,—
CVKMD,43.4,28.1,❌,❌,❌,93.4,❌,—
HTTBT,42.8,28.3,❌,❌,❌,84.7,❌,—
CMENT,39.1,28.3,❌,❌,❌,98.2,✅,—
LIDER,39.2,28.4,❌,❌,❌,68.9,❌,—
SOKE,38.3,28.5,❌,❌,❌,86.5,❌,—
NATEN,35.5,28.5,❌,❌,❌,94.7,❌,—
ARFYE,,28.6,❌,❌,❌,,❌,—
ARZUM,35.3,28.7,❌,❌,❌,17.1,❌,—
EMKEL,40.8,29.1,❌,❌,❌,90.9,❌,—
TMSN,37.3,29.2,❌,❌,❌,98.2,✅,—
PKENT,34.4,29.3,❌,❌,❌,78.0,❌,—
YESIL,36.9,29.3,❌,❌,❌,72.8,❌,—
LRSHO,40.2,29.5,❌,❌,❌,83.6,❌,—
SKYLP,44.3,29.6,❌,❌,❌,95.6,✅,—
AKYHO,38.7,29.7,❌,❌,❌,97.8,✅,—
MEKAG,40.3,29.7,❌,❌,❌,30.1,❌,—
CEMTS,43.6,29.7,❌,❌,❌,97.5,✅,—
ONCSM,43.9,29.8,❌,❌,❌,86.8,❌,—
OYLUM,42.3,30.0,❌,❌,❌,97.3,✅,—
MEGMT,42.7,30.1,❌,❌,❌,84.2,❌,—
DITAS,41.7,30.2,❌,❌,❌,86.6,❌,—
PAMEL,39.3,30.2,❌,❌,❌,87.6,❌,—
LUKSK,43.0,30.5,❌,❌,❌,97.7,✅,—
VRGYO,34.9,30.5,❌,❌,❌,-81.3,❌,—
ERBOS,40.6,30.6,❌,❌,❌,99.1,✅,—
ELITE,40.7,30.6,❌,❌,❌,89.2,❌,—
RTALB,44.3,30.7,❌,❌,❌,90.4,❌,—
DOFER,39.7,30.7,❌,❌,❌,47.8,❌,—
FENER,34.4,30.7,❌,✅,❌,8.3,❌,—
LMKDC,40.4,30.8,❌,❌,❌,79.9,❌,—
TRILC,37.1,30.8,❌,✅,❌,60.2,❌,—
KRSTL,46.9,30.8,❌,❌,❌,98.4,✅,—
KONTR,33.5,30.9,❌,✅,❌,-54.8,❌,—
ENSRI,41.0,30.9,❌,✅,❌,-72.8,❌,—
KLSER,25.1,30.9,❌,❌,❌,57.9,❌,—
YONGA,39.3,31.0,❌,❌,❌,-87.9,❌,—
KOTON,,31.0,❌,❌,❌,,❌,—
DERHL,45.4,31.2,❌,❌,❌,71.7,❌,—
KIMMR,47.9,31.2,❌,❌,❌,93.4,❌,—
ADESE,43.8,31.3,❌,✅,❌,74.1,❌,—
KRVGD,43.7,31.3,❌,❌,❌,84.3,❌,—
VKING,40.0,31.4,❌,❌,❌,97.3,✅,—
EUREN,36.1,31.4,❌,❌,❌,-7.1,❌,—
AZTEK,40.7,31.4,❌,❌,❌,79.4,❌,—
MAKTK,43.4,31.5,❌,❌,❌,97.4,✅,—
IZINV,42.4,31.5,❌,❌,❌,92.4,❌,—
IHLAS,39.7,31.6,❌,✅,❌,84.5,❌,—
OYYAT,44.5,31.7,❌,❌,❌,96.4,✅,—
MMCAS,42.9,31.7,❌,❌,❌,89.9,❌,—
ASUZU,40.4,31.8,❌,❌,❌,98.6,✅,—
VSNMD,,31.9,❌,❌,❌,-172.6,❌,—
CONSE,34.7,32.0,❌,❌,❌,88.0,❌,—
BORLS,,32.0,❌,❌,❌,-303.3,❌,—
YATAS,42.5,32.0,❌,❌,❌,97.5,✅,—
VERTU,44.1,32.0,❌,❌,❌,93.0,❌,—
KAPLM,47.9,32.1,❌,❌,❌,98.2,✅,—
