Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
DIRIT,53.2,✅,✅,✅,✅,54.9,✅,✅,🟢
KCHOL,65.9,✅,✅,✅,✅,61.2,✅,✅,🟢
TRCAS,68.7,✅,✅,✅,✅,62.1,✅,✅,🟢
BIMAS,83.4,✅,✅,✅,✅,64.3,✅,✅,🟢
ENERY,67.7,✅,✅,✅,✅,65.3,✅,✅,🟢
BOBET,54.0,✅,✅,✅,✅,66.0,✅,✅,🟢
KRPLS,67.7,✅,✅,✅,✅,67.0,✅,✅,🟢
HALKB,71.1,✅,✅,✅,✅,68.0,✅,✅,🟢
AHGAZ,66.6,✅,✅,✅,✅,68.2,✅,✅,🟢
KUVVA,70.8,✅,✅,✅,✅,69.2,✅,✅,🟢
ETYAT,82.1,✅,✅,✅,✅,70.1,✅,✅,🟢
SELEC,90.3,✅,✅,✅,✅,81.5,✅,✅,🟢
ANELE,95.9,✅,✅,✅,✅,86.2,✅,✅,🟢
TRHOL,98.2,✅,✅,✅,✅,91.4,✅,✅,🟢
IEYHO,98.7,✅,✅,✅,✅,98.6,✅,✅,🟢
