build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ASGYO,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,11.07,11.79,10.52,11.79,Sonraki haftalık kapanış > 11.79,10.52,10.52 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ATAGY,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,10.59,11.2,10.15,11.2,Sonraki haftalık kapanış > 11.20,10.15,10.15 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AVOD,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,3.83,3.99,3.69,3.99,Sonraki haftalık kapanış > 3.99,3.69,3.69 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BAGFS,HAFTALIK,Piercing,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,24.32,25.68,23.2,25.68,Sonraki haftalık kapanış > 25.68,23.2,23.20 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BAKAB,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,44.68,48.56,43.5,48.56,Sonraki haftalık kapanış > 48.56,43.5,43.50 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BERA,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,13.09,13.8,12.62,13.8,Sonraki haftalık kapanış > 13.80,12.62,12.62 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BESLR,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,12.42,13.91,12.2,13.91,Sonraki haftalık kapanış > 13.91,12.2,12.20 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BIZIM,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,24.3,25.88,23.16,25.88,Sonraki haftalık kapanış > 25.88,23.16,23.16 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BTCIM,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,4.98,5.42,4.75,5.42,Sonraki haftalık kapanış > 5.42,4.75,4.75 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BURCE,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,35.54,39.96,35.0,39.96,Sonraki haftalık kapanış > 39.96,35.0,35.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CEMAS,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,4.11,4.32,4.0,4.32,Sonraki haftalık kapanış > 4.32,4.0,4.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CEOEM,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,22.82,24.1,21.4,24.1,Sonraki haftalık kapanış > 24.10,21.4,21.40 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CMENT,HAFTALIK,Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,279.5,281.25,266.75,281.25,Sonraki haftalık kapanış > 281.25,266.75,266.75 altı formasyonu bozar
