Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,30.1,15.8,❌,❌,❌,95.2,✅,—
MERKO,29.3,20.7,❌,✅,❌,-13.1,❌,—
SEKFK,34.8,21.8,✅,❌,✅,88.8,❌,—
BARMA,,23.1,❌,❌,❌,77.9,❌,—
FORMT,35.4,23.6,❌,✅,❌,66.3,❌,—
IHYAY,37.9,25.5,❌,✅,❌,87.6,❌,—
EKIZ,43.7,26.7,❌,❌,❌,95.0,✅,—
ZOREN,35.6,27.7,❌,❌,❌,81.2,❌,—
VESBE,31.4,27.8,❌,❌,❌,92.3,❌,—
IMASM,40.4,28.1,❌,❌,❌,13.6,❌,—
IHLAS,39.9,28.1,❌,✅,❌,86.3,❌,—
USAK,39.4,28.4,❌,✅,❌,85.3,❌,—
TMSN,38.8,28.6,✅,❌,✅,98.2,✅,—
OTTO,36.7,28.8,❌,✅,❌,78.2,❌,—
TEZOL,41.1,29.3,✅,❌,✅,86.4,❌,—
MEGAP,39.2,29.3,❌,✅,❌,63.2,❌,—
VAKFN,46.2,29.4,✅,❌,✅,98.2,✅,—
CVKMD,45.2,30.2,✅,❌,✅,94.7,❌,—
SURGY,,30.2,✅,❌,✅,31.1,❌,—
ALVES,,30.6,❌,❌,❌,-13.1,❌,—
PGSUS,37.7,31.4,✅,❌,✅,92.3,❌,—
LIDER,42.6,31.5,❌,❌,❌,81.7,❌,—
NATEN,38.1,31.6,✅,✅,✅,94.7,❌,—
AVTUR,45.5,31.8,❌,❌,❌,97.1,✅,—
A1CAP,46.3,31.9,✅,❌,✅,91.7,❌,—
DARDL,36.7,31.9,✅,❌,✅,86.9,❌,—
KZBGY,41.8,32.0,✅,✅,✅,84.3,❌,—
GENTS,44.2,32.0,✅,✅,✅,95.3,✅,🟢
ARFYE,,32.0,✅,❌,✅,,❌,—
BMSCH,45.7,32.1,❌,❌,❌,77.1,❌,—
SODSN,39.6,32.3,❌,✅,❌,76.9,❌,—
VESTL,32.6,32.4,✅,❌,✅,92.3,❌,—
KRVGD,46.0,32.4,❌,❌,❌,84.2,❌,—
LRSHO,41.9,32.5,❌,❌,❌,84.6,❌,—
ENSRI,42.3,32.5,✅,✅,✅,-72.5,❌,—
KONTR,33.9,32.6,❌,✅,❌,-54.3,❌,—
CANTE,39.3,32.6,✅,✅,✅,24.4,❌,—
YYAPI,40.8,32.7,✅,✅,✅,84.4,❌,—
AKGRT,47.5,32.8,❌,❌,❌,97.2,✅,—
DCTTR,,33.0,❌,❌,❌,45.0,❌,—
QNBTR,46.9,33.1,❌,✅,❌,99.9,✅,—
TUKAS,38.0,33.1,✅,✅,✅,85.6,❌,—
TRILC,38.0,33.1,❌,✅,❌,60.9,❌,—
RAYSG,39.0,33.2,❌,✅,❌,88.9,❌,—
ARCLK,39.6,33.3,✅,❌,✅,95.7,✅,—
GOKNR,41.0,33.4,❌,❌,❌,84.8,❌,—
SEGYO,45.6,33.5,✅,❌,✅,89.6,❌,—
PKENT,36.3,33.5,❌,✅,❌,77.9,❌,—
IHLGM,43.8,33.5,✅,✅,❌,96.9,✅,—
IHGZT,43.8,33.5,✅,✅,✅,84.3,❌,—
MOPAS,,33.7,❌,❌,❌,84.2,❌,—
YESIL,38.1,33.9,❌,✅,❌,74.7,❌,—
ISMEN,47.0,34.0,❌,❌,❌,93.2,❌,—
MEKAG,42.5,34.1,✅,✅,✅,32.6,❌,—
KATMR,44.9,34.2,✅,❌,✅,86.2,❌,—
MNDTR,38.5,34.3,❌,❌,❌,97.9,✅,—
AKYHO,41.1,34.3,✅,❌,✅,98.1,✅,—
EUREN,37.2,34.6,✅,✅,✅,-7.9,❌,—
EMKEL,42.8,34.6,✅,✅,✅,91.2,❌,—
VRGYO,36.5,34.8,✅,✅,✅,-83.1,❌,—
ATAGY,44.6,34.8,✅,❌,✅,92.8,❌,—
