Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
GUBRF,61.2,✅,✅,✅,✅,53.4,✅,✅,🟢
RYSAS,68.9,✅,✅,✅,✅,57.2,✅,✅,🟢
AYDEM,58.3,✅,✅,✅,✅,57.4,✅,✅,🟢
DERIM,58.7,✅,✅,✅,✅,57.7,✅,✅,🟢
ASELS,76.4,✅,✅,✅,✅,59.0,✅,✅,🟢
SDTTR,58.4,✅,✅,✅,✅,60.4,✅,✅,🟢
TRCAS,67.9,✅,✅,✅,✅,60.4,✅,✅,🟢
DOCO,64.2,✅,✅,✅,✅,60.7,✅,✅,🟢
TNZTP,62.3,✅,✅,✅,✅,60.8,✅,✅,🟢
BOBET,51.8,✅,✅,✅,✅,61.6,✅,✅,🟢
SANFM,57.3,✅,✅,✅,✅,62.0,✅,✅,🟢
AVGYO,65.5,✅,✅,✅,✅,62.4,✅,✅,🟢
VANGD,82.9,✅,✅,✅,✅,62.6,✅,✅,🟢
KLSYN,71.8,✅,✅,✅,✅,62.8,✅,✅,🟢
INDES,66.2,✅,✅,✅,✅,63.0,✅,✅,🟢
POLHO,73.1,✅,✅,✅,✅,64.4,✅,✅,🟢
BRSAN,63.2,✅,✅,✅,✅,64.7,✅,✅,🟢
ISGYO,68.2,✅,✅,✅,✅,64.9,✅,✅,🟢
ASTOR,79.4,✅,✅,✅,✅,65.5,✅,✅,🟢
ORGE,68.9,✅,✅,✅,✅,66.7,✅,✅,🟢
KRPLS,67.2,✅,✅,✅,✅,67.7,✅,✅,🟢
KRDMD,73.4,✅,✅,✅,✅,68.0,✅,✅,🟢
VERUS,65.9,✅,✅,✅,✅,68.1,✅,✅,🟢
VBTYZ,69.0,✅,✅,✅,✅,68.6,✅,✅,🟢
IZMDC,81.6,✅,✅,✅,✅,73.7,✅,✅,🟢
CELHA,64.4,✅,✅,✅,✅,74.1,✅,✅,🟢
DAGI,72.5,✅,✅,✅,✅,74.5,✅,✅,🟢
SELEC,87.6,✅,✅,✅,✅,76.0,✅,✅,🟢
RYGYO,80.3,✅,✅,✅,✅,77.0,✅,✅,🟢
ATATP,80.4,✅,✅,✅,✅,77.8,✅,✅,🟢
KRDMA,73.6,✅,✅,✅,✅,78.9,✅,✅,🟢
ANELE,94.0,✅,✅,✅,✅,78.9,✅,✅,🟢
EUKYO,80.9,✅,✅,✅,✅,83.3,✅,✅,🟢
IEYHO,98.5,✅,✅,✅,✅,98.0,✅,✅,🟢
DUNYH,87.4,✅,✅,✅,✅,98.5,✅,✅,🟢
