Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,30.1,15.7,❌,❌,❌,94.7,❌,—
MERKO,29.3,20.8,✅,✅,✅,-11.1,❌,—
SEKFK,34.8,21.9,✅,❌,✅,89.0,❌,—
BARMA,,22.9,❌,❌,❌,76.6,❌,—
FORMT,35.4,23.6,❌,✅,❌,65.7,❌,—
IHYAY,37.7,24.8,❌,❌,❌,87.5,❌,—
OTTO,35.8,26.7,❌,✅,❌,77.2,❌,—
VESBE,31.4,27.7,❌,❌,❌,92.0,❌,—
IMASM,40.3,27.8,❌,❌,❌,11.0,❌,—
IHLAS,39.8,27.9,❌,✅,❌,85.3,❌,—
EKIZ,44.2,28.0,✅,❌,✅,95.2,✅,—
TEZOL,40.6,28.1,❌,❌,❌,83.3,❌,—
USAK,39.4,28.4,❌,✅,❌,85.1,❌,—
MEGAP,38.9,28.7,❌,✅,❌,63.1,❌,—
ZOREN,35.8,28.9,✅,❌,✅,81.3,❌,—
NATEN,37.7,29.0,❌,❌,❌,94.6,❌,—
SURGY,,29.3,❌,❌,❌,19.6,❌,—
TMSN,38.9,29.3,✅,❌,✅,98.3,✅,—
VAKFN,46.2,29.4,✅,❌,✅,98.2,✅,—
CVKMD,44.9,29.7,❌,❌,❌,92.8,❌,—
ALVES,,29.8,❌,❌,❌,-20.9,❌,—
BMSCH,44.7,30.0,❌,❌,❌,76.5,❌,—
CANTE,38.9,30.8,❌,✅,❌,24.0,❌,—
IHGZT,43.2,30.8,✅,✅,✅,84.7,❌,—
ARFYE,,30.9,❌,❌,❌,,❌,—
LIDER,42.1,31.0,❌,❌,❌,77.2,❌,—
KZBGY,41.4,31.0,❌,❌,❌,83.4,❌,—
YYAPI,40.4,31.1,❌,✅,❌,84.3,❌,—
SODSN,39.2,31.1,❌,❌,❌,76.6,❌,—
DARDL,36.6,31.3,❌,❌,❌,86.9,❌,—
YBTAS,37.6,31.4,❌,✅,❌,4.6,❌,—
GENTS,44.2,31.7,✅,✅,✅,95.6,✅,🟢
KRVGD,45.7,31.9,❌,❌,❌,83.2,❌,—
LRSHO,41.7,32.0,❌,❌,❌,84.2,❌,—
QNBTR,46.5,32.0,❌,❌,❌,99.9,✅,—
RAYSG,38.7,32.1,❌,❌,❌,88.8,❌,—
AKYHO,40.7,32.2,❌,❌,❌,98.1,✅,—
DCTTR,,32.3,❌,❌,❌,42.3,❌,—
KONTR,33.9,32.3,❌,✅,❌,-54.6,❌,—
AGROT,34.2,32.3,❌,❌,❌,-210.1,❌,—
AVTUR,46.1,32.5,❌,❌,❌,97.0,✅,—
ARZUM,36.7,32.5,❌,❌,❌,16.9,❌,—
TRILC,37.8,32.7,❌,✅,❌,60.6,❌,—
VRGYO,36.2,32.9,✅,✅,✅,-82.1,❌,—
GOKNR,40.7,32.9,❌,❌,❌,83.1,❌,—
SEGYO,45.5,33.0,✅,❌,✅,89.8,❌,—
ATAGY,44.1,33.0,❌,❌,❌,92.7,❌,—
VESTL,32.6,33.1,✅,✅,✅,92.5,❌,—
TUKAS,38.0,33.1,✅,✅,✅,86.3,❌,—
IHLGM,43.6,33.1,❌,✅,❌,96.6,✅,—
PKENT,36.2,33.1,❌,✅,❌,77.6,❌,—
PGSUS,38.1,33.2,✅,❌,✅,92.8,❌,—
AKGRT,47.7,33.2,❌,❌,❌,96.9,✅,—
A1CAP,46.8,33.3,✅,❌,✅,92.6,❌,—
MOPAS,,33.3,❌,❌,❌,83.0,❌,—
YESIL,38.0,33.5,❌,✅,❌,74.2,❌,—
MNDTR,38.3,33.6,❌,❌,❌,97.7,✅,—
YKSLN,33.4,33.6,❌,❌,❌,90.0,❌,—
EUREN,37.1,33.6,✅,✅,✅,-6.3,❌,—
CMENT,41.7,33.6,❌,❌,❌,98.3,✅,—
KATMR,44.8,33.7,✅,❌,✅,86.8,❌,—
EMKEL,42.6,33.9,❌,❌,❌,91.1,❌,—
OSTIM,41.7,34.0,❌,❌,❌,96.9,✅,—
BULGS,,34.1,❌,❌,❌,80.3,❌,—
ADESE,44.7,34.3,❌,✅,❌,74.9,❌,—
UNLU,39.6,34.3,❌,❌,❌,88.7,❌,—
MEKAG,42.6,34.3,✅,✅,✅,34.4,❌,—
CONSE,36.4,34.5,✅,❌,✅,89.4,❌,—
EGEEN,38.2,34.5,❌,❌,❌,99.2,✅,—
BTCIM,49.1,34.5,❌,❌,❌,91.4,❌,—
OBAMS,,34.5,✅,✅,✅,-330.7,❌,—
MEGMT,48.4,34.6,❌,❌,❌,85.9,❌,—
RTALB,46.3,34.9,❌,❌,❌,92.2,❌,—
ERBOS,43.4,35.0,❌,❌,❌,99.2,✅,—
ISMEN,47.5,35.0,✅,❌,✅,93.8,❌,—
ARCLK,40.0,35.1,✅,❌,✅,95.9,✅,—
BEGYO,,35.1,✅,✅,✅,41.1,❌,—
YATAS,46.1,35.2,❌,❌,❌,97.7,✅,—
CASA,40.9,35.3,❌,❌,❌,-27.1,❌,—
YONGA,41.6,35.4,❌,❌,❌,-82.8,❌,—
ULAS,44.9,35.5,❌,❌,❌,96.1,✅,—
CEMTS,45.9,35.7,❌,❌,❌,97.6,✅,—
ASUZU,43.0,35.7,✅,❌,✅,98.7,✅,—
SKBNK,46.5,35.7,✅,❌,✅,96.3,✅,—
ENSRI,43.5,35.7,✅,✅,✅,-69.5,❌,—
PARSN,42.4,35.8,❌,❌,❌,99.0,✅,—
OYLUM,44.7,35.9,❌,❌,❌,97.5,✅,—
SAFKR,49.9,35.9,❌,❌,❌,94.5,❌,—
KSTUR,43.3,36.0,✅,❌,✅,53.8,❌,—
DERHL,46.2,36.1,❌,✅,❌,72.1,❌,—
LYDYE,49.5,36.2,❌,❌,❌,99.7,✅,—
LUKSK,46.6,36.2,❌,❌,❌,97.9,✅,—
BERA,42.9,36.3,❌,❌,❌,89.0,❌,—
KONKA,43.0,36.4,❌,❌,❌,94.5,❌,—
ANGEN,39.4,36.7,❌,❌,❌,62.0,❌,—
VKING,42.1,36.9,❌,✅,❌,97.7,✅,—
KLRHO,,37.0,❌,✅,❌,7.5,❌,—
KUTPO,47.3,37.1,✅,❌,✅,97.7,✅,—
BRYAT,46.0,37.1,✅,❌,✅,98.9,✅,—
TATEN,42.3,37.3,❌,❌,❌,23.5,❌,—
FROTO,45.9,37.4,❌,❌,❌,90.0,❌,—
ORCAY,35.9,37.4,❌,❌,❌,49.6,❌,—
ALKA,48.4,37.5,❌,✅,❌,98.2,✅,—
HUBVC,47.3,37.5,❌,❌,❌,92.2,❌,—
KARSN,45.0,37.5,❌,❌,❌,99.0,✅,—
LKMNH,46.4,37.6,❌,❌,❌,99.3,✅,—
SANKO,45.4,37.6,✅,❌,✅,98.6,✅,—
FZLGY,,37.7,❌,❌,❌,38.4,❌,—
ELITE,44.6,37.7,✅,❌,✅,90.9,❌,—
KIMMR,52.5,37.8,❌,❌,❌,94.5,❌,—
DOFER,42.6,37.8,❌,✅,❌,50.8,❌,—
KOTON,,38.0,❌,✅,❌,,❌,—
MMCAS,47.7,38.0,❌,❌,❌,90.3,❌,—
FENER,34.7,38.0,✅,✅,✅,34.8,❌,—
