build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AKMGY,AYLIK,Shooting Star,B,AYI,AYI TEYİDİ,2026-06-30,2026-07-31,237.4,295.0,239.5,239.5,Teyit geldi: aylık kapanış < 239.50,295.0,295.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BARMA,AYLIK,Shooting Star,B,AYI,AYI TEYİDİ,2026-06-30,2026-07-31,25.08,82.0,58.9,58.9,Teyit geldi: aylık kapanış < 58.90,82.0,82.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EGGUB,AYLIK,Shooting Star,B,AYI,AYI TEYİDİ,2026-06-30,2026-07-31,94.05,119.7,98.2,98.2,Teyit geldi: aylık kapanış < 98.20,119.7,119.70 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ERSU,AYLIK,Shooting Star,B,AYI,AYI TEYİDİ,2026-06-30,2026-07-31,23.2,29.8,23.48,23.48,Teyit geldi: aylık kapanış < 23.48,29.8,29.80 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,HATEK,AYLIK,Shooting Star,B,AYI,AYI TEYİDİ,2026-06-30,2026-07-31,13.25,18.46,15.54,15.54,Teyit geldi: aylık kapanış < 15.54,18.46,18.46 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ISDMR,AYLIK,Shooting Star,B,AYI,AYI TEYİDİ,2026-06-30,2026-07-31,54.45,67.95,55.6,55.6,Teyit geldi: aylık kapanış < 55.60,67.95,67.95 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KGYO,AYLIK,Dark Cloud,B,AYI,AYI TEYİDİ,2026-06-30,2026-07-31,10.6,13.34,10.86,10.86,Teyit geldi: aylık kapanış < 10.86,13.34,13.34 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ENTRA,AYLIK,Ters Hammer,B,BOĞA,BOĞA TEYİDİ,2026-06-30,2026-07-31,5.32,5.3,4.59,5.3,Teyit geldi: aylık kapanış > 5.30,4.59,4.59 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PASEU,AYLIK,Ters Hammer,B,BOĞA,BOĞA TEYİDİ,2026-06-30,2026-07-31,155.0,132.0,101.8,132.0,Teyit geldi: aylık kapanış > 132.00,101.8,101.80 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,QNBFK,AYLIK,Hammer,B,BOĞA,BOĞA TEYİDİ,2026-06-30,2026-07-31,49.2,39.96,35.88,39.96,Teyit geldi: aylık kapanış > 39.96,35.88,35.88 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AHGAZ,AYLIK,Dark Cloud,B,AYI,TEYİT BEKLİYOR,2026-07-31,,33.24,40.36,30.02,30.02,Sonraki aylık kapanış < 30.02,40.36,40.36 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AKFYE,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,23.88,29.0,22.3,22.3,Sonraki aylık kapanış < 22.30,29.0,29.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AKSGY,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,9.2,9.8,9.13,9.13,Sonraki aylık kapanış < 9.13,9.8,9.80 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ALCTL,AYLIK,Hanging Man,B,AYI,TEYİT BEKLİYOR,2026-07-31,,178.7,182.9,136.8,136.8,Sonraki aylık kapanış < 136.80,182.9,182.90 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ARMGD,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,180.3,211.2,168.3,168.3,Sonraki aylık kapanış < 168.30,211.2,211.20 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ATEKS,AYLIK,Ayı Harami,B,AYI,TEYİT BEKLİYOR,2026-07-31,,114.9,143.3,90.6,90.6,Sonraki aylık kapanış < 90.60,143.3,143.30 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AVGYO,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,13.38,19.21,12.83,12.83,Sonraki aylık kapanış < 12.83,19.21,19.21 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DAGI,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,8.99,11.75,8.45,8.45,Sonraki aylık kapanış < 8.45,11.75,11.75 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ECZYT,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,315.5,375.5,296.0,296.0,Sonraki aylık kapanış < 296.00,375.5,375.50 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ETILR,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,5.5,6.78,5.1,5.1,Sonraki aylık kapanış < 5.10,6.78,6.78 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ETYAT,AYLIK,Ayı Harami,B,AYI,TEYİT BEKLİYOR,2026-07-31,,12.9,14.6,9.7,9.7,Sonraki aylık kapanış < 9.70,14.6,14.60 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GEDIK,AYLIK,Dark Cloud,B,AYI,TEYİT BEKLİYOR,2026-07-31,,6.24,7.95,6.0,6.0,Sonraki aylık kapanış < 6.00,7.95,7.95 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GUNDG,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,1918.0,2707.5,1621.0,1621.0,Sonraki aylık kapanış < 1621.00,2707.5,2707.50 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,INGRM,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,372.0,492.75,369.25,369.25,Sonraki aylık kapanış < 369.25,492.75,492.75 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,INVES,AYLIK,Hanging Man,B,AYI,TEYİT BEKLİYOR,2026-07-31,,716.0,799.5,571.0,571.0,Sonraki aylık kapanış < 571.00,799.5,799.50 üstü formasyonu bozar
