build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,AKFIS,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-14,,88.85,100.3,85.4,85.4,Formasyon kendi içinde teyitli,100.3,100.30 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ENJSA,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-14,,106.2,117.4,105.9,105.9,Formasyon kendi içinde teyitli,117.4,117.40 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GUNDG,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-14,,1517.0,2199.0,1277.0,1277.0,Formasyon kendi içinde teyitli,2199.0,2199.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MAGEN,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-14,,35.62,37.94,31.7,31.7,Formasyon kendi içinde teyitli,37.94,37.94 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,TNZTP,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-14,,27.96,30.5,27.34,27.34,Formasyon kendi içinde teyitli,30.5,30.50 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BAYRK,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,4.32,4.42,4.1,4.42,Formasyon kendi içinde teyitli,4.1,4.10 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BIENY,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,20.8,21.1,19.62,21.1,Formasyon kendi içinde teyitli,19.62,19.62 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BRKO,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,13.31,13.31,10.3,13.31,Formasyon kendi içinde teyitli,10.3,10.30 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,CEOEM,HAFTALIK,Three Inside Up,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,24.12,24.56,21.4,24.56,Formasyon kendi içinde teyitli,21.4,21.40 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DERIM,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,36.98,37.26,33.64,37.26,Formasyon kendi içinde teyitli,33.64,33.64 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DMSAS,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,9.0,9.53,7.62,9.53,Formasyon kendi içinde teyitli,7.62,7.62 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DMSAS,HAFTALIK,Three Inside Up,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,9.0,9.53,7.62,9.53,Formasyon kendi içinde teyitli,7.62,7.62 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DYOBY,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,13.5,14.2,12.14,14.2,Formasyon kendi içinde teyitli,12.14,12.14 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EGPRO,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,35.4,36.7,33.0,36.7,Formasyon kendi içinde teyitli,33.0,33.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,FLAP,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,10.67,11.3,9.49,11.3,Formasyon kendi içinde teyitli,9.49,9.49 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GLBMD,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,12.67,13.61,11.6,13.61,Formasyon kendi içinde teyitli,11.6,11.60 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GLBMD,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,12.67,13.61,11.6,13.61,Formasyon kendi içinde teyitli,11.6,11.60 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,HOROZ,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,66.2,67.1,54.45,67.1,Formasyon kendi içinde teyitli,54.45,54.45 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,HRKET,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,99.7,101.8,85.85,101.8,Formasyon kendi içinde teyitli,85.85,85.85 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,IHLAS,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,1.07,1.15,1.0,1.15,Formasyon kendi içinde teyitli,1.0,1.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KAREL,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,10.2,10.21,8.66,10.21,Formasyon kendi içinde teyitli,8.66,8.66 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KATMR,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-14,,2.3,2.3,2.17,2.3,Formasyon kendi içinde teyitli,2.17,2.17 altı formasyonu bozar
