Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,31.2,16.4,✅,❌,✅,96.5,✅,—
MERKO,29.4,20.9,❌,✅,❌,-8.0,❌,—
FORMT,35.5,22.2,❌,❌,❌,65.2,❌,—
BARMA,,23.4,❌,❌,❌,81.0,❌,—
SEKFK,35.7,23.6,❌,❌,❌,89.6,❌,—
IHYAY,38.1,26.5,✅,❌,✅,87.8,❌,—
ALVES,,27.4,❌,❌,❌,-29.0,❌,—
USAK,39.4,27.4,❌,✅,❌,84.9,❌,—
IHLAS,40.1,27.8,✅,✅,✅,84.7,❌,—
IHGZT,43.0,28.0,❌,❌,❌,83.9,❌,—
ZOREN,36.0,28.0,❌,❌,❌,81.5,❌,—
EKIZ,44.1,28.3,❌,❌,❌,95.3,✅,—
VAKFN,46.0,28.5,❌,❌,❌,98.3,✅,—
TEZOL,41.0,28.5,❌,❌,❌,81.7,❌,—
SODSN,39.2,28.7,❌,❌,❌,76.4,❌,—
OTTO,36.8,28.9,❌,✅,❌,77.1,❌,—
BUCIM,39.1,29.0,❌,❌,❌,97.9,✅,—
CANTE,39.1,29.0,❌,❌,❌,20.7,❌,—
MEGAP,39.5,29.1,❌,❌,❌,63.2,❌,—
A1CAP,45.9,29.7,❌,❌,❌,90.5,❌,—
NATEN,37.8,29.7,✅,❌,✅,94.9,❌,—
TUKAS,37.7,30.1,❌,❌,❌,84.2,❌,—
VESBE,32.2,30.2,❌,❌,❌,93.0,❌,—
OBAMS,,30.4,✅,❌,✅,-386.9,❌,—
IMASM,41.2,30.5,✅,❌,✅,20.7,❌,—
CVKMD,45.7,30.5,✅,❌,✅,96.7,✅,—
TMSN,39.5,30.9,❌,❌,❌,98.7,✅,—
VRGYO,35.9,31.0,✅,❌,✅,-87.6,❌,—
ASUZU,42.0,31.0,❌,❌,❌,98.5,✅,—
GENTS,43.8,31.1,❌,❌,❌,95.1,✅,—
COSMO,44.5,31.4,✅,❌,✅,74.4,❌,—
KOTON,,31.4,❌,❌,❌,,❌,—
MZHLD,40.6,31.6,❌,❌,❌,97.7,✅,—
OSTIM,41.9,31.6,✅,❌,✅,96.8,✅,—
KZBGY,41.8,31.8,✅,❌,✅,85.4,❌,—
BEGYO,,31.9,✅,✅,✅,39.5,❌,—
QNBTR,46.8,31.9,❌,❌,❌,99.9,✅,—
YYAPI,40.8,31.9,❌,✅,❌,84.4,❌,—
BMSCH,46.2,32.0,❌,❌,❌,76.0,❌,—
IHLGM,43.4,32.1,❌,❌,❌,96.4,✅,—
PARSN,42.2,32.1,❌,❌,❌,98.7,✅,—
PGSUS,38.3,32.2,❌,❌,❌,92.8,❌,—
VESTL,32.9,32.2,❌,❌,❌,92.8,❌,—
AKYHO,40.7,32.2,❌,❌,❌,98.0,✅,—
RAYSG,39.0,32.2,✅,❌,✅,88.6,❌,—
SURGY,,32.3,❌,❌,❌,51.5,❌,—
ENSRI,42.2,32.5,❌,✅,❌,-69.3,❌,—
MEKAG,42.1,32.5,❌,❌,❌,33.4,❌,—
AVTUR,47.4,32.6,✅,❌,✅,97.0,✅,—
GLCVY,46.2,32.6,❌,❌,❌,80.7,❌,—
MOPAS,,32.7,❌,❌,❌,82.9,❌,—
DARDL,37.3,32.8,✅,❌,✅,87.8,❌,—
YESIL,38.1,32.8,❌,❌,❌,73.9,❌,—
PAHOL,,33.0,❌,❌,❌,,❌,—
EUREN,37.0,33.1,❌,❌,❌,-5.9,❌,—
TRILC,38.0,33.2,❌,❌,❌,61.2,❌,—
UNLU,39.7,33.4,❌,❌,❌,88.9,❌,—
MAKTK,45.5,33.4,✅,❌,✅,97.4,✅,—
OYYAT,47.1,33.5,✅,❌,✅,98.7,✅,—
KONTR,34.1,33.6,✅,✅,✅,-54.0,❌,—
LIDER,45.1,33.6,❌,❌,❌,89.7,❌,—
DCTTR,,33.6,❌,❌,❌,45.1,❌,—
MRGYO,42.7,33.7,❌,❌,❌,88.3,❌,—
MEDTR,41.2,33.8,❌,❌,❌,75.9,❌,—
ATAGY,44.9,33.9,❌,❌,❌,93.0,❌,—
ARZUM,37.3,33.9,✅,❌,✅,29.3,❌,—
CONSE,36.5,33.9,✅,❌,✅,90.1,❌,—
BERA,42.8,33.9,✅,❌,✅,88.8,❌,—
ADESE,45.0,33.9,✅,✅,✅,74.4,❌,—
PKENT,36.3,34.0,✅,❌,✅,78.3,❌,—
GOKNR,43.4,34.0,❌,❌,❌,82.9,❌,—
TUCLK,37.2,34.1,✅,✅,✅,92.5,❌,—
JANTS,39.7,34.1,❌,❌,❌,92.1,❌,—
ALKA,47.4,34.3,❌,❌,❌,98.2,✅,—
ANGEN,39.1,34.3,❌,❌,❌,61.3,❌,—
ZERGY,,34.4,✅,❌,✅,,❌,—
RUZYE,46.4,34.4,✅,❌,✅,73.0,❌,—
FENER,34.5,34.5,✅,✅,✅,-6.9,❌,—
AGROT,35.7,34.5,✅,❌,✅,-210.4,❌,—
SEGYO,46.0,34.6,❌,❌,❌,90.0,❌,—
SKBNK,45.9,34.6,❌,❌,❌,93.3,❌,—
CEMTS,45.9,34.6,✅,❌,✅,97.5,✅,—
NIBAS,47.4,34.8,❌,❌,❌,61.7,❌,—
TATEN,41.7,34.9,❌,❌,❌,2.8,❌,—
HATEK,43.5,34.9,✅,❌,✅,87.4,❌,—
YKSLN,33.6,34.9,✅,❌,✅,92.4,❌,—
KAYSE,41.2,35.0,❌,❌,❌,88.6,❌,—
GOLTS,45.7,35.0,✅,❌,✅,97.4,✅,—
ARCLK,40.3,35.1,❌,❌,❌,95.9,✅,—
VAKFA,,35.1,❌,❌,❌,,❌,—
MNDTR,38.9,35.2,❌,❌,❌,98.2,✅,—
KLKIM,45.8,35.2,✅,❌,✅,95.6,✅,—
ISMEN,47.1,35.3,❌,❌,❌,93.8,❌,—
ISYAT,44.5,35.3,❌,❌,❌,97.3,✅,—
RTALB,46.8,35.4,❌,❌,❌,91.9,❌,—
KLGYO,45.4,35.5,✅,❌,✅,96.1,✅,—
SNICA,33.6,35.5,❌,❌,❌,-223.6,❌,—
CEMAS,46.0,35.5,❌,❌,❌,93.2,❌,—
YBTAS,38.6,35.5,✅,✅,✅,7.7,❌,—
GLRYH,44.2,35.5,✅,✅,✅,91.0,❌,—
AKGRT,48.7,35.6,❌,❌,❌,97.8,✅,—
ERBOS,43.9,35.7,❌,❌,❌,99.1,✅,—
BLCYT,45.1,35.9,❌,❌,❌,84.6,❌,—
ULKER,46.6,36.0,✅,❌,✅,84.5,❌,—
TLMAN,44.1,36.1,❌,❌,❌,97.2,✅,—
TTRAK,39.1,36.1,✅,✅,✅,92.6,❌,—
BTCIM,50.6,36.2,❌,❌,❌,93.4,❌,—
DERHL,46.2,36.2,✅,✅,✅,71.5,❌,—
KONKA,44.1,36.2,❌,❌,❌,94.3,❌,—
MARTI,37.3,36.2,✅,❌,✅,88.6,❌,—
ARFYE,,36.2,❌,❌,❌,,❌,—
SANKO,45.0,36.3,✅,❌,✅,98.3,✅,—
SNGYO,47.0,36.6,✅,❌,✅,96.6,✅,—
KRVGD,47.7,36.7,❌,❌,❌,85.9,❌,—
OYLUM,44.9,36.9,❌,❌,❌,97.7,✅,—
TSGYO,42.2,36.9,✅,❌,✅,94.6,❌,—
PAPIL,43.0,36.9,✅,❌,✅,89.9,❌,—
VKFYO,47.5,37.0,❌,❌,❌,92.5,❌,—
BRYAT,46.1,37.0,❌,❌,❌,98.8,✅,—
ARENA,43.1,37.1,✅,❌,✅,98.2,✅,—
VKING,42.4,37.2,❌,❌,❌,98.0,✅,—
ATAKP,41.7,37.2,❌,❌,❌,46.1,❌,—
SRVGY,41.3,37.3,✅,❌,✅,93.7,❌,—
YONGA,42.2,37.3,❌,❌,❌,-74.4,❌,—
KSTUR,43.8,37.4,❌,❌,❌,54.1,❌,—
LKMNH,45.7,37.4,✅,❌,✅,99.1,✅,—
BORLS,,37.5,❌,❌,❌,-233.1,❌,—
ELITE,45.1,37.6,❌,❌,❌,91.6,❌,—
EMKEL,43.9,37.6,❌,✅,❌,91.7,❌,—
EGEEN,39.0,37.6,✅,✅,✅,99.3,✅,🟢
MNDRS,47.3,37.7,✅,✅,✅,99.2,✅,🟢
FROTO,46.2,37.9,✅,❌,✅,90.0,❌,—
EKOS,,37.9,✅,❌,✅,39.4,❌,—
KATMR,47.0,37.9,✅,❌,✅,87.8,❌,—
BURCE,52.3,37.9,❌,❌,❌,97.7,✅,—
LRSHO,43.7,38.0,✅,✅,✅,86.1,❌,—
ESEN,44.2,38.1,✅,✅,✅,68.0,❌,—
CMENT,43.5,38.2,❌,❌,❌,98.4,✅,—
BALSU,,38.2,❌,❌,❌,-503.8,❌,—
PNSUT,48.1,38.2,❌,❌,❌,95.3,✅,—
SERNT,,38.3,❌,❌,❌,,❌,—
BIENY,33.1,38.4,✅,✅,✅,28.2,❌,—
BFREN,33.6,38.6,✅,✅,✅,98.8,✅,🟢
IHEVA,45.9,38.6,❌,✅,❌,99.0,✅,—
ORCAY,36.4,38.7,❌,❌,❌,51.4,❌,—
CASA,42.6,38.7,✅,✅,✅,-26.3,❌,—
KIMMR,52.7,38.7,❌,❌,❌,95.3,✅,—
ISSEN,40.3,38.8,❌,❌,❌,74.7,❌,—
LMKDC,,38.8,✅,❌,✅,81.5,❌,—
REEDR,,38.8,❌,❌,❌,-1769.4,❌,—
BULGS,,38.9,❌,❌,❌,83.0,❌,—
LUKSK,48.2,38.9,❌,❌,❌,98.1,✅,—
KUTPO,48.2,39.0,✅,✅,✅,97.8,✅,🟢
DAPGM,47.6,39.0,❌,❌,❌,88.4,❌,—
DITAS,48.2,39.0,❌,❌,❌,90.3,❌,—
MGROS,54.0,39.1,❌,❌,❌,98.2,✅,—
SILVR,45.1,39.1,✅,❌,✅,99.5,✅,—
FZLGY,,39.2,✅,❌,✅,48.6,❌,—
TEKTU,47.0,39.3,❌,❌,❌,95.7,✅,—
IZINV,49.6,39.3,❌,❌,❌,93.0,❌,—
ALKIM,46.5,39.3,❌,❌,❌,96.9,✅,—
DOFER,44.8,39.3,✅,✅,✅,54.0,❌,—
TUREX,45.3,39.4,❌,❌,❌,0.8,❌,—
KENT,37.2,39.5,❌,✅,❌,70.8,❌,—
SMRVA,,39.5,✅,✅,✅,-171.8,❌,—
ULAS,47.4,39.5,✅,✅,✅,96.4,✅,🟢
HEKTS,34.4,39.5,❌,❌,❌,82.6,❌,—
KLRHO,,39.6,✅,✅,✅,27.6,❌,—
BIGCH,,39.7,❌,❌,❌,27.2,❌,—
GSRAY,33.8,39.8,❌,✅,❌,22.9,❌,—
OTKAR,41.1,39.8,✅,✅,✅,99.3,✅,🟢
SUWEN,40.5,39.8,❌,❌,❌,79.3,❌,—
BRKVY,49.5,39.8,❌,❌,❌,71.4,❌,—
GWIND,46.7,39.8,❌,❌,❌,60.8,❌,—
GZNMI,42.7,39.8,❌,✅,❌,91.9,❌,—
HALKB,55.2,39.9,❌,❌,❌,93.6,❌,—
VSNMD,,39.9,❌,✅,❌,-168.3,❌,—
BIZIM,43.3,39.9,❌,❌,❌,97.1,✅,—
BAGFS,46.9,40.0,✅,✅,✅,97.5,✅,🟢
ARTMS,,40.0,❌,❌,❌,51.3,❌,—
ERCB,36.7,40.0,✅,❌,✅,-23.9,❌,—
TKNSA,45.3,40.0,✅,✅,✅,95.6,✅,🟢
ZEDUR,46.5,40.1,✅,❌,✅,90.9,❌,—
DOKTA,46.4,40.1,✅,❌,✅,99.4,✅,—
PLTUR,47.0,40.1,❌,❌,❌,89.7,❌,—
SELVA,45.7,40.1,✅,❌,✅,-149.1,❌,—
MTRYO,51.7,40.2,❌,❌,❌,97.2,✅,—
INVEO,45.4,40.3,❌,❌,❌,95.8,✅,—
DENGE,44.7,40.4,❌,❌,❌,86.1,❌,—
MEYSU,,40.4,✅,❌,✅,77.7,❌,—
MMCAS,48.7,40.5,✅,❌,✅,91.0,❌,—
BAYRK,45.8,40.7,✅,❌,✅,95.8,✅,—
PRKAB,49.0,40.7,❌,❌,❌,94.2,❌,—
ATLAS,49.9,40.8,❌,❌,❌,98.1,✅,—
KRSTL,51.7,40.8,❌,❌,❌,98.7,✅,—
HUBVC,49.0,40.8,❌,❌,❌,92.6,❌,—
BEYAZ,48.0,40.8,❌,❌,❌,90.0,❌,—
HTTBT,48.8,40.9,❌,❌,❌,88.1,❌,—
AKFGY,52.6,40.9,❌,❌,❌,94.6,❌,—
KLSER,28.1,41.0,✅,❌,✅,57.8,❌,—
DESA,48.3,41.0,✅,✅,✅,99.5,✅,🟢
MHRGY,,41.1,✅,❌,✅,-58.1,❌,—
CLEBI,48.5,41.1,✅,✅,✅,98.0,✅,🟢
SMART,47.8,41.1,✅,❌,✅,97.0,✅,—
AGYO,49.8,41.2,✅,❌,✅,98.1,✅,—
YIGIT,,41.2,❌,❌,❌,27.2,❌,—
LYDYE,52.2,41.4,✅,❌,✅,99.8,✅,—
ALGYO,48.2,41.4,✅,❌,✅,92.6,❌,—
CIMSA,53.0,41.4,✅,❌,✅,98.0,✅,—
SAFKR,53.9,41.4,❌,❌,❌,95.2,✅,—
PENGD,52.4,41.5,✅,❌,✅,96.7,✅,—
VERTU,47.9,41.5,✅,❌,✅,93.7,❌,—
UMPAS,56.5,41.6,❌,✅,❌,3.7,❌,—
YYLGD,47.7,41.7,❌,❌,❌,50.4,❌,—
TTKOM,52.4,41.7,❌,❌,❌,96.0,✅,—
KONYA,39.5,41.7,✅,✅,✅,98.4,✅,🟢
MIATK,46.7,41.9,✅,❌,✅,64.2,❌,—
MAGEN,54.7,41.9,❌,❌,❌,97.5,✅,—
YATAS,49.5,42.0,✅,❌,✅,98.2,✅,—
SAMAT,43.8,42.1,✅,❌,✅,97.6,✅,—
QUAGR,43.7,42.1,❌,❌,❌,70.3,❌,—
BASGZ,63.4,42.1,❌,❌,❌,99.3,✅,—
HLGYO,57.7,42.2,❌,❌,❌,98.8,✅,—
IDGYO,47.2,42.2,❌,❌,❌,90.3,❌,—
GRTHO,,42.3,❌,❌,❌,89.5,❌,—
KARSN,45.9,42.3,✅,❌,✅,99.4,✅,—
GRNYO,53.5,42.3,❌,❌,❌,99.6,✅,—
DZGYO,51.1,42.4,✅,❌,✅,96.1,✅,—
KAPLM,56.2,42.5,❌,❌,❌,98.1,✅,—
SUMAS,47.8,42.5,❌,❌,❌,89.3,❌,—
ISCTR,50.1,42.5,✅,❌,✅,95.9,✅,—
ALFAS,44.0,42.6,❌,❌,❌,77.3,❌,—
DESPC,45.9,42.6,✅,❌,✅,96.7,✅,—
LILAK,,42.6,❌,❌,❌,52.7,❌,—
CGCAM,,42.7,❌,❌,❌,90.9,❌,—
EKGYO,54.2,42.7,✅,❌,✅,96.6,✅,—
OYAYO,54.7,43.0,❌,❌,❌,97.2,✅,—
MAVI,51.7,43.0,❌,❌,❌,89.1,❌,—
ONRYT,,43.0,❌,❌,❌,39.1,❌,—
BESLR,47.7,43.1,✅,❌,✅,97.1,✅,—
MAKIM,45.1,43.2,❌,❌,❌,97.4,✅,—
PETUN,50.5,43.2,✅,❌,✅,96.1,✅,—
HDFGS,50.4,43.2,❌,❌,❌,93.3,❌,—
ISKPL,51.1,43.2,✅,❌,✅,86.9,❌,—
SNPAM,50.3,43.3,✅,✅,✅,99.7,✅,🟢
LINK,43.2,43.3,❌,❌,❌,92.0,❌,—
IZENR,49.4,43.3,❌,❌,❌,78.2,❌,—
VKGYO,55.9,43.3,❌,❌,❌,99.1,✅,—
SISE,48.2,43.4,✅,❌,✅,95.3,✅,—
TSKB,50.4,43.4,❌,❌,❌,98.6,✅,—
ALCAR,42.8,43.4,✅,❌,✅,99.6,✅,—
AYCES,48.7,43.4,✅,❌,✅,83.1,❌,—
TERA,55.3,43.5,❌,✅,❌,95.1,✅,—
KLNMA,43.4,43.6,❌,❌,❌,96.4,✅,—
BASCM,51.3,43.6,❌,❌,❌,93.7,❌,—
PINSU,55.7,43.6,❌,❌,❌,98.5,✅,—
ECILC,54.4,43.6,✅,✅,✅,96.9,✅,🟢
KUYAS,60.9,43.6,❌,❌,❌,99.8,✅,—
BRISA,47.9,43.7,✅,❌,✅,98.6,✅,—
PENTA,42.7,43.7,❌,❌,❌,-101.9,❌,—
ALCTL,52.0,43.7,❌,❌,❌,98.8,✅,—
A1YEN,50.3,43.7,❌,❌,❌,88.7,❌,—
AFYON,52.4,43.7,❌,❌,❌,99.3,✅,—
GUBRF,58.1,43.8,❌,❌,❌,98.1,✅,—
AVPGY,,43.8,❌,❌,❌,81.1,❌,—
YAPRK,43.4,43.9,❌,✅,❌,67.1,❌,—
CMBTN,41.6,43.9,❌,✅,❌,97.7,✅,—
KFEIN,49.6,44.0,✅,❌,✅,92.9,❌,—
SASA,40.4,44.0,❌,❌,❌,95.4,✅,—
NUGYO,50.1,44.1,❌,❌,❌,97.1,✅,—
CRDFA,64.8,44.1,❌,❌,❌,96.0,✅,—
DNISI,50.1,44.2,❌,❌,❌,99.0,✅,—
MARBL,44.4,44.3,✅,❌,✅,70.2,❌,—
