Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
CUSAN,53.5,✅,✅,✅,✅,52.1,✅,✅,🟢
BRKO,57.5,✅,✅,✅,✅,53.3,✅,✅,🟢
SDTTR,55.4,✅,✅,✅,✅,55.0,✅,✅,🟢
BOBET,48.2,✅,✅,✅,✅,55.3,✅,✅,🟢
ASELS,75.0,✅,✅,✅,✅,55.9,✅,✅,🟢
NTHOL,58.3,✅,✅,✅,✅,55.9,✅,✅,🟢
GOODY,52.7,✅,✅,✅,✅,56.0,✅,✅,🟢
RALYH,62.3,✅,✅,✅,✅,56.4,✅,✅,🟢
KRPLS,62.2,✅,✅,✅,✅,57.2,✅,✅,🟢
TRCAS,66.3,✅,✅,✅,✅,57.4,✅,✅,🟢
BOSSA,53.7,✅,✅,✅,✅,58.1,✅,✅,🟢
KCHOL,63.5,✅,✅,✅,✅,59.9,✅,✅,🟢
BRSAN,60.1,✅,✅,✅,✅,59.9,✅,✅,🟢
GENIL,58.9,✅,✅,✅,✅,60.1,✅,✅,🟢
AVGYO,64.7,✅,✅,✅,✅,60.2,✅,✅,🟢
PEKGY,68.1,✅,✅,✅,✅,60.2,✅,✅,🟢
KGYO,80.0,✅,✅,✅,✅,60.2,✅,✅,🟢
METRO,70.8,✅,✅,✅,✅,60.5,✅,✅,🟢
ESCOM,63.4,✅,✅,✅,✅,61.2,✅,✅,🟢
VANGD,82.6,✅,✅,✅,✅,61.3,✅,✅,🟢
DOCO,63.8,✅,✅,✅,✅,61.4,✅,✅,🟢
GEREL,82.6,✅,✅,✅,✅,62.1,✅,✅,🟢
UFUK,68.0,✅,✅,✅,✅,62.3,✅,✅,🟢
ISGYO,67.7,✅,✅,✅,✅,62.6,✅,✅,🟢
POLHO,73.0,✅,✅,✅,✅,62.7,✅,✅,🟢
TGSAS,70.4,✅,✅,✅,✅,62.9,✅,✅,🟢
AKCNS,72.6,✅,✅,✅,✅,63.2,✅,✅,🟢
KRDMA,65.3,✅,✅,✅,✅,63.2,✅,✅,🟢
VERUS,63.2,✅,✅,✅,✅,63.4,✅,✅,🟢
KLSYN,72.1,✅,✅,✅,✅,63.5,✅,✅,🟢
TMPOL,69.0,✅,✅,✅,✅,64.8,✅,✅,🟢
MTRKS,62.3,✅,✅,✅,✅,65.2,✅,✅,🟢
KCAER,60.5,✅,✅,✅,✅,65.3,✅,✅,🟢
ASTOR,79.3,✅,✅,✅,✅,65.7,✅,✅,🟢
EUPWR,80.5,✅,✅,✅,✅,66.2,✅,✅,🟢
MARKA,63.9,✅,✅,✅,✅,66.6,✅,✅,🟢
AYGAZ,70.5,✅,✅,✅,✅,68.9,✅,✅,🟢
DAGI,71.4,✅,✅,✅,✅,71.5,✅,✅,🟢
SELEC,85.6,✅,✅,✅,✅,72.0,✅,✅,🟢
ATATP,77.5,✅,✅,✅,✅,72.3,✅,✅,🟢
RYGYO,78.8,✅,✅,✅,✅,75.0,✅,✅,🟢
ANELE,93.5,✅,✅,✅,✅,77.1,✅,✅,🟢
TUPRS,77.6,✅,✅,✅,✅,78.1,✅,✅,🟢
ETYAT,81.9,✅,✅,✅,✅,78.7,✅,✅,🟢
ARDYZ,81.4,✅,✅,✅,✅,80.8,✅,✅,🟢
TRHOL,96.7,✅,✅,✅,✅,81.6,✅,✅,🟢
TEHOL,72.1,✅,✅,✅,✅,82.2,✅,✅,🟢
CRFSA,85.0,✅,✅,✅,✅,83.7,✅,✅,🟢
KERVN,87.6,✅,✅,✅,✅,85.4,✅,✅,🟢
IEYHO,98.3,✅,✅,✅,✅,97.6,✅,✅,🟢
