Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
ISATR,70.9,✅,❌,❌,❌,5.4,❌,✅,—
KRTEK,29.9,❌,❌,❌,❌,15.5,❌,❌,—
FORMT,33.8,❌,❌,❌,❌,19.6,❌,❌,—
MERKO,29.1,❌,❌,❌,❌,20.4,❌,✅,—
SEKFK,34.7,❌,❌,❌,✅,22.7,❌,❌,—
OTTO,34.4,❌,❌,❌,❌,23.9,❌,❌,—
IHYAY,37.6,❌,❌,❌,❌,24.4,❌,✅,—
AKYHO,38.5,❌,❌,❌,❌,25.1,❌,❌,—
NATEN,35.7,❌,❌,❌,❌,25.2,❌,❌,—
TEZOL,39.1,❌,❌,❌,❌,25.7,❌,❌,—
VAKFN,44.0,❌,❌,❌,❌,25.8,❌,❌,—
TMSN,36.9,❌,❌,❌,✅,25.9,❌,❌,—
BTCIM,43.5,❌,❌,❌,❌,26.0,❌,❌,—
IMASM,39.4,❌,❌,❌,❌,26.2,❌,❌,—
BMSCH,42.7,❌,❌,❌,❌,26.5,❌,❌,—
USAK,39.0,❌,❌,❌,❌,26.8,❌,✅,—
MEGAP,38.4,❌,❌,❌,❌,26.9,❌,❌,—
EKIZ,43.1,❌,❌,❌,❌,27.6,❌,❌,—
IHLAS,39.6,❌,❌,❌,❌,28.0,❌,✅,—
RAYSG,37.6,❌,❌,❌,❌,28.2,❌,❌,—
KATMR,41.5,❌,❌,❌,❌,28.3,❌,❌,—
BSOKE,47.2,❌,❌,❌,✅,28.7,❌,❌,—
DARDL,36.0,❌,✅,❌,❌,28.9,❌,❌,—
YBTAS,37.2,❌,❌,❌,❌,29.1,❌,❌,—
KZBGY,40.2,❌,❌,❌,❌,29.1,❌,❌,—
AGROT,32.0,❌,❌,❌,❌,29.4,❌,❌,—
LYDHO,48.1,❌,❌,❌,❌,29.4,❌,❌,—
ARCLK,38.2,❌,❌,❌,❌,29.6,❌,❌,—
LIDER,40.6,❌,❌,❌,❌,29.7,❌,❌,—
ZOREN,35.9,❌,❌,❌,❌,29.8,❌,❌,—
KONKA,38.8,❌,❌,❌,❌,29.8,❌,❌,—
CVKMD,44.9,❌,❌,❌,❌,30.0,❌,❌,—
SODSN,38.8,❌,❌,❌,❌,30.0,❌,❌,—
A1CAP,43.4,❌,❌,❌,❌,30.0,❌,❌,—
QNBTR,45.7,❌,❌,❌,❌,30.1,❌,❌,—
GENTS,43.5,❌,❌,❌,❌,30.1,❌,✅,—
YESIL,37.1,❌,❌,❌,❌,30.1,❌,❌,—
ATAGY,42.6,❌,❌,❌,❌,30.2,❌,❌,—
KRVGD,44.8,❌,❌,❌,❌,30.3,❌,❌,—
YYAPI,40.3,✅,❌,✅,❌,30.3,❌,✅,—
LRSHO,41.0,❌,❌,❌,❌,30.4,❌,❌,—
YKSLN,32.7,❌,❌,❌,❌,30.5,❌,❌,—
ARZUM,36.1,❌,❌,❌,❌,30.5,❌,❌,—
UNLU,37.8,❌,❌,❌,❌,30.6,❌,❌,—
SEGYO,44.2,❌,❌,❌,❌,30.6,❌,❌,—
EGEEN,37.0,❌,❌,❌,❌,30.6,❌,❌,—
KONTR,33.6,❌,✅,❌,❌,30.9,❌,✅,—
SAFKR,45.7,❌,❌,❌,❌,31.1,❌,❌,—
AVTUR,45.2,✅,❌,✅,❌,31.2,❌,❌,—
TUKAS,37.5,❌,✅,❌,❌,31.2,❌,❌,—
OSTIM,39.8,❌,❌,❌,❌,31.2,❌,❌,—
PGSUS,37.6,✅,❌,✅,❌,31.2,❌,❌,—
GOKNR,40.0,❌,❌,❌,❌,31.2,❌,❌,—
EMKEL,41.7,❌,❌,❌,❌,31.4,❌,❌,—
TRILC,37.3,❌,❌,❌,❌,31.4,❌,✅,—
VESBE,32.1,✅,❌,✅,❌,31.4,✅,✅,—
AKGRT,46.7,❌,❌,❌,❌,31.5,❌,❌,—
VKING,40.1,❌,❌,❌,❌,31.6,❌,❌,—
ERBOS,41.5,❌,❌,❌,✅,31.6,❌,❌,—
IHGZT,42.5,❌,❌,❌,❌,31.6,❌,❌,—
