Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ULAS,45.5,37.3,✅,✅,✅,96.2,✅,🟢
SANKO,47.4,44.4,✅,✅,✅,98.8,✅,🟢
DZGYO,52.5,47.3,✅,✅,✅,96.4,✅,🟢
TURGG,49.8,47.7,✅,✅,✅,98.6,✅,🟢
TERA,56.7,47.7,✅,✅,✅,96.4,✅,🟢
PETKM,53.7,50.3,✅,✅,✅,99.8,✅,🟢
KUYAS,64.2,50.4,✅,✅,✅,99.9,✅,🟢
AVOD,54.7,53.4,✅,✅,✅,99.6,✅,🟢
MARTI,45.3,56.3,✅,✅,✅,100.0,✅,🟢
VAKBN,59.0,56.3,✅,✅,✅,99.2,✅,🟢
KARSN,54.5,57.7,✅,✅,✅,100.0,✅,🟢
TRCAS,67.7,60.0,✅,✅,✅,99.3,✅,🟢
SKYMD,,60.5,✅,✅,✅,99.8,✅,🟢
SOKM,59.7,61.0,✅,✅,✅,95.3,✅,🟢
OFSYM,,61.1,✅,✅,✅,100.0,✅,🟢
KCHOL,66.2,61.8,✅,✅,✅,100.0,✅,🟢
ENERY,65.9,61.9,✅,✅,✅,96.3,✅,🟢
ALARK,58.5,63.4,✅,✅,✅,100.0,✅,🟢
HALKB,68.3,63.7,✅,✅,✅,95.8,✅,🟢
POLHO,73.3,64.0,✅,✅,✅,99.8,✅,🟢
RYSAS,72.8,64.3,✅,✅,✅,100.0,✅,🟢
MANAS,69.2,65.2,✅,✅,✅,97.7,✅,🟢
BOBET,54.4,66.8,✅,✅,✅,98.3,✅,🟢
AHGAZ,65.9,67.0,✅,✅,✅,100.0,✅,🟢
ALKLC,,69.1,✅,✅,✅,100.0,✅,🟢
CRFSA,85.1,69.7,✅,✅,✅,98.6,✅,🟢
ETYAT,82.0,70.1,✅,✅,✅,100.0,✅,🟢
AYGAZ,72.7,70.8,✅,✅,✅,100.0,✅,🟢
NETAS,66.9,71.1,✅,✅,✅,99.4,✅,🟢
RYGYO,78.3,81.1,✅,✅,✅,100.0,✅,🟢
SELEC,90.1,81.1,✅,✅,✅,100.0,✅,🟢
ANELE,95.7,85.5,✅,✅,✅,100.0,✅,🟢
TRHOL,98.1,91.1,✅,✅,✅,100.0,✅,🟢
IEYHO,98.7,98.5,✅,✅,✅,100.0,✅,🟢
